cell_id,Aethopyga pulcherrima,Aethopyga pulcherrima jefferyi,Aethopyga pulcherrima decorosa,Aethopyga pulcherrima pulcherrima
836841fffffffff,9.0,0.0,0.0,9.0
836843fffffffff,11.0,0.0,0.0,11.0
836844fffffffff,101.0,0.0,97.0,0.0
836846fffffffff,2.0,0.0,2.0,0.0
83684efffffffff,193.0,0.0,0.0,191.0
836856fffffffff,8.0,0.0,0.0,8.0
836858fffffffff,5.0,0.0,0.0,5.0
83685dfffffffff,17.0,0.0,0.0,17.0
83685efffffffff,82.0,0.0,0.0,81.0
836863fffffffff,1.0,0.0,0.0,0.0
83694efffffffff,66.0,66.0,0.0,0.0
836968fffffffff,20.0,19.0,0.0,0.0
83696afffffffff,162.0,157.0,0.0,0.0
83696cfffffffff,3.0,3.0,0.0,0.0
83696dfffffffff,1.0,1.0,0.0,0.0
83696efffffffff,8.0,8.0,0.0,0.0
