cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
8226f7fffffffff,27.0,0.0,0.0,0.0
824817fffffffff,7.0,5.0,0.0,0.0
82481ffffffffff,1.0,1.0,0.0,0.0
8248a7fffffffff,1.0,1.0,0.0,0.0
8248c7fffffffff,177.0,22.0,0.0,0.0
8248d7fffffffff,2.0,0.0,0.0,0.0
8248dffffffffff,2.0,0.0,0.0,0.0
8248effffffffff,395.0,10.0,0.0,0.0
8248f7fffffffff,2.0,0.0,0.0,0.0
824987fffffffff,15.0,9.0,0.0,0.0
824997fffffffff,75.0,10.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0
8249affffffffff,1.0,1.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0
826d27fffffffff,1.0,0.0,1.0,0.0
826d2ffffffffff,66.0,0.0,0.0,22.0
826d37fffffffff,13.0,5.0,0.0,0.0
