cell_id,Nyctanassa violacea,Nyctanassa violacea [violacea Group],Nyctanassa violacea pauper
8412591ffffffff,15.0,0.0,0.0
8412ccdffffffff,58.0,0.0,0.0
8418231ffffffff,2.0,0.0,0.0
841aa07ffffffff,24.0,2.0,0.0
841aa23ffffffff,1.0,0.0,0.0
841aa3dffffffff,9.0,0.0,0.0
841ab55ffffffff,1.0,0.0,0.0
842600bffffffff,1.0,0.0,0.0
8426013ffffffff,2.0,0.0,0.0
8426017ffffffff,5.0,0.0,0.0
8426035ffffffff,1.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0
8426099ffffffff,2.0,0.0,0.0
84260a1ffffffff,18.0,0.0,0.0
84260b9ffffffff,1.0,0.0,0.0
84260e3ffffffff,2.0,0.0,0.0
8426187ffffffff,1.0,0.0,0.0
8426199ffffffff,2.0,0.0,0.0
842619bffffffff,2.0,0.0,0.0
842619dffffffff,4.0,0.0,0.0
84261b1ffffffff,3.0,0.0,0.0
84261d3ffffffff,4.0,0.0,0.0
8426205ffffffff,9.0,0.0,0.0
842621bffffffff,16.0,0.0,0.0
842623dffffffff,1.0,0.0,0.0
8426263ffffffff,4.0,0.0,0.0
8426287ffffffff,2.0,0.0,0.0
8426289ffffffff,33.0,2.0,0.0
84262b3ffffffff,3.0,0.0,0.0
84262cdffffffff,76.0,0.0,0.0
8426409ffffffff,2.0,0.0,0.0
842640dffffffff,1.0,0.0,0.0
8426417ffffffff,2.0,0.0,0.0
8426437ffffffff,3.0,0.0,0.0
8426461ffffffff,17.0,0.0,0.0
8426463ffffffff,13.0,0.0,0.0
842646dffffffff,3.0,0.0,0.0
8426481ffffffff,4.0,0.0,0.0
8426487ffffffff,6.0,0.0,0.0
8426489ffffffff,20.0,0.0,0.0
842648bffffffff,3.0,0.0,0.0
842648dffffffff,2.0,0.0,0.0
84264a1ffffffff,2.0,0.0,0.0
84264a5ffffffff,2.0,0.0,0.0
84264a7ffffffff,3.0,0.0,0.0
84264a9ffffffff,1.0,0.0,0.0
84264adffffffff,3.0,0.0,0.0
84264b9ffffffff,5.0,0.0,0.0
84264c1ffffffff,2.0,0.0,0.0
84264c5ffffffff,5.0,0.0,0.0
84264c7ffffffff,13.0,0.0,0.0
84264cbffffffff,4.0,0.0,0.0
84264d1ffffffff,7.0,0.0,0.0
84264d9ffffffff,10.0,0.0,0.0
84264dbffffffff,9.0,0.0,0.0
84264ddffffffff,2.0,0.0,0.0
84264e3ffffffff,2.0,0.0,0.0
84264e5ffffffff,12.0,0.0,0.0
842652bffffffff,16.0,0.0,0.0
8426531ffffffff,5.0,0.0,0.0
8426533ffffffff,25.0,2.0,0.0
842653bffffffff,3.0,0.0,0.0
8426541ffffffff,13.0,0.0,0.0
8426555ffffffff,8.0,0.0,0.0
8426567ffffffff,2.0,0.0,0.0
842659bffffffff,21.0,0.0,0.0
84265adffffffff,1.0,0.0,0.0
84265b1ffffffff,2.0,0.0,0.0
84265b5ffffffff,2.0,0.0,0.0
84265c1ffffffff,1.0,0.0,0.0
84265c7ffffffff,1.0,0.0,0.0
84265d9ffffffff,4.0,0.0,0.0
84265e7ffffffff,2.0,0.0,0.0
8426605ffffffff,2.0,0.0,0.0
842660bffffffff,1.0,0.0,0.0
842661bffffffff,42.0,0.0,0.0
8426621ffffffff,2.0,0.0,0.0
8426635ffffffff,2.0,0.0,0.0
842663dffffffff,44.0,0.0,0.0
8426641ffffffff,39.0,0.0,0.0
8426645ffffffff,14.0,0.0,0.0
842664bffffffff,2.0,0.0,0.0
842664dffffffff,83.0,0.0,0.0
8426657ffffffff,2.0,0.0,0.0
8426659ffffffff,2.0,0.0,0.0
842665bffffffff,3.0,0.0,0.0
8426661ffffffff,1.0,0.0,0.0
8426669ffffffff,3.0,0.0,0.0
8426689ffffffff,3.0,0.0,0.0
842668bffffffff,4.0,0.0,0.0
84266a5ffffffff,2.0,0.0,0.0
84266c5ffffffff,2.0,0.0,0.0
84266d3ffffffff,2.0,0.0,0.0
84266d5ffffffff,30.0,0.0,0.0
84266dbffffffff,1.0,0.0,0.0
8426717ffffffff,7.0,0.0,0.0
8426721ffffffff,1.0,0.0,0.0
8426745ffffffff,4.0,0.0,0.0
8426763ffffffff,17.0,0.0,0.0
842676dffffffff,2.0,0.0,0.0
842681bffffffff,47.0,0.0,0.0
8426881ffffffff,30.0,0.0,0.0
8426889ffffffff,14.0,0.0,0.0
842688dffffffff,14.0,0.0,0.0
84268c7ffffffff,1.0,0.0,0.0
84268cdffffffff,159.0,0.0,0.0
84268d3ffffffff,1.0,0.0,0.0
84268d5ffffffff,2.0,0.0,0.0
842692bffffffff,2.0,0.0,0.0
8426a95ffffffff,25.0,0.0,0.0
8426aa1ffffffff,7.0,0.0,0.0
8426aa5ffffffff,3.0,0.0,0.0
8426c11ffffffff,2.0,0.0,0.0
8426c43ffffffff,2.0,0.0,0.0
8426c6dffffffff,4.0,0.0,0.0
8426c87ffffffff,2.0,0.0,0.0
8426c89ffffffff,12.0,0.0,0.0
8426cb9ffffffff,3.0,0.0,0.0
8426cbdffffffff,11.0,0.0,0.0
8426d15ffffffff,3.0,0.0,0.0
8426d19ffffffff,2.0,0.0,0.0
8426d21ffffffff,2.0,0.0,0.0
8426d35ffffffff,18.0,0.0,0.0
8426d41ffffffff,2.0,0.0,0.0
8426d49ffffffff,2.0,0.0,0.0
8426d4bffffffff,11.0,0.0,0.0
8426d51ffffffff,2.0,0.0,0.0
8426d5dffffffff,4.0,0.0,0.0
8426d8dffffffff,2.0,0.0,0.0
8426da9ffffffff,3.0,0.0,0.0
8426dcbffffffff,2.0,0.0,0.0
8426ddbffffffff,1.0,0.0,0.0
8426de7ffffffff,1.0,0.0,0.0
8426e21ffffffff,1.0,0.0,0.0
8426e25ffffffff,3.0,0.0,0.0
8426e2bffffffff,2.0,0.0,0.0
8426e2dffffffff,6.0,0.0,0.0
8426e3dffffffff,7.0,0.0,0.0
8426e5bffffffff,9.0,0.0,0.0
8426ecbffffffff,14.0,0.0,0.0
8426ed5ffffffff,1.0,0.0,0.0
8426eddffffffff,1.0,0.0,0.0
8426ee3ffffffff,5.0,0.0,0.0
8426f11ffffffff,7.0,0.0,0.0
8426f2dffffffff,2.0,0.0,0.0
8426f33ffffffff,1.0,0.0,0.0
8426f37ffffffff,4.0,0.0,0.0
8427023ffffffff,10.0,0.0,0.0
84271b5ffffffff,1.0,0.0,0.0
8427417ffffffff,14.0,0.0,0.0
842743dffffffff,2.0,0.0,0.0
8427485ffffffff,8.0,0.0,0.0
8427499ffffffff,8.0,0.0,0.0
842749dffffffff,1.0,0.0,0.0
84274d5ffffffff,2.0,2.0,0.0
84274ddffffffff,6.0,0.0,0.0
842751bffffffff,1.0,0.0,0.0
8427527ffffffff,4.0,0.0,0.0
8427581ffffffff,5.0,0.0,0.0
8427593ffffffff,23.0,0.0,0.0
8427597ffffffff,4.0,0.0,0.0
8427599ffffffff,5.0,0.0,0.0
842759bffffffff,8.0,0.0,0.0
84275b3ffffffff,5.0,0.0,0.0
84275b9ffffffff,2.0,0.0,0.0
84275c1ffffffff,2.0,0.0,0.0
84275c3ffffffff,12.0,0.0,0.0
84275d1ffffffff,5.0,0.0,0.0
84275d3ffffffff,36.0,0.0,0.0
84275d5ffffffff,1.0,0.0,0.0
84275d7ffffffff,1.0,0.0,0.0
84275e5ffffffff,7.0,0.0,0.0
842763bffffffff,1.0,0.0,0.0
8428309ffffffff,106.0,8.0,0.0
842832bffffffff,6.0,0.0,0.0
8428341ffffffff,5.0,0.0,0.0
8429125ffffffff,301.0,3.0,0.0
8429127ffffffff,120.0,3.0,0.0
8429135ffffffff,10.0,0.0,0.0
84291a7ffffffff,7.0,0.0,0.0
8429869ffffffff,4.0,0.0,0.0
8429a01ffffffff,13.0,0.0,0.0
8429a0bffffffff,16.0,0.0,0.0
8429a19ffffffff,209.0,0.0,0.0
8429a41ffffffff,8.0,0.0,0.0
8429a4dffffffff,254.0,0.0,0.0
8429a55ffffffff,526.0,10.0,0.0
8429a57ffffffff,586.0,11.0,0.0
8429a59ffffffff,6.0,0.0,0.0
8429a6dffffffff,4.0,0.0,0.0
8429ac9ffffffff,76.0,2.0,0.0
8429ad1ffffffff,280.0,1.0,0.0
842a065ffffffff,6.0,0.0,0.0
842a069ffffffff,28.0,0.0,0.0
842a06dffffffff,5.0,0.0,0.0
842a101ffffffff,196.0,0.0,0.0
842a103ffffffff,144.0,1.0,0.0
842a105ffffffff,9.0,0.0,0.0
842a107ffffffff,119.0,0.0,0.0
842a109ffffffff,239.0,54.0,0.0
842a10bffffffff,11.0,0.0,0.0
842a10dffffffff,2.0,0.0,0.0
842a123ffffffff,4.0,0.0,0.0
842a127ffffffff,1.0,0.0,0.0
842a12bffffffff,34.0,0.0,0.0
842a133ffffffff,92.0,0.0,0.0
842a135ffffffff,20.0,0.0,0.0
842a139ffffffff,14.0,0.0,0.0
842a13bffffffff,2.0,0.0,0.0
842a141ffffffff,5.0,0.0,0.0
842a143ffffffff,8.0,8.0,0.0
842a157ffffffff,10.0,0.0,0.0
842a163ffffffff,22.0,0.0,0.0
842a16bffffffff,3.0,0.0,0.0
842a1a5ffffffff,103.0,13.0,0.0
842a301ffffffff,557.0,4.0,0.0
842a303ffffffff,86.0,0.0,0.0
842a305ffffffff,4.0,0.0,0.0
842a307ffffffff,65.0,0.0,0.0
842a309ffffffff,20.0,0.0,0.0
842a30dffffffff,49.0,0.0,0.0
842a311ffffffff,172.0,0.0,0.0
842a313ffffffff,57.0,0.0,0.0
