cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
82069ffffffffff,2.0,0.0,0.0
820747fffffffff,4.0,0.0,0.0
82074ffffffffff,2.0,0.0,0.0
820757fffffffff,4.0,0.0,0.0
82075ffffffffff,2.0,0.0,0.0
8209a7fffffffff,1.0,1.0,0.0
820c47fffffffff,9.0,0.0,0.0
820c4ffffffffff,1.0,0.0,0.0
820c57fffffffff,3.0,0.0,0.0
820c5ffffffffff,2.0,0.0,0.0
820c6ffffffffff,2.0,0.0,0.0
820c77fffffffff,2.0,0.0,0.0
820ccffffffffff,9.0,0.0,0.0
820cdffffffffff,19.0,1.0,0.0
820ceffffffffff,2.0,0.0,0.0
820e4ffffffffff,16.0,0.0,0.0
8212b7fffffffff,5.0,0.0,0.0
821397fffffffff,8.0,0.0,0.0
82165ffffffffff,1.0,1.0,0.0
821807fffffffff,24.0,0.0,0.0
821827fffffffff,3.0,0.0,0.0
82184ffffffffff,88.0,0.0,0.0
82185ffffffffff,10.0,0.0,0.0
82186ffffffffff,1.0,0.0,0.0
821877fffffffff,1.0,0.0,0.0
82190ffffffffff,2.0,0.0,0.0
82192ffffffffff,1.0,1.0,0.0
821947fffffffff,6.0,0.0,0.0
82194ffffffffff,8.0,3.0,0.0
821957fffffffff,1.0,0.0,0.0
82195ffffffffff,7.0,0.0,0.0
821977fffffffff,4.0,0.0,0.0
821a07fffffffff,1.0,0.0,0.0
821aa7fffffffff,19.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821ae7fffffffff,4.0,0.0,0.0
821af7fffffffff,2.0,0.0,0.0
821b9ffffffffff,3.0,0.0,0.0
821d27fffffffff,2.0,0.0,0.0
821d67fffffffff,8.0,0.0,0.0
821f27fffffffff,4.0,0.0,0.0
821f77fffffffff,2.0,0.0,0.0
821fb7fffffffff,1.0,0.0,0.0
8222dffffffffff,11.0,0.0,0.0
8222effffffffff,1.0,0.0,0.0
822807fffffffff,108.0,46.0,0.0
82280ffffffffff,13.0,0.0,0.0
82281ffffffffff,135.0,70.0,0.0
822827fffffffff,6.0,2.0,0.0
822837fffffffff,488.0,164.0,2.0
8228c7fffffffff,188.0,56.0,0.0
8228d7fffffffff,28.0,0.0,0.0
8228dffffffffff,2.0,0.0,0.0
8228e7fffffffff,32.0,0.0,0.0
8228f7fffffffff,8.0,0.0,0.0
822907fffffffff,5.0,0.0,0.0
822917fffffffff,58.0,4.0,36.0
82291ffffffffff,217.0,97.0,1.0
822927fffffffff,6.0,0.0,0.0
8229a7fffffffff,1324.0,76.0,811.0
8229affffffffff,1.0,0.0,0.0
822a07fffffffff,875.0,0.0,0.0
822a17fffffffff,38.0,0.0,0.0
822a1ffffffffff,821.0,0.0,0.0
822a27fffffffff,4.0,1.0,0.0
822a2ffffffffff,8.0,0.0,0.0
822a37fffffffff,346.0,10.0,0.0
822a4ffffffffff,6.0,0.0,0.0
822a87fffffffff,1.0,0.0,0.0
822a8ffffffffff,6.0,0.0,0.0
822aa7fffffffff,8.0,0.0,0.0
822aaffffffffff,47.0,0.0,0.0
822ac7fffffffff,30.0,2.0,0.0
822ad7fffffffff,2.0,0.0,0.0
822af7fffffffff,80.0,4.0,0.0
822b07fffffffff,24.0,0.0,0.0
822b0ffffffffff,18.0,0.0,0.0
822b17fffffffff,97.0,0.0,0.0
822b1ffffffffff,279.0,4.0,0.0
822b27fffffffff,12.0,0.0,0.0
822b2ffffffffff,17.0,0.0,0.0
822b37fffffffff,9.0,0.0,0.0
822b9ffffffffff,9.0,0.0,0.0
822baffffffffff,24.0,0.0,0.0
822db7fffffffff,12.0,0.0,0.0
822e07fffffffff,1.0,0.0,0.0
823437fffffffff,13.0,0.0,0.0
823467fffffffff,11.0,0.0,0.0
82346ffffffffff,1.0,0.0,0.0
82351ffffffffff,2.0,0.0,0.0
82365ffffffffff,1.0,0.0,0.0
823917fffffffff,4.0,0.0,0.0
82391ffffffffff,12.0,0.0,0.0
823927fffffffff,26.0,2.0,0.0
823937fffffffff,56.0,0.0,0.0
8243affffffffff,2.0,0.0,0.0
824417fffffffff,30.0,0.0,0.0
82441ffffffffff,3.0,0.0,0.0
824467fffffffff,10.0,0.0,0.0
824477fffffffff,16.0,0.0,0.0
82448ffffffffff,22.0,0.0,0.0
8244a7fffffffff,18.0,0.0,0.0
8244affffffffff,98.0,5.0,0.0
8244b7fffffffff,1.0,0.0,0.0
8244c7fffffffff,2.0,0.0,0.0
8244d7fffffffff,34.0,0.0,0.0
8244f7fffffffff,30.0,0.0,0.0
82454ffffffffff,70.0,0.0,0.0
82460ffffffffff,6.0,0.0,0.0
824647fffffffff,9.0,0.0,0.0
82464ffffffffff,12.0,0.0,0.0
824657fffffffff,4.0,0.0,0.0
824847fffffffff,4.0,0.0,4.0
82484ffffffffff,70.0,15.0,36.0
82486ffffffffff,1.0,0.0,1.0
824897fffffffff,29.0,8.0,0.0
8248b7fffffffff,45.0,0.0,0.0
8249a7fffffffff,2.0,0.0,1.0
824b17fffffffff,1.0,0.0,0.0
824ba7fffffffff,2.0,0.0,0.0
824cf7fffffffff,3.0,3.0,0.0
82504ffffffffff,11.0,0.0,0.0
82505ffffffffff,1.0,0.0,0.0
8250c7fffffffff,2.0,0.0,0.0
8250cffffffffff,10.0,0.0,0.0
8250d7fffffffff,2.0,0.0,0.0
8250effffffffff,6.0,0.0,0.0
82549ffffffffff,4.0,0.0,0.0
825d17fffffffff,238.0,0.0,0.0
825d2ffffffffff,3.0,0.0,0.0
825e5ffffffffff,2.0,0.0,0.0
825f5ffffffffff,7.0,0.0,0.0
