cell_id,Hirundapus caudacutus,Hirundapus caudacutus caudacutus,Hirundapus caudacutus nudipes
83209bfffffffff,2.0,0.0,0.0
832464fffffffff,4.0,0.0,0.0
832e1efffffffff,1.0,0.0,0.0
833006fffffffff,2.0,0.0,0.0
833030fffffffff,2.0,0.0,0.0
83309bfffffffff,6.0,0.0,0.0
8331aafffffffff,4.0,0.0,0.0
833c0afffffffff,19.0,0.0,0.0
833c19fffffffff,6.0,0.0,0.0
833c1dfffffffff,2.0,0.0,0.0
833c52fffffffff,5.0,0.0,0.0
833c58fffffffff,4.0,0.0,0.0
833c5afffffffff,4.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0
833cc1fffffffff,1.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0
833ce4fffffffff,6.0,0.0,0.0
833ce5fffffffff,11.0,0.0,0.0
833cecfffffffff,2.0,0.0,0.0
833d04fffffffff,1.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0
833d14fffffffff,2.0,0.0,0.0
833d15fffffffff,2.0,0.0,0.0
834004fffffffff,1.0,0.0,0.0
83402dfffffffff,1.0,0.0,0.0
834103fffffffff,8.0,0.0,0.0
834133fffffffff,1.0,0.0,0.0
834154fffffffff,3.0,0.0,0.0
834189fffffffff,2.0,0.0,0.0
8341a4fffffffff,2.0,0.0,0.0
8341b4fffffffff,4.0,0.0,0.0
834b84fffffffff,1.0,0.0,0.0
834b86fffffffff,11.0,0.0,0.0
834ba0fffffffff,13.0,0.0,0.0
834ba2fffffffff,4.0,0.0,0.0
834ba3fffffffff,1.0,0.0,0.0
836006fffffffff,2.0,2.0,0.0
836416fffffffff,15.0,0.0,0.0
836432fffffffff,26.0,0.0,2.0
8364a5fffffffff,4.0,0.0,0.0
8364e4fffffffff,5.0,0.0,0.0
836502fffffffff,2.0,0.0,0.0
83651cfffffffff,6.0,0.0,0.0
836526fffffffff,24.0,0.0,0.0
83658efffffffff,7.0,0.0,0.0
836599fffffffff,4.0,0.0,0.0
8365b6fffffffff,2.0,0.0,0.0
836811fffffffff,3.0,0.0,0.0
83685cfffffffff,4.0,0.0,0.0
83685dfffffffff,2.0,0.0,0.0
836934fffffffff,4.0,0.0,0.0
8372a3fffffffff,2.0,0.0,0.0
837390fffffffff,3.0,0.0,0.0
83739bfffffffff,2.0,0.0,0.0
838c45fffffffff,8.0,0.0,0.0
838cadfffffffff,2.0,0.0,0.0
839413fffffffff,3.0,0.0,0.0
839415fffffffff,1.0,0.0,0.0
839450fffffffff,3.0,0.0,0.0
839480fffffffff,2.0,0.0,0.0
839c00fffffffff,2.0,0.0,0.0
839c21fffffffff,1.0,0.0,0.0
839c23fffffffff,2.0,0.0,0.0
839cd3fffffffff,1.0,0.0,0.0
83ba69fffffffff,6.0,0.0,0.0
83bb50fffffffff,2.0,0.0,0.0
83be08fffffffff,2.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0
83be1afffffffff,3.0,0.0,0.0
83be40fffffffff,6.0,0.0,0.0
83be44fffffffff,2.0,0.0,0.0
83be45fffffffff,2.0,0.0,0.0
83be4cfffffffff,1.0,0.0,0.0
83be60fffffffff,1.0,0.0,0.0
83be61fffffffff,1.0,1.0,0.0
83be62fffffffff,2.0,0.0,0.0
83be63fffffffff,1.0,0.0,0.0
83be66fffffffff,1.0,0.0,0.0
83be72fffffffff,1.0,0.0,0.0
83be75fffffffff,2.0,0.0,0.0
83be76fffffffff,1.0,0.0,0.0
83be8dfffffffff,6.0,0.0,0.0
83beabfffffffff,12.0,0.0,0.0
83bee3fffffffff,2.0,0.0,0.0
83bf4cfffffffff,2.0,0.0,0.0
83d892fffffffff,1.0,0.0,0.0
83da82fffffffff,3.0,0.0,0.0
83daa9fffffffff,1.0,0.0,0.0
83daaafffffffff,2.0,0.0,0.0
