cell_id,Glyphorynchus spirurus,Glyphorynchus spirurus [pectoralis Group],Glyphorynchus spirurus [spirurus Group],Glyphorynchus spirurus albigularis,Glyphorynchus spirurus [cuneatus Group]
824527fffffffff,2.0,0.0,0.0,0.0,0.0
82452ffffffffff,7.0,0.0,0.0,0.0,0.0
825f07fffffffff,1.0,0.0,1.0,0.0,0.0
825f77fffffffff,2.0,0.0,0.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0,0.0
826627fffffffff,1.0,0.0,0.0,0.0,0.0
8266a7fffffffff,21.0,0.0,0.0,0.0,0.0
8266b7fffffffff,14.0,1.0,0.0,0.0,0.0
8266d7fffffffff,3.0,1.0,0.0,0.0,0.0
8266dffffffffff,8.0,0.0,5.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0,0.0,0.0
826797fffffffff,3.0,0.0,0.0,0.0,0.0
826d27fffffffff,7.0,0.0,0.0,0.0,0.0
826d2ffffffffff,17.0,3.0,0.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0,0.0,0.0
826d67fffffffff,6.0,0.0,0.0,0.0,0.0
826d6ffffffffff,15.0,5.0,0.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0,0.0,0.0
828b47fffffffff,1.0,0.0,0.0,0.0,0.0
828f0ffffffffff,3.0,3.0,0.0,0.0,0.0
828f67fffffffff,2.0,0.0,0.0,0.0,0.0
