cell_id,Fulica americana,Fulica americana (Red-shielded),Fulica americana (White-shielded)
8407411ffffffff,1.0,1.0,0.0
84075d9ffffffff,4.0,2.0,0.0
840c42dffffffff,4.0,0.0,0.0
840c455ffffffff,5.0,0.0,0.0
840c51dffffffff,7.0,3.0,0.0
840c5a5ffffffff,5.0,0.0,0.0
840c5adffffffff,8.0,0.0,0.0
840c733ffffffff,32.0,13.0,0.0
840c73bffffffff,2.0,0.0,0.0
840d5a9ffffffff,1.0,0.0,0.0
840e497ffffffff,2.0,0.0,0.0
840e4dbffffffff,13.0,0.0,0.0
840e805ffffffff,62.0,15.0,0.0
840eca7ffffffff,12.0,8.0,0.0
840ecbdffffffff,2.0,2.0,0.0
840ecc1ffffffff,9.0,0.0,0.0
840eea7ffffffff,208.0,25.0,0.0
841221dffffffff,2.0,2.0,0.0
8412265ffffffff,1.0,1.0,0.0
8412307ffffffff,1.0,1.0,0.0
8412309ffffffff,1.0,1.0,0.0
8412339ffffffff,1.0,1.0,0.0
841236dffffffff,1.0,1.0,0.0
84124b5ffffffff,1.0,1.0,0.0
8412591ffffffff,2.0,0.0,0.0
8412597ffffffff,2.0,0.0,0.0
84125d7ffffffff,9.0,0.0,0.0
841280dffffffff,2.0,0.0,0.0
8412847ffffffff,2.0,2.0,0.0
8412851ffffffff,2.0,0.0,0.0
8412865ffffffff,7.0,2.0,0.0
8412887ffffffff,3.0,3.0,0.0
8412891ffffffff,47.0,47.0,0.0
8412893ffffffff,25.0,25.0,0.0
8412895ffffffff,1.0,1.0,0.0
8412897ffffffff,11.0,11.0,0.0
8412899ffffffff,2.0,2.0,0.0
841289bffffffff,28.0,19.0,0.0
84128d3ffffffff,1.0,1.0,0.0
84128e3ffffffff,2.0,2.0,0.0
8412949ffffffff,3.0,0.0,0.0
8412b01ffffffff,3.0,2.0,0.0
8412b03ffffffff,13.0,7.0,0.0
8412b49ffffffff,4.0,0.0,0.0
8412c11ffffffff,13.0,2.0,0.0
8412c1dffffffff,4.0,0.0,0.0
8412c33ffffffff,11.0,11.0,0.0
8412c39ffffffff,6.0,6.0,0.0
8412c3bffffffff,74.0,69.0,0.0
8412c87ffffffff,2.0,0.0,0.0
8412c8bffffffff,4.0,0.0,0.0
8412c97ffffffff,12.0,2.0,0.0
8412c9dffffffff,4.0,2.0,0.0
8412cadffffffff,40.0,40.0,0.0
8412cb1ffffffff,8.0,4.0,0.0
8412cb3ffffffff,4.0,0.0,0.0
8412cbbffffffff,18.0,7.0,0.0
8412cc1ffffffff,30.0,15.0,0.0
8412cc9ffffffff,8.0,4.0,0.0
8412ccdffffffff,91.0,4.0,0.0
8412cd7ffffffff,1.0,1.0,0.0
8412cd9ffffffff,7.0,0.0,0.0
8412ce5ffffffff,23.0,21.0,0.0
8412cedffffffff,4.0,4.0,0.0
8412d41ffffffff,13.0,13.0,0.0
8412d45ffffffff,1.0,1.0,0.0
8412d47ffffffff,2.0,2.0,0.0
8412d4dffffffff,2.0,2.0,0.0
8412d63ffffffff,6.0,0.0,0.0
8412d69ffffffff,2.0,2.0,0.0
8412d95ffffffff,5.0,5.0,0.0
8412d97ffffffff,2.0,2.0,0.0
8412d9dffffffff,33.0,7.0,0.0
8412db1ffffffff,1.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0
8412dd3ffffffff,2.0,2.0,0.0
8412dd7ffffffff,2.0,0.0,0.0
8412ddbffffffff,325.0,321.0,0.0
8412de5ffffffff,2.0,0.0,0.0
8412e17ffffffff,3.0,3.0,0.0
8412e8bffffffff,8.0,6.0,0.0
8412ea5ffffffff,1.0,0.0,0.0
8412ec1ffffffff,2.0,0.0,0.0
8412ec9ffffffff,2.0,0.0,0.0
8412f6dffffffff,2.0,0.0,0.0
8413529ffffffff,6.0,3.0,0.0
8413829ffffffff,5.0,4.0,0.0
8413861ffffffff,59.0,25.0,0.0
84138c7ffffffff,18.0,18.0,0.0
8413911ffffffff,2.0,2.0,0.0
84139e1ffffffff,17.0,16.0,0.0
8413a95ffffffff,7.0,7.0,0.0
8413b33ffffffff,2.0,2.0,0.0
8413b53ffffffff,6.0,6.0,0.0
8418019ffffffff,2.0,0.0,0.0
841805dffffffff,4.0,4.0,0.0
841823dffffffff,2.0,0.0,0.0
841828bffffffff,6.0,0.0,0.0
8418495ffffffff,2.0,0.0,0.0
841948dffffffff,2.0,0.0,0.0
841aa07ffffffff,346.0,83.0,0.0
841aa3dffffffff,2.0,2.0,0.0
841aa6bffffffff,4.0,2.0,0.0
841d243ffffffff,22.0,0.0,0.0
842600bffffffff,6.0,6.0,0.0
8426017ffffffff,5.0,0.0,0.0
8426033ffffffff,1.0,0.0,0.0
8426039ffffffff,46.0,5.0,1.0
842603dffffffff,2.0,0.0,0.0
842605bffffffff,2.0,0.0,0.0
8426067ffffffff,4.0,4.0,0.0
8426085ffffffff,19.0,19.0,0.0
842608dffffffff,30.0,6.0,0.0
84260a1ffffffff,41.0,41.0,0.0
84260a3ffffffff,2.0,0.0,0.0
84260a9ffffffff,6.0,6.0,0.0
84260adffffffff,45.0,45.0,0.0
84260b9ffffffff,41.0,16.0,0.0
84260bbffffffff,2.0,0.0,0.0
84260d1ffffffff,2.0,0.0,0.0
84260e3ffffffff,59.0,45.0,0.0
84260e7ffffffff,8.0,8.0,0.0
84260ebffffffff,4.0,4.0,0.0
8426117ffffffff,2.0,2.0,0.0
8426137ffffffff,2.0,0.0,0.0
8426165ffffffff,5.0,5.0,0.0
8426183ffffffff,39.0,39.0,0.0
8426187ffffffff,9.0,9.0,0.0
8426189ffffffff,8.0,8.0,0.0
842618bffffffff,3.0,3.0,0.0
8426191ffffffff,7.0,7.0,0.0
8426199ffffffff,6.0,0.0,0.0
842619dffffffff,35.0,31.0,0.0
84261abffffffff,2.0,2.0,0.0
84261b1ffffffff,6.0,5.0,0.0
84261b3ffffffff,2.0,2.0,0.0
