cell_id,Amazona festiva,Amazona festiva bodini,Amazona festiva festiva
845f091ffffffff,1.0,0.0,0.0
845f095ffffffff,193.0,0.0,0.0
845f097ffffffff,1.0,0.0,0.0
845f0dbffffffff,3.0,0.0,0.0
845f407ffffffff,3.0,0.0,0.0
845f42bffffffff,18.0,0.0,0.0
845f431ffffffff,1.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0
845f437ffffffff,5.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f68bffffffff,12.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0
846650dffffffff,3.0,0.0,0.0
8466529ffffffff,12.0,0.0,0.0
8466543ffffffff,4.0,0.0,0.0
8466545ffffffff,3.0,0.0,0.0
8466549ffffffff,5.0,0.0,0.0
846654bffffffff,75.0,0.0,0.0
8466561ffffffff,2.0,0.0,0.0
8466563ffffffff,1.0,0.0,0.0
846656bffffffff,6.0,0.0,0.0
84665abffffffff,10.0,0.0,0.0
84665bdffffffff,2.0,0.0,0.0
8466603ffffffff,10.0,0.0,0.0
846660bffffffff,4.0,0.0,0.0
846660dffffffff,2.0,0.0,0.0
8466623ffffffff,5.0,0.0,0.0
8466627ffffffff,3.0,0.0,0.0
8466639ffffffff,39.0,0.0,0.0
846663dffffffff,10.0,0.0,0.0
8466701ffffffff,1.0,0.0,0.0
8466705ffffffff,1.0,0.0,0.0
846670dffffffff,1.0,0.0,0.0
8466715ffffffff,9.0,0.0,0.0
846671bffffffff,4.0,0.0,0.0
8466723ffffffff,2.0,0.0,0.0
8466727ffffffff,2.0,0.0,0.0
8466729ffffffff,2.0,0.0,0.0
8466731ffffffff,17.0,0.0,0.0
8466735ffffffff,48.0,0.0,0.0
8466737ffffffff,4.0,0.0,0.0
8466763ffffffff,4.0,0.0,0.0
8466c23ffffffff,9.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c95ffffffff,2.0,0.0,0.0
8466ce1ffffffff,9.0,0.0,0.0
8466ce9ffffffff,2.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0
8466e53ffffffff,1.0,0.0,0.0
8466e57ffffffff,7.0,0.0,0.0
8466eadffffffff,4.0,0.0,0.0
8466ec9ffffffff,2.0,0.0,0.0
8466ecbffffffff,4.0,0.0,0.0
848040bffffffff,3.0,0.0,0.0
848041dffffffff,6.0,0.0,0.0
8480685ffffffff,2.0,0.0,0.0
848068dffffffff,2.0,0.0,0.0
84806c3ffffffff,2.0,0.0,0.0
84806ddffffffff,2.0,0.0,0.0
848a003ffffffff,12.0,0.0,2.0
848a191ffffffff,2.0,0.0,2.0
848a1b1ffffffff,2.0,0.0,2.0
848a1e5ffffffff,4.0,0.0,0.0
848a2a3ffffffff,1.0,0.0,0.0
848a41bffffffff,1.0,0.0,0.0
848a41dffffffff,2.0,0.0,0.0
848a451ffffffff,107.0,0.0,2.0
848a457ffffffff,2.0,0.0,0.0
848a459ffffffff,84.0,0.0,4.0
848a45bffffffff,133.0,0.0,5.0
848a45dffffffff,78.0,0.0,0.0
848a4e5ffffffff,6.0,0.0,0.0
848a525ffffffff,8.0,0.0,0.0
848a637ffffffff,6.0,0.0,0.0
848a68bffffffff,7.0,0.0,0.0
848a699ffffffff,11.0,0.0,0.0
848a6d1ffffffff,1.0,0.0,0.0
848a6d3ffffffff,6.0,0.0,0.0
848a6d7ffffffff,100.0,0.0,0.0
848a6d9ffffffff,95.0,0.0,0.0
848a6dbffffffff,3.0,0.0,0.0
848a703ffffffff,12.0,0.0,0.0
848a707ffffffff,4.0,0.0,0.0
848a70bffffffff,15.0,0.0,0.0
848a73dffffffff,7.0,0.0,0.0
848a8c1ffffffff,15.0,0.0,0.0
848a8c9ffffffff,3.0,0.0,2.0
848a8cbffffffff,1.0,0.0,0.0
848a8cdffffffff,13.0,0.0,2.0
848a9c1ffffffff,13.0,0.0,0.0
848a9c5ffffffff,3.0,0.0,0.0
848a9cdffffffff,1.0,0.0,0.0
848a9d9ffffffff,5.0,0.0,0.0
848aa93ffffffff,4.0,0.0,0.0
848aa97ffffffff,3.0,0.0,0.0
848aaa3ffffffff,5.0,0.0,0.0
848aaa7ffffffff,1.0,0.0,1.0
848aab1ffffffff,18.0,0.0,0.0
848aab3ffffffff,13.0,0.0,0.0
848aab5ffffffff,22.0,0.0,2.0
848aab9ffffffff,18.0,0.0,0.0
848aabdffffffff,4.0,0.0,3.0
848aacbffffffff,4.0,0.0,0.0
848aad3ffffffff,2.0,0.0,0.0
848aad5ffffffff,2.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0
848aaddffffffff,6.0,0.0,0.0
848ac09ffffffff,1.0,0.0,0.0
848ac0bffffffff,1.0,0.0,0.0
848ac4bffffffff,3.0,0.0,1.0
848ac55ffffffff,1.0,0.0,0.0
848ac63ffffffff,1.0,0.0,0.0
848adbbffffffff,2.0,0.0,0.0
848adc5ffffffff,10.0,0.0,0.0
848adcdffffffff,5.0,0.0,0.0
848ae21ffffffff,1.0,0.0,0.0
848ae53ffffffff,2.0,0.0,0.0
848ae59ffffffff,1.0,0.0,0.0
848ae5bffffffff,70.0,0.0,0.0
848ae85ffffffff,3.0,0.0,0.0
848aee3ffffffff,6.0,0.0,0.0
848af03ffffffff,1.0,0.0,0.0
848af09ffffffff,194.0,0.0,21.0
848af0bffffffff,35.0,0.0,9.0
848af0dffffffff,2.0,0.0,0.0
848af11ffffffff,9.0,0.0,0.0
848af13ffffffff,4.0,0.0,0.0
848af19ffffffff,2.0,0.0,0.0
848af1dffffffff,25.0,0.0,1.0
848af29ffffffff,2.0,0.0,0.0
848af2bffffffff,15.0,0.0,0.0
848af2dffffffff,6.0,0.0,0.0
848af41ffffffff,3.0,0.0,1.0
848af43ffffffff,1.0,0.0,0.0
848af45ffffffff,50.0,0.0,12.0
848af47ffffffff,28.0,0.0,2.0
848af49ffffffff,2.0,0.0,0.0
848af4bffffffff,3.0,0.0,3.0
848af61ffffffff,6.0,0.0,0.0
848af63ffffffff,1.0,0.0,0.0
848af69ffffffff,155.0,0.0,6.0
848af6bffffffff,17.0,0.0,3.0
848af6dffffffff,5.0,0.0,0.0
848f44bffffffff,1.0,0.0,0.0
848f45bffffffff,1.0,0.0,0.0
848f489ffffffff,4.0,0.0,0.0
848f48bffffffff,1.0,0.0,0.0
848f611ffffffff,8.0,0.0,0.0
848f613ffffffff,38.0,0.0,0.0
