cell_id,Cyanolyca armillata,Cyanolyca armillata armillata/meridana,Cyanolyca armillata quindiuna
836608fffffffff,23.0,0.0,0.0
836609fffffffff,3.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
83660bfffffffff,32.0,0.0,0.0
83660cfffffffff,57.0,2.0,0.0
83660dfffffffff,17.0,0.0,0.0
836618fffffffff,259.0,0.0,5.0
836619fffffffff,269.0,0.0,0.0
83661bfffffffff,537.0,0.0,13.0
83661dfffffffff,9.0,0.0,0.0
836629fffffffff,71.0,1.0,0.0
83662bfffffffff,34.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0
8366c2fffffffff,88.0,0.0,0.0
8366c4fffffffff,18.0,0.0,0.0
8366c6fffffffff,103.0,0.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366e0fffffffff,130.0,2.0,0.0
8366e2fffffffff,99.0,0.0,0.0
8366e4fffffffff,106.0,0.0,0.0
8366e5fffffffff,183.0,1.0,0.0
8366e6fffffffff,1884.0,6.0,26.0
8366f1fffffffff,74.0,0.0,0.0
8366f5fffffffff,180.0,0.0,0.0
83675afffffffff,16.0,0.0,0.0
