cell_id,Spinus pinus,Spinus pinus pinus/macropterus,Spinus pinus perplexus,Spinus pinus (green morph)
840c063ffffffff,2.0,0.0,0.0,0.0
840c145ffffffff,9.0,0.0,0.0,0.0
840c147ffffffff,6.0,0.0,0.0,0.0
840c14bffffffff,4.0,0.0,0.0,0.0
840c15dffffffff,4.0,0.0,0.0,0.0
840c415ffffffff,47.0,0.0,0.0,0.0
840c42dffffffff,1.0,1.0,0.0,0.0
840c465ffffffff,10.0,4.0,0.0,0.0
840c46dffffffff,18.0,0.0,0.0,0.0
840c501ffffffff,1.0,0.0,0.0,0.0
840c51dffffffff,5.0,0.0,0.0,0.0
840c54bffffffff,2.0,0.0,0.0,0.0
840c5a5ffffffff,1.0,0.0,0.0,0.0
840c5adffffffff,5.0,0.0,0.0,0.0
840c70dffffffff,4.0,0.0,0.0,0.0
840c733ffffffff,11.0,0.0,0.0,0.0
840c809ffffffff,2.0,0.0,0.0,0.0
840ca43ffffffff,52.0,1.0,0.0,0.0
840cce9ffffffff,1.0,0.0,0.0,0.0
840cd8dffffffff,1.0,0.0,0.0,0.0
840cdd7ffffffff,4.0,0.0,0.0,0.0
840cec5ffffffff,3.0,0.0,0.0,0.0
840d039ffffffff,5.0,0.0,0.0,0.0
840e4a9ffffffff,2.0,0.0,0.0,0.0
840e805ffffffff,28.0,0.0,0.0,0.0
840ec81ffffffff,1.0,0.0,0.0,1.0
840ec85ffffffff,2.0,0.0,0.0,0.0
840ec91ffffffff,2.0,0.0,0.0,0.0
840ec95ffffffff,2.0,0.0,0.0,0.0
840ec9bffffffff,2.0,2.0,0.0,0.0
840ec9dffffffff,2.0,2.0,0.0,0.0
840ecb3ffffffff,2.0,2.0,0.0,0.0
840ecc1ffffffff,2.0,0.0,0.0,0.0
840ecd7ffffffff,13.0,13.0,0.0,0.0
840ed85ffffffff,2.0,0.0,0.0,0.0
840eea7ffffffff,7.0,3.0,0.0,0.0
84121d5ffffffff,2.0,2.0,0.0,0.0
8412307ffffffff,3.0,0.0,0.0,0.0
8412515ffffffff,4.0,4.0,0.0,0.0
8412697ffffffff,2.0,0.0,0.0,0.0
84128bdffffffff,1.0,0.0,0.0,0.0
8412a25ffffffff,1.0,0.0,0.0,0.0
8412ab3ffffffff,4.0,0.0,0.0,0.0
8412ad7ffffffff,2.0,0.0,0.0,0.0
8412b01ffffffff,3.0,0.0,0.0,0.0
8412b03ffffffff,29.0,0.0,0.0,0.0
8412b4bffffffff,3.0,0.0,0.0,2.0
8412b6bffffffff,3.0,3.0,0.0,0.0
