cell_id,Aramides cajaneus,Aramides cajaneus cajaneus,Aramides cajaneus avicenniae
825f07fffffffff,8.0,0.0,0.0
825f0ffffffffff,5.0,0.0,0.0
825f17fffffffff,20.0,0.0,0.0
825f1ffffffffff,14.0,0.0,0.0
825f27fffffffff,3.0,0.0,0.0
825f2ffffffffff,93.0,0.0,0.0
825f47fffffffff,14.0,0.0,0.0
825f4ffffffffff,34.0,0.0,0.0
825f57fffffffff,8.0,0.0,0.0
825f5ffffffffff,150.0,0.0,0.0
825f6ffffffffff,6.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0
826607fffffffff,227.0,0.0,0.0
82660ffffffffff,820.0,6.0,0.0
826617fffffffff,567.0,0.0,0.0
82661ffffffffff,734.0,4.0,0.0
826627fffffffff,266.0,15.0,0.0
82662ffffffffff,20.0,0.0,0.0
826637fffffffff,136.0,0.0,0.0
826647fffffffff,42.0,0.0,0.0
826657fffffffff,492.0,0.0,0.0
82665ffffffffff,10.0,0.0,0.0
826667fffffffff,59.0,0.0,0.0
82666ffffffffff,6.0,0.0,0.0
826677fffffffff,487.0,0.0,0.0
826687fffffffff,27.0,0.0,0.0
8266a7fffffffff,3636.0,0.0,0.0
8266b7fffffffff,7498.0,0.0,0.0
8266c7fffffffff,1464.0,15.0,0.0
8266cffffffffff,49.0,0.0,0.0
8266d7fffffffff,10.0,0.0,0.0
8266dffffffffff,284.0,18.0,0.0
8266e7fffffffff,5021.0,59.0,0.0
8266effffffffff,277.0,1.0,0.0
8266f7fffffffff,1669.0,12.0,0.0
826747fffffffff,181.0,1.0,0.0
82674ffffffffff,649.0,23.0,0.0
826757fffffffff,158.0,2.0,0.0
82675ffffffffff,204.0,6.0,0.0
82679ffffffffff,176.0,0.0,0.0
826d6ffffffffff,2489.0,0.0,0.0
828007fffffffff,3.0,0.0,0.0
82800ffffffffff,10.0,0.0,0.0
828017fffffffff,202.0,5.0,0.0
82802ffffffffff,2.0,0.0,0.0
828037fffffffff,89.0,10.0,0.0
828047fffffffff,35.0,0.0,0.0
82804ffffffffff,13.0,0.0,0.0
828057fffffffff,11.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
828077fffffffff,3.0,0.0,0.0
828107fffffffff,4.0,0.0,0.0
828117fffffffff,10.0,0.0,0.0
828127fffffffff,79.0,3.0,0.0
828137fffffffff,5.0,0.0,0.0
828147fffffffff,55.0,0.0,0.0
82814ffffffffff,59.0,0.0,0.0
828157fffffffff,2.0,0.0,0.0
82815ffffffffff,46.0,0.0,0.0
828167fffffffff,81.0,2.0,0.0
828177fffffffff,25.0,0.0,0.0
828187fffffffff,112.0,12.0,0.0
82818ffffffffff,10.0,0.0,0.0
82819ffffffffff,38.0,0.0,0.0
828a07fffffffff,10.0,0.0,0.0
828a17fffffffff,6.0,3.0,0.0
828a27fffffffff,3.0,1.0,0.0
828a47fffffffff,22.0,0.0,0.0
828a57fffffffff,6.0,0.0,0.0
828a6ffffffffff,158.0,0.0,0.0
828a77fffffffff,7.0,0.0,0.0
828a87fffffffff,5.0,0.0,0.0
828a8ffffffffff,22.0,0.0,0.0
828a9ffffffffff,12.0,0.0,0.0
828aaffffffffff,31.0,2.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828adffffffffff,16.0,0.0,0.0
828af7fffffffff,97.0,19.0,0.0
828b07fffffffff,31.0,0.0,0.0
828b0ffffffffff,186.0,0.0,0.0
828b17fffffffff,12.0,0.0,0.0
828b1ffffffffff,8.0,0.0,0.0
828b27fffffffff,420.0,0.0,0.0
828b2ffffffffff,145.0,0.0,0.0
828b37fffffffff,68.0,0.0,0.0
828b47fffffffff,543.0,12.0,0.0
828b4ffffffffff,3.0,3.0,0.0
828b57fffffffff,36.0,4.0,0.0
828b5ffffffffff,13.0,2.0,0.0
828b67fffffffff,832.0,18.0,0.0
828b6ffffffffff,91.0,0.0,0.0
828b77fffffffff,143.0,0.0,0.0
828b87fffffffff,4.0,0.0,0.0
828b8ffffffffff,5.0,0.0,0.0
828b9ffffffffff,84.0,2.0,0.0
828ba7fffffffff,49.0,0.0,0.0
828bb7fffffffff,44.0,6.0,0.0
828e67fffffffff,73.0,0.0,0.0
828f47fffffffff,153.0,5.0,0.0
828f4ffffffffff,39.0,0.0,0.0
828f5ffffffffff,15.0,0.0,0.0
828f67fffffffff,24.0,0.0,0.0
828f6ffffffffff,44.0,8.0,0.0
828f77fffffffff,6.0,0.0,0.0
82a597fffffffff,4.0,0.0,0.0
82a807fffffffff,13.0,0.0,0.0
82a80ffffffffff,19.0,0.0,0.0
82a817fffffffff,687.0,0.0,0.0
82a81ffffffffff,685.0,0.0,0.0
82a82ffffffffff,14.0,0.0,0.0
82a837fffffffff,228.0,4.0,0.0
82a847fffffffff,804.0,34.0,0.0
82a84ffffffffff,22.0,0.0,0.0
82a857fffffffff,92.0,7.0,0.0
82a85ffffffffff,3562.0,151.0,0.0
82a867fffffffff,42.0,0.0,0.0
82a86ffffffffff,19.0,0.0,0.0
82a877fffffffff,31.0,0.0,0.0
82a887fffffffff,42.0,6.0,0.0
82a88ffffffffff,170.0,4.0,0.0
82a897fffffffff,49.0,10.0,0.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,794.0,4.0,0.0
82a8affffffffff,159.0,16.0,0.0
82a8b7fffffffff,28.0,0.0,0.0
82a8c7fffffffff,95.0,4.0,0.0
82a8cffffffffff,11.0,9.0,0.0
82a8d7fffffffff,152.0,39.0,0.0
82a8dffffffffff,52.0,0.0,0.0
82a8e7fffffffff,12.0,0.0,0.0
82a8effffffffff,4.0,0.0,0.0
82a8f7fffffffff,53.0,0.0,0.0
82a907fffffffff,75.0,2.0,0.0
82a90ffffffffff,34.0,0.0,0.0
82a91ffffffffff,100.0,0.0,0.0
82a927fffffffff,1.0,0.0,0.0
82a92ffffffffff,261.0,1.0,0.0
82a947fffffffff,405.0,0.0,0.0
82a94ffffffffff,367.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a95ffffffffff,49.0,0.0,0.0
82a967fffffffff,193.0,0.0,0.0
82a96ffffffffff,196.0,0.0,0.0
82a977fffffffff,63.0,0.0,0.0
82b247fffffffff,82.0,0.0,0.0
82b24ffffffffff,8.0,0.0,0.0
82b257fffffffff,3.0,0.0,0.0
82b25ffffffffff,146.0,0.0,0.0
82b267fffffffff,24.0,0.0,0.0
82b26ffffffffff,16.0,0.0,0.0
82b277fffffffff,99.0,0.0,0.0
82b327fffffffff,7.0,0.0,0.0
82b347fffffffff,608.0,0.0,0.0
82b34ffffffffff,2.0,0.0,0.0
