cell_id,Gallinula galeata,Gallinula galeata [galeata Group],Gallinula galeata garmani,Gallinula galeata sandvicensis
8426017ffffffff,2.0,0.0,0.0,0.0
84260b9ffffffff,108.0,0.0,0.0,0.0
8426281ffffffff,2.0,0.0,0.0,0.0
84262a1ffffffff,8.0,0.0,0.0,0.0
84262a7ffffffff,2.0,0.0,0.0,0.0
84262b1ffffffff,2.0,0.0,0.0,0.0
84262b3ffffffff,5.0,0.0,0.0,0.0
84262b9ffffffff,2.0,0.0,0.0,0.0
84262bbffffffff,1.0,0.0,0.0,0.0
84262dbffffffff,4.0,0.0,0.0,0.0
8426405ffffffff,16.0,0.0,0.0,0.0
842640dffffffff,90.0,0.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0,0.0
8426417ffffffff,23.0,0.0,0.0,0.0
8426437ffffffff,33.0,0.0,0.0,0.0
842643bffffffff,4.0,0.0,0.0,0.0
8426459ffffffff,2.0,0.0,0.0,0.0
8426461ffffffff,34.0,0.0,0.0,0.0
8426463ffffffff,59.0,0.0,0.0,0.0
842646bffffffff,6.0,0.0,0.0,0.0
842646dffffffff,4.0,0.0,0.0,0.0
84264b7ffffffff,8.0,0.0,0.0,0.0
842652bffffffff,5.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0
8426547ffffffff,7.0,0.0,0.0,0.0
8426555ffffffff,100.0,0.0,0.0,0.0
842655dffffffff,4.0,0.0,0.0,0.0
8426599ffffffff,5.0,0.0,0.0,0.0
84265b3ffffffff,1.0,0.0,0.0,0.0
84265b9ffffffff,4.0,0.0,0.0,0.0
84265d9ffffffff,28.0,0.0,0.0,0.0
8426603ffffffff,4.0,0.0,0.0,0.0
8426609ffffffff,33.0,0.0,0.0,0.0
842660bffffffff,8.0,0.0,0.0,0.0
842661bffffffff,41.0,0.0,0.0,0.0
8426625ffffffff,13.0,0.0,0.0,0.0
842662bffffffff,1.0,0.0,0.0,0.0
842663bffffffff,3.0,0.0,0.0,0.0
8426641ffffffff,344.0,0.0,0.0,0.0
8426645ffffffff,43.0,0.0,0.0,0.0
8426647ffffffff,5.0,0.0,0.0,0.0
8426649ffffffff,7.0,0.0,0.0,0.0
842664bffffffff,99.0,0.0,0.0,0.0
842664dffffffff,23.0,0.0,0.0,0.0
8426657ffffffff,34.0,0.0,0.0,0.0
8426659ffffffff,2.0,0.0,0.0,0.0
8426665ffffffff,127.0,0.0,0.0,0.0
8426669ffffffff,95.0,0.0,0.0,0.0
842666bffffffff,4.0,0.0,0.0,0.0
84266a1ffffffff,4.0,0.0,0.0,0.0
84266adffffffff,9.0,0.0,0.0,0.0
84266c1ffffffff,13.0,0.0,0.0,0.0
84266c5ffffffff,5.0,0.0,0.0,0.0
84266e1ffffffff,488.0,0.0,0.0,0.0
84266e7ffffffff,17.0,0.0,0.0,0.0
8426711ffffffff,12.0,0.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0,0.0
8426719ffffffff,142.0,0.0,0.0,0.0
842671bffffffff,15.0,0.0,0.0,0.0
8426745ffffffff,3.0,0.0,0.0,0.0
8426747ffffffff,15.0,0.0,0.0,0.0
842675bffffffff,2.0,0.0,0.0,0.0
8426769ffffffff,2.0,0.0,0.0,0.0
8426c37ffffffff,39.0,0.0,0.0,0.0
8426c91ffffffff,4.0,0.0,0.0,0.0
8426c97ffffffff,10.0,0.0,0.0,0.0
8426c99ffffffff,2.0,0.0,0.0,0.0
8426cabffffffff,2.0,0.0,0.0,0.0
8426cb9ffffffff,54.0,0.0,0.0,0.0
8426cbdffffffff,44.0,0.0,0.0,0.0
8426d19ffffffff,1.0,0.0,0.0,0.0
8426d81ffffffff,2.0,0.0,0.0,0.0
8426d95ffffffff,44.0,0.0,0.0,0.0
8426d9dffffffff,2.0,0.0,0.0,0.0
8426dbbffffffff,8.0,0.0,0.0,0.0
8426dbdffffffff,2.0,0.0,0.0,0.0
8426de3ffffffff,1.0,0.0,0.0,0.0
8426de7ffffffff,19.0,0.0,0.0,0.0
8426e21ffffffff,48.0,0.0,0.0,0.0
8426e2dffffffff,128.0,0.0,0.0,0.0
8426e5bffffffff,25.0,0.0,0.0,0.0
8427411ffffffff,28.0,0.0,0.0,0.0
8427417ffffffff,4.0,0.0,0.0,0.0
8427435ffffffff,76.0,0.0,0.0,0.0
8427437ffffffff,2.0,0.0,0.0,0.0
842743dffffffff,5.0,0.0,0.0,0.0
8427481ffffffff,22.0,0.0,0.0,0.0
8427483ffffffff,6.0,0.0,0.0,0.0
8427485ffffffff,28.0,0.0,0.0,0.0
8427487ffffffff,7.0,0.0,0.0,0.0
842748dffffffff,3.0,0.0,0.0,0.0
8427499ffffffff,125.0,0.0,0.0,0.0
84274a3ffffffff,11.0,0.0,0.0,0.0
84274abffffffff,48.0,0.0,0.0,0.0
84274b3ffffffff,6.0,0.0,0.0,0.0
84274b5ffffffff,12.0,0.0,0.0,0.0
84274b7ffffffff,5.0,0.0,0.0,0.0
84274b9ffffffff,7.0,0.0,0.0,0.0
84274bbffffffff,81.0,0.0,0.0,0.0
84274d3ffffffff,46.0,0.0,0.0,0.0
84274d5ffffffff,99.0,0.0,0.0,0.0
84274d7ffffffff,3.0,0.0,0.0,0.0
84274d9ffffffff,2.0,0.0,0.0,0.0
84274dbffffffff,3.0,0.0,0.0,0.0
84274ddffffffff,617.0,0.0,0.0,0.0
84274e1ffffffff,28.0,0.0,0.0,0.0
84274e3ffffffff,146.0,0.0,0.0,0.0
84274edffffffff,6.0,0.0,0.0,0.0
8427513ffffffff,4.0,0.0,0.0,0.0
8427581ffffffff,169.0,0.0,0.0,0.0
8427585ffffffff,2.0,0.0,0.0,0.0
8427589ffffffff,36.0,0.0,0.0,0.0
842758bffffffff,113.0,0.0,0.0,0.0
842758dffffffff,9.0,0.0,0.0,0.0
8427591ffffffff,249.0,0.0,0.0,0.0
8427593ffffffff,91.0,0.0,0.0,0.0
8427597ffffffff,9.0,0.0,0.0,0.0
8427599ffffffff,13.0,0.0,0.0,0.0
842759dffffffff,14.0,0.0,0.0,0.0
84275b3ffffffff,24.0,0.0,0.0,0.0
84275b5ffffffff,100.0,0.0,0.0,0.0
84275b7ffffffff,26.0,0.0,0.0,0.0
84275c1ffffffff,2.0,0.0,0.0,0.0
84275c3ffffffff,1175.0,0.0,0.0,0.0
84275c7ffffffff,2.0,0.0,0.0,0.0
84275c9ffffffff,32.0,0.0,0.0,0.0
84275cbffffffff,2.0,0.0,0.0,0.0
84275d1ffffffff,5.0,0.0,0.0,0.0
84275d5ffffffff,206.0,0.0,0.0,0.0
84275d7ffffffff,75.0,0.0,0.0,0.0
84275ddffffffff,2.0,0.0,0.0,0.0
8427693ffffffff,67.0,0.0,0.0,0.0
84276a7ffffffff,9.0,0.0,0.0,0.0
84276b1ffffffff,7.0,0.0,0.0,0.0
84276b5ffffffff,18.0,0.0,0.0,0.0
84276b7ffffffff,567.0,0.0,0.0,0.0
84276bdffffffff,84.0,0.0,0.0,0.0
842806dffffffff,4.0,0.0,0.0,0.0
842810bffffffff,4.0,0.0,0.0,0.0
842814bffffffff,47.0,0.0,0.0,0.0
8428151ffffffff,116.0,0.0,0.0,0.0
8428153ffffffff,12.0,0.0,0.0,0.0
8428157ffffffff,29.0,0.0,0.0,0.0
8428159ffffffff,37.0,0.0,0.0,0.0
842815dffffffff,8.0,0.0,0.0,0.0
8428301ffffffff,562.0,18.0,0.0,0.0
8428303ffffffff,90.0,0.0,0.0,0.0
8428305ffffffff,340.0,0.0,0.0,0.0
8428307ffffffff,262.0,5.0,0.0,0.0
8428309ffffffff,229.0,0.0,0.0,0.0
842830bffffffff,2738.0,55.0,0.0,0.0
842830dffffffff,453.0,0.0,0.0,0.0
8428315ffffffff,14.0,0.0,0.0,0.0
8428317ffffffff,2.0,0.0,0.0,0.0
842831dffffffff,149.0,0.0,0.0,0.0
8428321ffffffff,229.0,0.0,0.0,0.0
8428323ffffffff,548.0,0.0,0.0,0.0
8428327ffffffff,1.0,0.0,0.0,0.0
8428329ffffffff,707.0,0.0,0.0,0.0
842832bffffffff,1844.0,78.0,0.0,0.0
842832dffffffff,8.0,0.0,0.0,0.0
8428331ffffffff,1099.0,21.0,0.0,0.0
8428333ffffffff,2.0,0.0,0.0,0.0
8428335ffffffff,749.0,2.0,0.0,0.0
8428337ffffffff,54.0,3.0,0.0,0.0
8428339ffffffff,7.0,0.0,0.0,0.0
842833bffffffff,12.0,0.0,0.0,0.0
842833dffffffff,69.0,3.0,0.0,0.0
8428341ffffffff,190.0,2.0,0.0,0.0
8428345ffffffff,134.0,8.0,0.0,0.0
8428347ffffffff,2818.0,44.0,0.0,0.0
842834dffffffff,938.0,0.0,0.0,0.0
8428357ffffffff,6.0,0.0,0.0,0.0
8428361ffffffff,200.0,0.0,0.0,0.0
8428363ffffffff,11.0,0.0,0.0,0.0
8428365ffffffff,165.0,0.0,0.0,0.0
8428367ffffffff,161.0,0.0,0.0,0.0
8428369ffffffff,231.0,0.0,0.0,0.0
842836bffffffff,73.0,0.0,0.0,0.0
842836dffffffff,12.0,0.0,0.0,0.0
8429125ffffffff,15.0,0.0,0.0,0.0
8429127ffffffff,358.0,0.0,0.0,0.0
84291a7ffffffff,6.0,0.0,0.0,0.0
8429859ffffffff,41.0,6.0,0.0,0.0
8429861ffffffff,84.0,0.0,0.0,0.0
8429863ffffffff,3.0,0.0,0.0,0.0
8429865ffffffff,7.0,0.0,0.0,0.0
8429869ffffffff,2893.0,0.0,0.0,0.0
842986bffffffff,394.0,0.0,0.0,0.0
8429883ffffffff,4.0,0.0,0.0,0.0
842989bffffffff,2.0,0.0,0.0,0.0
84298b9ffffffff,3.0,0.0,0.0,0.0
842990bffffffff,2.0,0.0,0.0,0.0
8429957ffffffff,34.0,0.0,0.0,0.0
842995bffffffff,1.0,0.0,0.0,0.0
8429a01ffffffff,345.0,0.0,0.0,0.0
8429a03ffffffff,8.0,0.0,0.0,0.0
8429a05ffffffff,3.0,0.0,0.0,0.0
8429a09ffffffff,139.0,0.0,0.0,0.0
8429a0bffffffff,1404.0,0.0,0.0,0.0
8429a0dffffffff,32.0,0.0,0.0,0.0
8429a11ffffffff,8.0,0.0,0.0,0.0
8429a13ffffffff,3.0,0.0,0.0,0.0
8429a15ffffffff,4.0,0.0,0.0,0.0
8429a17ffffffff,227.0,0.0,0.0,0.0
8429a19ffffffff,281.0,0.0,0.0,0.0
8429a1dffffffff,1046.0,0.0,0.0,0.0
8429a3bffffffff,44.0,8.0,0.0,0.0
8429a41ffffffff,1143.0,0.0,0.0,0.0
8429a43ffffffff,399.0,0.0,0.0,0.0
8429a45ffffffff,898.0,0.0,0.0,0.0
8429a47ffffffff,878.0,0.0,0.0,0.0
8429a4dffffffff,1182.0,0.0,0.0,0.0
8429a55ffffffff,2740.0,0.0,0.0,0.0
8429a57ffffffff,225.0,0.0,0.0,0.0
8429a61ffffffff,185.0,0.0,0.0,0.0
8429a63ffffffff,35.0,0.0,0.0,0.0
8429a6dffffffff,1533.0,0.0,0.0,0.0
8429a81ffffffff,47.0,0.0,0.0,0.0
8429a83ffffffff,11.0,0.0,0.0,0.0
8429a85ffffffff,17.0,0.0,0.0,0.0
8429a87ffffffff,10.0,0.0,0.0,0.0
8429a89ffffffff,257.0,19.0,0.0,0.0
8429a8dffffffff,44.0,3.0,0.0,0.0
8429a91ffffffff,5.0,0.0,0.0,0.0
8429a93ffffffff,15.0,0.0,0.0,0.0
8429a95ffffffff,12.0,0.0,0.0,0.0
8429a97ffffffff,321.0,0.0,0.0,0.0
8429a99ffffffff,2.0,0.0,0.0,0.0
8429a9bffffffff,3.0,0.0,0.0,0.0
8429a9dffffffff,1.0,0.0,0.0,0.0
8429aa9ffffffff,6.0,0.0,0.0,0.0
8429ab1ffffffff,54.0,0.0,0.0,0.0
8429ab3ffffffff,13.0,0.0,0.0,0.0
8429ab9ffffffff,157.0,0.0,0.0,0.0
8429abbffffffff,9.0,0.0,0.0,0.0
8429abdffffffff,2.0,0.0,0.0,0.0
8429ac5ffffffff,24.0,0.0,0.0,0.0
8429acdffffffff,2.0,0.0,0.0,0.0
8429ad3ffffffff,3.0,0.0,0.0,0.0
8429ae1ffffffff,3.0,0.0,0.0,0.0
8429ae3ffffffff,15.0,0.0,0.0,0.0
8429aebffffffff,10.0,0.0,0.0,0.0
8429aedffffffff,5.0,0.0,0.0,0.0
8429b09ffffffff,95.0,0.0,0.0,0.0
8429b0bffffffff,397.0,0.0,0.0,0.0
8429b0dffffffff,2.0,0.0,0.0,0.0
8429b11ffffffff,2.0,0.0,0.0,0.0
8429b1dffffffff,240.0,0.0,0.0,0.0
8429b29ffffffff,2.0,0.0,0.0,0.0
8429b2dffffffff,103.0,0.0,0.0,0.0
8429b43ffffffff,9.0,0.0,0.0,0.0
8429b45ffffffff,2.0,0.0,0.0,0.0
8429b55ffffffff,66.0,0.0,0.0,0.0
8429b5dffffffff,59.0,0.0,0.0,0.0
