cell_id,Hirundo rustica,Hirundo rustica rustica,Hirundo rustica savignii,Hirundo rustica transitiva,Hirundo rustica tytleri,Hirundo rustica gutturalis/mandschurica,Hirundo rustica erythrogaster
820137fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820157fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,25.0,7.0,0.0,0.0,0.0,0.0,0.0
82074ffffffffff,5.0,4.0,0.0,0.0,0.0,0.0,0.0
820757fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
820767fffffffff,20.0,11.0,0.0,0.0,0.0,0.0,0.0
820777fffffffff,16.0,4.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,54.0,5.0,0.0,0.0,0.0,0.0,19.0
820c37fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,1.0
820c5ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,142.0,17.0,0.0,0.0,0.0,4.0,9.0
820d0ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,3.0
820d77fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
82122ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0
82125ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,5.0
8212b7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,4.0
8212c7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,5.0
8212cffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,4.0
8212dffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,6.0
8212effffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
821387fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821657fffffffff,21.0,15.0,0.0,0.0,0.0,6.0,0.0
82165ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,19.0,2.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,71.0,21.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,31.0,22.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821927fffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,16.0,2.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,95.0,13.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,16.0,4.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,13.0,2.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,102.0,0.0,0.0,0.0,0.0,0.0,2.0
821aaffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
