cell_id,Euphonia laniirostris,Euphonia laniirostris melanura/crassirostris,Euphonia laniirostris [laniirostris Group]
825f4ffffffffff,62.0,0.0,0.0
826607fffffffff,415.0,2.0,0.0
82660ffffffffff,4688.0,65.0,0.0
826617fffffffff,3476.0,239.0,0.0
82661ffffffffff,10917.0,108.0,0.0
826627fffffffff,2936.0,236.0,0.0
82662ffffffffff,491.0,6.0,0.0
826637fffffffff,85.0,1.0,0.0
826647fffffffff,131.0,5.0,0.0
826657fffffffff,246.0,0.0,0.0
82665ffffffffff,1.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0
826677fffffffff,208.0,0.0,0.0
8266a7fffffffff,11707.0,539.0,0.0
8266b7fffffffff,5640.0,60.0,0.0
8266c7fffffffff,3111.0,21.0,0.0
8266cffffffffff,29.0,0.0,0.0
8266d7fffffffff,8357.0,0.0,868.0
8266dffffffffff,1249.0,129.0,0.0
8266e7fffffffff,13709.0,204.0,0.0
8266effffffffff,457.0,2.0,0.0
8266f7fffffffff,6469.0,83.0,0.0
826747fffffffff,427.0,4.0,0.0
82674ffffffffff,867.0,37.0,0.0
826757fffffffff,737.0,2.0,0.0
82675ffffffffff,387.0,1.0,0.0
828a07fffffffff,40.0,0.0,0.0
828a17fffffffff,20.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,3.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0
828a47fffffffff,262.0,0.0,0.0
828a6ffffffffff,256.0,0.0,0.0
828a77fffffffff,1.0,0.0,0.0
828aaffffffffff,13.0,0.0,0.0
828af7fffffffff,35.0,0.0,0.0
828b07fffffffff,3.0,0.0,0.0
828b0ffffffffff,56.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,152.0,0.0,0.0
828b2ffffffffff,42.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828b47fffffffff,180.0,0.0,0.0
828b57fffffffff,31.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0
828b67fffffffff,380.0,0.0,0.0
828b6ffffffffff,920.0,0.0,0.0
828b77fffffffff,80.0,0.0,0.0
828b87fffffffff,5.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0
828b9ffffffffff,146.0,0.0,0.0
828ba7fffffffff,25.0,0.0,0.0
828bb7fffffffff,233.0,0.0,0.0
828e67fffffffff,178.0,0.0,0.0
828e6ffffffffff,13.0,0.0,0.0
828f0ffffffffff,1702.0,0.0,147.0
828f27fffffffff,22.0,0.0,0.0
828f2ffffffffff,2253.0,0.0,140.0
828f47fffffffff,914.0,46.0,0.0
828f4ffffffffff,149.0,0.0,0.0
828f57fffffffff,397.0,0.0,0.0
828f5ffffffffff,60.0,0.0,0.0
828f67fffffffff,27.0,0.0,0.0
828f6ffffffffff,36.0,0.0,0.0
828f77fffffffff,1007.0,77.0,14.0
82a84ffffffffff,4.0,0.0,0.0
82a857fffffffff,9.0,0.0,0.0
82a85ffffffffff,72.0,0.0,0.0
82a8effffffffff,6.0,0.0,0.0
82b327fffffffff,7.0,0.0,0.0
