cell_id,Formicarius nigricapillus,Formicarius nigricapillus nigricapillus,Formicarius nigricapillus destructus
836616fffffffff,6.0,0.0,0.0
83661afffffffff,115.0,0.0,0.0
83661dfffffffff,2.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0
8366a0fffffffff,19.0,0.0,0.0
8366a5fffffffff,29.0,0.0,0.0
8366b4fffffffff,389.0,0.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366d0fffffffff,87.0,0.0,0.0
8366d2fffffffff,70.0,0.0,0.0
8366d3fffffffff,328.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366f0fffffffff,279.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0
836d68fffffffff,45.0,0.0,0.0
836d69fffffffff,652.0,0.0,0.0
838f2afffffffff,14.0,0.0,0.0
838f2bfffffffff,33.0,0.0,0.0
838f2cfffffffff,141.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0
