cell_id,Grallaricula nana,Grallaricula nana [nana Group],Grallaricula nana kukenamensis
845f711ffffffff,4.0,0.0,2.0
845f755ffffffff,4.0,0.0,3.0
8466089ffffffff,2.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660c3ffffffff,6.0,0.0,0.0
84660cbffffffff,1.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0
8466181ffffffff,58.0,2.0,0.0
8466187ffffffff,65.0,0.0,0.0
8466189ffffffff,5.0,0.0,0.0
846618bffffffff,21.0,0.0,0.0
8466191ffffffff,7.0,0.0,0.0
8466197ffffffff,48.0,0.0,0.0
846619dffffffff,54.0,3.0,0.0
84661b1ffffffff,75.0,0.0,0.0
84661b3ffffffff,3.0,0.0,0.0
84661b9ffffffff,27.0,2.0,0.0
84661bbffffffff,697.0,3.0,0.0
84661d5ffffffff,8.0,0.0,0.0
8466291ffffffff,16.0,2.0,0.0
8466295ffffffff,3.0,0.0,0.0
8466299ffffffff,5.0,0.0,0.0
846629dffffffff,2.0,0.0,0.0
84662b1ffffffff,25.0,10.0,0.0
84662b7ffffffff,4.0,0.0,0.0
84662bbffffffff,2.0,2.0,0.0
8466c0dffffffff,40.0,0.0,0.0
8466c21ffffffff,85.0,0.0,0.0
8466c25ffffffff,14.0,0.0,0.0
8466c29ffffffff,4.0,0.0,0.0
8466c2dffffffff,4.0,0.0,0.0
8466c47ffffffff,8.0,0.0,0.0
8466c4dffffffff,4.0,0.0,0.0
8466c61ffffffff,23.0,0.0,0.0
8466c63ffffffff,25.0,0.0,0.0
8466c67ffffffff,1.0,0.0,0.0
8466c69ffffffff,5.0,0.0,0.0
8466c6bffffffff,1.0,0.0,0.0
8466d11ffffffff,4.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466de1ffffffff,417.0,66.0,0.0
8466de7ffffffff,3.0,0.0,0.0
8466dedffffffff,53.0,9.0,0.0
8466e09ffffffff,5.0,0.0,0.0
8466e0bffffffff,130.0,0.0,0.0
8466e2dffffffff,24.0,1.0,0.0
8466e47ffffffff,4.0,0.0,0.0
8466e55ffffffff,41.0,0.0,0.0
8466e59ffffffff,1.0,0.0,0.0
8466e61ffffffff,21.0,0.0,0.0
8466e65ffffffff,140.0,2.0,0.0
8466e67ffffffff,208.0,3.0,0.0
8466e69ffffffff,6.0,0.0,0.0
8466e6dffffffff,1770.0,57.0,0.0
8466f15ffffffff,11.0,0.0,0.0
8466f19ffffffff,22.0,0.0,0.0
8466f1dffffffff,28.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,5.0,0.0,0.0
8466f53ffffffff,42.0,0.0,0.0
8466f5bffffffff,25.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0
8467413ffffffff,9.0,0.0,0.0
8467417ffffffff,44.0,2.0,0.0
84675a5ffffffff,1.0,1.0,0.0
84675adffffffff,41.0,0.0,0.0
848f0d3ffffffff,1.0,0.0,0.0
848f29bffffffff,4.0,0.0,0.0
848f549ffffffff,6.0,0.0,0.0
848f54bffffffff,5.0,0.0,0.0
848f721ffffffff,231.0,22.0,0.0
848f727ffffffff,4.0,0.0,0.0
848f745ffffffff,15.0,0.0,0.0
848f761ffffffff,1.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f767ffffffff,1.0,0.0,0.0
848f769ffffffff,11.0,0.0,0.0
848f76bffffffff,3.0,0.0,0.0
