cell_id,Ploceus katangae,Ploceus katangae upembae,Ploceus katangae katangae
829607fffffffff,9.0,0.0,5.0
829617fffffffff,34.0,0.0,4.0
82961ffffffffff,8.0,0.0,2.0
8296affffffffff,4.0,0.0,0.0
