cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
836620fffffffff,1.0,0.0,0.0,0.0
836621fffffffff,15.0,0.0,0.0,0.0
836622fffffffff,5.0,0.0,0.0,0.0
8366a0fffffffff,5.0,0.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0,0.0
8366a5fffffffff,20.0,5.0,0.0,0.0
8366e4fffffffff,1.0,1.0,0.0,0.0
8366e5fffffffff,1.0,0.0,1.0,0.0
8366f5fffffffff,1.0,0.0,0.0,0.0
836741fffffffff,3.0,0.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0,0.0
83674cfffffffff,82.0,2.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0,0.0
