cell_id,Geokichla piaggiae,Geokichla piaggiae [piaggiae Group],Geokichla piaggiae tanganjicae
8452863ffffffff,2.0,0.0,0.0
8452997ffffffff,1.0,0.0,0.0
84529b3ffffffff,2.0,0.0,0.0
84529b5ffffffff,8.0,0.0,0.0
84529b9ffffffff,3.0,0.0,0.0
846a493ffffffff,1.0,0.0,0.0
846a49dffffffff,1.0,0.0,0.0
846a69bffffffff,2.0,0.0,0.0
846ac07ffffffff,1.0,0.0,1.0
846ac15ffffffff,1.0,0.0,0.0
846adc1ffffffff,72.0,0.0,58.0
846adc3ffffffff,3.0,0.0,0.0
846adc5ffffffff,1.0,0.0,1.0
846adc7ffffffff,4.0,0.0,0.0
846ade7ffffffff,25.0,0.0,18.0
847a40bffffffff,1.0,0.0,0.0
847a41bffffffff,3.0,0.0,0.0
847a453ffffffff,13.0,0.0,0.0
847a455ffffffff,29.0,0.0,0.0
847a457ffffffff,36.0,0.0,0.0
847a48bffffffff,19.0,0.0,0.0
847a49dffffffff,2.0,0.0,0.0
847a4c9ffffffff,1.0,0.0,0.0
847a619ffffffff,1.0,0.0,0.0
847a653ffffffff,1.0,0.0,0.0
847a657ffffffff,3.0,0.0,0.0
847a68dffffffff,4.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6e7ffffffff,2.0,0.0,0.0
847ac81ffffffff,12.0,0.0,0.0
847ac87ffffffff,1.0,0.0,0.0
847aca3ffffffff,3.0,0.0,0.0
847acb5ffffffff,1.0,0.0,0.0
847acc1ffffffff,1.0,0.0,0.0
847acc5ffffffff,101.0,0.0,0.0
847accbffffffff,2.0,0.0,0.0
847accdffffffff,60.0,0.0,0.0
847acd5ffffffff,35.0,0.0,0.0
847acd7ffffffff,1.0,0.0,0.0
847ace9ffffffff,1.0,0.0,0.0
847aeabffffffff,1.0,0.0,0.0
847aeb1ffffffff,2.0,0.0,0.0
847aeb3ffffffff,2.0,0.0,0.0
8496925ffffffff,1.0,0.0,0.0
8496931ffffffff,1.0,0.0,0.0
8496935ffffffff,2.0,0.0,0.0
84969a5ffffffff,1.0,0.0,0.0
