cell_id,Turdus fumigatus,Turdus fumigatus personus,Turdus fumigatus [fumigatus Group]
845e71bffffffff,3.0,1.0,0.0
845f583ffffffff,14.0,0.0,10.0
845f5b9ffffffff,5.0,0.0,5.0
84661b3ffffffff,5.0,0.0,0.0
8466c65ffffffff,3.0,0.0,0.0
8466c6dffffffff,111.0,0.0,2.0
8466e39ffffffff,5.0,0.0,0.0
8466e6dffffffff,220.0,0.0,0.0
8466f15ffffffff,8.0,0.0,2.0
8466f17ffffffff,3.0,0.0,0.0
8466f19ffffffff,1.0,0.0,0.0
8466f1dffffffff,6.0,0.0,0.0
8466f5bffffffff,5.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0
84674c5ffffffff,1.0,0.0,0.0
84674c7ffffffff,3.0,0.0,0.0
84674e5ffffffff,2.0,0.0,0.0
8467599ffffffff,3.0,0.0,0.0
84675abffffffff,2.0,0.0,0.0
84a95edffffffff,3.0,0.0,0.0
