cell_id,Hemitriccus zosterops,Hemitriccus zosterops zosterops/flaviviridis,Hemitriccus zosterops [undescribed form]
845f00dffffffff,1.0,0.0,0.0
845f02bffffffff,4.0,0.0,0.0
845f035ffffffff,4.0,0.0,0.0
845f037ffffffff,1.0,0.0,0.0
845f03dffffffff,19.0,0.0,0.0
845f105ffffffff,4.0,0.0,0.0
845f107ffffffff,1.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0
845f139ffffffff,2.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0
845f143ffffffff,3.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f2bbffffffff,2.0,0.0,0.0
8466411ffffffff,55.0,0.0,0.0
8466415ffffffff,20.0,0.0,0.0
846641dffffffff,9.0,0.0,0.0
8466441ffffffff,2.0,0.0,0.0
8466485ffffffff,6.0,0.0,0.0
84664d5ffffffff,1.0,0.0,0.0
8466509ffffffff,2.0,0.0,0.0
8466529ffffffff,4.0,0.0,0.0
846652dffffffff,2.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0
84665a3ffffffff,4.0,0.0,0.0
84665abffffffff,232.0,0.0,0.0
84665bdffffffff,21.0,0.0,0.0
8466639ffffffff,1.0,0.0,0.0
8466727ffffffff,4.0,0.0,0.0
8466737ffffffff,2.0,0.0,0.0
8466c01ffffffff,3.0,0.0,0.0
8466c05ffffffff,4.0,0.0,0.0
8466c21ffffffff,6.0,0.0,0.0
8466c23ffffffff,2.0,0.0,0.0
8466c2bffffffff,2.0,0.0,0.0
8466c2dffffffff,5.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0
8466cdbffffffff,2.0,0.0,0.0
8466d1bffffffff,30.0,0.0,0.0
8466d81ffffffff,24.0,0.0,0.0
8466da9ffffffff,1.0,0.0,0.0
8466db5ffffffff,1.0,0.0,0.0
8466dc3ffffffff,58.0,0.0,0.0
8466dc7ffffffff,9.0,0.0,0.0
8466dd3ffffffff,3.0,0.0,0.0
8466dd5ffffffff,11.0,0.0,0.0
8466dddffffffff,4.0,0.0,0.0
8466de3ffffffff,43.0,0.0,0.0
8466e11ffffffff,4.0,0.0,0.0
8466e19ffffffff,1.0,0.0,0.0
8466e33ffffffff,3.0,0.0,0.0
8466eadffffffff,2.0,0.0,0.0
8466ec1ffffffff,3.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ec7ffffffff,5.0,0.0,0.0
8466ec9ffffffff,8.0,0.0,0.0
8466ecbffffffff,6.0,0.0,0.0
8466ee5ffffffff,22.0,0.0,0.0
848068bffffffff,2.0,0.0,0.0
848069dffffffff,1.0,0.0,0.0
84806a7ffffffff,1.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,4.0,0.0,0.0
848a45bffffffff,8.0,0.0,0.0
848a45dffffffff,1.0,0.0,0.0
848a5a1ffffffff,1.0,0.0,0.0
848a699ffffffff,1.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0
848a6dbffffffff,3.0,0.0,0.0
848a8d9ffffffff,1.0,0.0,0.0
848a9c1ffffffff,1.0,0.0,0.0
848a9d3ffffffff,1.0,0.0,0.0
848a9d5ffffffff,1.0,0.0,0.0
848ad13ffffffff,3.0,0.0,0.0
848ae5bffffffff,2.0,0.0,0.0
848af09ffffffff,60.0,0.0,0.0
848af0bffffffff,2.0,1.0,0.0
848af11ffffffff,12.0,0.0,0.0
848af19ffffffff,1.0,0.0,0.0
848af1dffffffff,2.0,0.0,0.0
848af29ffffffff,39.0,0.0,0.0
848af2bffffffff,2.0,0.0,0.0
848af2dffffffff,9.0,0.0,0.0
848af41ffffffff,28.0,0.0,0.0
848af43ffffffff,3.0,0.0,0.0
848af45ffffffff,18.0,0.0,0.0
848af47ffffffff,1.0,0.0,0.0
848af61ffffffff,49.0,0.0,0.0
848af63ffffffff,129.0,0.0,0.0
848af67ffffffff,206.0,0.0,0.0
848af6bffffffff,14.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0
848e64bffffffff,2.0,0.0,0.0
848f401ffffffff,66.0,0.0,0.0
848f40dffffffff,2.0,0.0,0.0
848f415ffffffff,2.0,0.0,0.0
848f44bffffffff,3.0,0.0,0.0
848f461ffffffff,12.0,0.0,0.0
848f463ffffffff,25.0,0.0,0.0
848f465ffffffff,2.0,0.0,0.0
848f46bffffffff,7.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f5d3ffffffff,1.0,0.0,0.0
848f5ddffffffff,9.0,0.0,0.0
848f661ffffffff,1.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0
848f70dffffffff,2.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72bffffffff,22.0,0.0,0.0
848f745ffffffff,1.0,0.0,0.0
848f74bffffffff,2.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
848f763ffffffff,5.0,0.0,0.0
