cell_id,Sporathraupis cyanocephala,Sporathraupis cyanocephala olivicyanea,Sporathraupis cyanocephala [cyanocephala Group],Sporathraupis cyanocephala subcinerea/buesingi
845f483ffffffff,1.0,0.0,0.0,0.0
845f583ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,6.0,0.0,0.0,0.0
84660b9ffffffff,1.0,0.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0,0.0
84660ddffffffff,7.0,0.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0
8467413ffffffff,34.0,0.0,0.0,0.0
848f0d9ffffffff,4.0,0.0,0.0,0.0
848f0dbffffffff,19.0,0.0,0.0,0.0
848f547ffffffff,2.0,0.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0,0.0
848f72dffffffff,2.0,0.0,0.0,0.0
