cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
84124b5ffffffff,3.0,0.0,0.0,0.0
8426881ffffffff,1.0,0.0,0.0,0.0
8426885ffffffff,2.0,0.0,0.0,0.0
8426889ffffffff,23.0,0.0,0.0,0.0
842688dffffffff,12.0,0.0,0.0,0.0
8426891ffffffff,79.0,0.0,0.0,0.0
8426897ffffffff,2.0,0.0,0.0,0.0
84268b1ffffffff,4.0,0.0,0.0,0.0
84268b9ffffffff,19.0,0.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0,0.0
84268d5ffffffff,4.0,0.0,0.0,0.0
8426961ffffffff,11.0,0.0,0.0,0.0
8426ab7ffffffff,2.0,0.0,0.0,0.0
8426d2bffffffff,3.0,0.0,0.0,0.0
8426d35ffffffff,3.0,0.0,0.0,0.0
8426d45ffffffff,10.0,0.0,0.0,0.0
8426d47ffffffff,3.0,0.0,0.0,0.0
8426d4bffffffff,1.0,0.0,0.0,0.0
8426f07ffffffff,2.0,0.0,0.0,0.0
8426f25ffffffff,3.0,0.0,0.0,0.0
8427715ffffffff,30.0,0.0,0.0,0.0
8428309ffffffff,1.0,0.0,0.0,0.0
8429841ffffffff,2.0,0.0,0.0,0.0
842984dffffffff,14.0,0.0,0.0,0.0
842995bffffffff,1.0,0.0,0.0,0.0
8429a05ffffffff,64.0,0.0,0.0,0.0
8429a07ffffffff,2.0,0.0,0.0,0.0
8429a0dffffffff,1.0,0.0,0.0,0.0
8429a1dffffffff,19.0,1.0,0.0,0.0
8429a41ffffffff,144.0,7.0,0.0,0.0
8429a4dffffffff,70.0,1.0,0.0,0.0
8429a55ffffffff,33.0,0.0,0.0,0.0
8429a57ffffffff,50.0,1.0,0.0,0.0
8429ac9ffffffff,7.0,0.0,0.0,0.0
8429b0bffffffff,3.0,0.0,0.0,0.0
8429b11ffffffff,1.0,0.0,0.0,0.0
8429b1bffffffff,2.0,0.0,0.0,0.0
