cell_id,Vireo bellii,Vireo bellii bellii/medius,Vireo bellii arizonae,Vireo bellii pusillus
832601fffffffff,2.0,0.0,0.0,0.0
832603fffffffff,7.0,2.0,0.0,0.0
832605fffffffff,4.0,0.0,0.0,0.0
83260afffffffff,10.0,4.0,0.0,0.0
83260bfffffffff,10.0,1.0,0.0,0.0
832610fffffffff,1.0,0.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0,0.0
832616fffffffff,4.0,0.0,0.0,0.0
832618fffffffff,8.0,0.0,0.0,0.0
83261afffffffff,1.0,0.0,0.0,0.0
83261bfffffffff,1.0,1.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0,0.0
83262cfffffffff,117.0,10.0,0.0,0.0
832632fffffffff,2.0,2.0,0.0,0.0
832636fffffffff,52.0,5.0,0.0,0.0
832640fffffffff,4.0,0.0,0.0,0.0
832641fffffffff,16.0,7.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0,0.0
832643fffffffff,8.0,0.0,0.0,0.0
832645fffffffff,5.0,0.0,0.0,0.0
832646fffffffff,48.0,0.0,0.0,0.0
832649fffffffff,3.0,0.0,0.0,0.0
83264afffffffff,15.0,0.0,0.0,0.0
83264cfffffffff,33.0,1.0,0.0,0.0
83264efffffffff,13.0,0.0,0.0,0.0
832650fffffffff,18.0,0.0,0.0,0.0
832651fffffffff,22.0,0.0,0.0,0.0
832652fffffffff,67.0,3.0,0.0,0.0
832653fffffffff,8.0,0.0,0.0,0.0
832654fffffffff,5.0,0.0,0.0,0.0
832655fffffffff,20.0,0.0,0.0,0.0
832656fffffffff,3.0,0.0,0.0,0.0
832659fffffffff,42.0,4.0,0.0,0.0
83265afffffffff,1.0,0.0,0.0,0.0
83265bfffffffff,7.0,0.0,0.0,0.0
83265cfffffffff,6.0,0.0,0.0,0.0
83265dfffffffff,55.0,0.0,0.0,0.0
832660fffffffff,12.0,0.0,0.0,0.0
832661fffffffff,4.0,0.0,0.0,0.0
