cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
834424fffffffff,95.0,0.0,0.0,0.0,0.0,0.0
834501fffffffff,507.0,9.0,0.0,0.0,0.0,0.0
834505fffffffff,354.0,4.0,0.0,0.0,0.0,0.0
834508fffffffff,1300.0,160.0,0.0,0.0,0.0,0.0
834509fffffffff,2883.0,565.0,0.0,0.0,0.0,0.0
83450afffffffff,2421.0,109.0,582.0,0.0,0.0,0.0
83450bfffffffff,767.0,114.0,0.0,0.0,0.0,0.0
83450cfffffffff,190.0,12.0,0.0,0.0,0.0,0.0
83450dfffffffff,842.0,320.0,0.0,0.0,0.0,0.0
83450efffffffff,909.0,76.0,0.0,0.0,0.0,0.0
834519fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83451dfffffffff,17.0,0.0,11.0,0.0,0.0,0.0
834520fffffffff,73.0,0.0,0.0,0.0,0.0,0.0
834521fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,1342.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,458.0,64.0,0.0,0.0,0.0,0.0
834526fffffffff,980.0,0.0,0.0,0.0,0.0,0.0
834528fffffffff,99.0,7.0,0.0,0.0,0.0,0.0
834529fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,1742.0,20.0,0.0,0.0,0.0,0.0
83452bfffffffff,196.0,18.0,0.0,0.0,0.0,0.0
83452cfffffffff,515.0,32.0,0.0,0.0,0.0,0.0
83452dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,402.0,0.0,0.0,0.0,0.0,0.0
834530fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
834532fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
834534fffffffff,113.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,128.0,0.0,0.0,0.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834572fffffffff,616.0,195.0,0.0,0.0,0.0,0.0
834576fffffffff,67.0,5.0,0.0,0.0,0.0,0.0
8348b4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,15.0,3.0,0.0,0.0,0.0,0.0
834991fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
834993fffffffff,5.0,4.0,0.0,0.0,0.0,0.0
834994fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,242.0,45.0,0.0,0.0,0.0,0.0
834998fffffffff,213.0,15.0,0.0,0.0,0.0,0.0
83499bfffffffff,1.0,1.0,0.0,0.0,0.0,0.0
83499cfffffffff,35.0,1.0,0.0,0.0,0.0,0.0
83499efffffffff,14.0,0.0,0.0,0.0,0.0,0.0
835f01fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
835f02fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,59.0,0.0,0.0,0.0,0.0,0.0
835f10fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f14fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835f16fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
835f1cfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
835f1efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f22fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,169.0,0.0,0.0,0.0,0.0,0.0
835f2bfffffffff,108.0,0.0,0.0,0.0,0.0,0.0
835f2dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
