cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
834424fffffffff,25.0,0.0,0.0,0.0
834501fffffffff,6.0,0.0,0.0,0.0
834505fffffffff,32.0,0.0,0.0,0.0
834508fffffffff,18.0,0.0,0.0,0.0
834509fffffffff,53.0,15.0,0.0,0.0
83450afffffffff,72.0,5.0,0.0,0.0
83450bfffffffff,336.0,30.0,0.0,0.0
83450cfffffffff,20.0,0.0,0.0,0.0
83450dfffffffff,119.0,27.0,0.0,0.0
83450efffffffff,28.0,2.0,0.0,0.0
834519fffffffff,1.0,1.0,0.0,0.0
834520fffffffff,25.0,0.0,0.0,0.0
834521fffffffff,2.0,0.0,0.0,0.0
834522fffffffff,21.0,0.0,0.0,0.0
834523fffffffff,58.0,0.0,0.0,0.0
834524fffffffff,23.0,0.0,0.0,0.0
834526fffffffff,21.0,0.0,0.0,0.0
834528fffffffff,54.0,5.0,0.0,0.0
834529fffffffff,6.0,0.0,0.0,0.0
83452afffffffff,311.0,2.0,0.0,0.0
83452bfffffffff,39.0,0.0,0.0,0.0
83452cfffffffff,63.0,0.0,0.0,0.0
83452dfffffffff,24.0,0.0,0.0,0.0
83452efffffffff,307.0,0.0,0.0,0.0
834531fffffffff,15.0,0.0,0.0,0.0
834532fffffffff,4.0,0.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0,0.0
834535fffffffff,17.0,0.0,0.0,0.0
834536fffffffff,17.0,0.0,0.0,0.0
834572fffffffff,89.0,16.0,0.0,0.0
834574fffffffff,5.0,0.0,0.0,0.0
834576fffffffff,21.0,0.0,0.0,0.0
834802fffffffff,2.0,0.0,0.0,0.0
834806fffffffff,3.0,0.0,0.0,0.0
834808fffffffff,1.0,0.0,0.0,0.0
834809fffffffff,2.0,0.0,0.0,0.0
83480afffffffff,100.0,0.0,0.0,0.0
83480bfffffffff,1.0,0.0,0.0,0.0
83480efffffffff,14.0,0.0,0.0,0.0
834815fffffffff,8.0,0.0,0.0,0.0
83481dfffffffff,8.0,0.0,0.0,0.0
834830fffffffff,14.0,3.0,0.0,0.0
834832fffffffff,12.0,2.0,0.0,0.0
834833fffffffff,37.0,0.0,0.0,0.0
834836fffffffff,495.0,11.0,0.0,0.0
834992fffffffff,5.0,0.0,0.0,0.0
834996fffffffff,60.0,2.0,0.0,0.0
834998fffffffff,32.0,0.0,0.0,0.0
83499bfffffffff,3.0,0.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0,0.0
8349a2fffffffff,7.0,0.0,0.0,0.0
8349a3fffffffff,4.0,0.0,0.0,0.0
8349a8fffffffff,33.0,0.0,0.0,0.0
8349a9fffffffff,65.0,0.0,0.0,0.0
8349aafffffffff,1.0,0.0,0.0,0.0
8349adfffffffff,10.0,0.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0,0.0
835f08fffffffff,20.0,0.0,0.0,0.0
835f09fffffffff,16.0,0.0,0.0,0.0
835f0bfffffffff,2.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0,0.0
835f1efffffffff,5.0,0.0,0.0,0.0
835f29fffffffff,39.0,0.0,0.0,0.0
835f2bfffffffff,83.0,0.0,0.0,0.0
835f2dfffffffff,19.0,0.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0,0.0
835f40fffffffff,5.0,0.0,1.0,0.0
835f42fffffffff,13.0,0.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0,0.0
835f4afffffffff,6.0,0.0,0.0,0.0
835f4bfffffffff,1.0,0.0,0.0,0.0
835f4efffffffff,2.0,0.0,0.0,0.0
835f50fffffffff,7.0,0.0,0.0,0.0
835f68fffffffff,13.0,0.0,0.0,0.0
835f71fffffffff,8.0,0.0,0.0,0.0
836600fffffffff,4.0,0.0,0.0,0.0
836601fffffffff,9.0,0.0,0.0,0.0
836602fffffffff,138.0,0.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0,0.0
836604fffffffff,35.0,0.0,0.0,0.0
836605fffffffff,4.0,0.0,0.0,0.0
836606fffffffff,42.0,0.0,0.0,0.0
836609fffffffff,1.0,0.0,0.0,0.0
83660afffffffff,18.0,0.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0,0.0
83660efffffffff,39.0,0.0,0.0,0.0
836610fffffffff,776.0,86.0,0.0,0.0
836611fffffffff,37.0,0.0,0.0,0.0
836612fffffffff,5.0,0.0,0.0,0.0
836613fffffffff,355.0,19.0,0.0,0.0
836615fffffffff,8.0,0.0,0.0,0.0
836616fffffffff,91.0,16.0,0.0,0.0
836619fffffffff,54.0,0.0,0.0,0.0
83661cfffffffff,3.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0
836620fffffffff,235.0,0.0,0.0,0.0
836621fffffffff,40.0,0.0,0.0,0.0
836622fffffffff,114.0,0.0,0.0,0.0
836623fffffffff,4.0,0.0,0.0,0.0
836625fffffffff,123.0,0.0,0.0,0.0
836628fffffffff,10.0,0.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0,0.0
83662cfffffffff,23.0,0.0,4.0,0.0
83662efffffffff,10.0,0.0,0.0,0.0
836631fffffffff,112.0,0.0,0.0,0.0
836641fffffffff,142.0,0.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0,0.0
836644fffffffff,4.0,0.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0,0.0
836652fffffffff,48.0,0.0,0.0,0.0
836654fffffffff,73.0,0.0,0.0,0.0
836656fffffffff,41.0,0.0,0.0,0.0
83665afffffffff,13.0,0.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0,0.0
836660fffffffff,5.0,0.0,0.0,0.0
836663fffffffff,13.0,0.0,2.0,0.0
836664fffffffff,32.0,0.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0,0.0
83666afffffffff,3.0,0.0,3.0,0.0
836670fffffffff,7.0,0.0,0.0,0.0
836671fffffffff,7.0,0.0,0.0,0.0
836672fffffffff,82.0,0.0,0.0,0.0
836673fffffffff,14.0,0.0,0.0,0.0
836674fffffffff,2.0,0.0,0.0,0.0
836675fffffffff,29.0,0.0,1.0,0.0
836676fffffffff,4.0,0.0,0.0,0.0
