cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
834505fffffffff,2.0,0.0,0.0
834520fffffffff,8.0,0.0,0.0
834523fffffffff,1.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
83452afffffffff,20.0,0.0,0.0
83452cfffffffff,2.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,8.0,4.0,0.0
8348b3fffffffff,1.0,0.0,0.0
834996fffffffff,4.0,0.0,0.0
835f08fffffffff,4.0,4.0,0.0
835f29fffffffff,4.0,4.0,0.0
835f58fffffffff,13.0,13.0,0.0
835f5bfffffffff,27.0,8.0,0.0
836611fffffffff,13.0,0.0,0.0
836612fffffffff,6.0,0.0,0.0
836616fffffffff,17.0,11.0,0.0
836618fffffffff,15.0,0.0,0.0
83661cfffffffff,12.0,0.0,0.0
83661dfffffffff,1.0,1.0,0.0
836620fffffffff,1.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0
836641fffffffff,13.0,0.0,0.0
8366a3fffffffff,2.0,0.0,0.0
8366b4fffffffff,11.0,4.0,0.0
8366dafffffffff,1.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0
836759fffffffff,1.0,1.0,0.0
83675bfffffffff,2.0,0.0,0.0
83675cfffffffff,8.0,0.0,0.0
83679afffffffff,2.0,0.0,0.0
83679bfffffffff,10.0,0.0,0.0
836d21fffffffff,11.0,0.0,0.0
836d23fffffffff,12.0,2.0,0.0
836d29fffffffff,1.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d34fffffffff,2.0,0.0,0.0
836d69fffffffff,18.0,5.0,0.0
836d6bfffffffff,6.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0
838b22fffffffff,4.0,4.0,0.0
838b6cfffffffff,2.0,2.0,0.0
838e61fffffffff,3.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0
838f40fffffffff,3.0,3.0,0.0
83a81cfffffffff,1.0,1.0,0.0
83a873fffffffff,2.0,2.0,0.0
83a8d1fffffffff,7.0,0.0,0.0
83a946fffffffff,7.0,0.0,0.0
83a953fffffffff,1.0,0.0,0.0
83a95efffffffff,9.0,0.0,0.0
83a961fffffffff,53.0,0.0,0.0
83a96efffffffff,10.0,0.0,0.0
83b241fffffffff,3.0,0.0,0.0
83b24dfffffffff,2.0,0.0,0.0
83b262fffffffff,2.0,0.0,0.0
83b266fffffffff,2.0,0.0,0.0
83b26dfffffffff,2.0,0.0,0.0
83b275fffffffff,22.0,0.0,0.0
83b342fffffffff,20.0,0.0,0.0
