cell_id,Camptostoma obsoletum,Camptostoma obsoletum [pusillum Group],Camptostoma obsoletum [obsoletum Group]
845f011ffffffff,3.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f025ffffffff,2.0,0.0,0.0
845f035ffffffff,22.0,0.0,0.0
845f083ffffffff,28.0,0.0,0.0
845f085ffffffff,2.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f095ffffffff,100.0,0.0,0.0
845f09dffffffff,1.0,0.0,0.0
845f0b9ffffffff,6.0,0.0,0.0
845f0d7ffffffff,6.0,0.0,0.0
845f0e3ffffffff,2.0,0.0,0.0
845f105ffffffff,9.0,0.0,0.0
845f10dffffffff,2.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0
845f129ffffffff,7.0,0.0,0.0
845f12bffffffff,32.0,0.0,0.0
845f13bffffffff,1.0,0.0,0.0
845f13dffffffff,9.0,0.0,0.0
845f143ffffffff,7.0,0.0,0.0
845f161ffffffff,2.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f1c3ffffffff,12.0,0.0,0.0
845f1cbffffffff,21.0,0.0,0.0
845f1e9ffffffff,3.0,0.0,0.0
845f223ffffffff,1.0,0.0,0.0
845f227ffffffff,1.0,0.0,0.0
845f291ffffffff,21.0,0.0,0.0
845f295ffffffff,17.0,0.0,0.0
845f297ffffffff,7.0,0.0,0.0
845f299ffffffff,35.0,0.0,0.0
845f29dffffffff,23.0,0.0,0.0
845f2b1ffffffff,7.0,0.0,0.0
845f2b3ffffffff,21.0,0.0,0.0
845f2b9ffffffff,2.0,0.0,0.0
845f2bbffffffff,36.0,0.0,0.0
845f2d1ffffffff,37.0,0.0,0.0
845f2d3ffffffff,2.0,0.0,0.0
845f2d7ffffffff,8.0,0.0,0.0
845f2dbffffffff,6.0,0.0,0.0
845f403ffffffff,8.0,0.0,0.0
845f407ffffffff,13.0,0.0,0.0
845f40dffffffff,1.0,0.0,0.0
845f411ffffffff,2.0,0.0,0.0
845f415ffffffff,17.0,0.0,0.0
845f417ffffffff,2.0,0.0,0.0
845f423ffffffff,1.0,0.0,0.0
845f42bffffffff,36.0,3.0,0.0
845f431ffffffff,1.0,0.0,0.0
845f435ffffffff,1.0,0.0,0.0
845f445ffffffff,2.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0
845f483ffffffff,12.0,0.0,0.0
845f485ffffffff,2.0,0.0,0.0
845f487ffffffff,20.0,0.0,0.0
845f491ffffffff,10.0,0.0,0.0
845f4a3ffffffff,7.0,0.0,0.0
845f4a7ffffffff,3.0,0.0,0.0
845f4a9ffffffff,12.0,0.0,0.0
845f4abffffffff,5.0,0.0,0.0
845f4b9ffffffff,2.0,0.0,0.0
845f4bdffffffff,13.0,0.0,0.0
845f4e1ffffffff,1.0,0.0,0.0
845f4e5ffffffff,5.0,0.0,0.0
845f4e7ffffffff,2.0,0.0,0.0
845f50bffffffff,10.0,0.0,0.0
845f581ffffffff,29.0,0.0,0.0
845f583ffffffff,477.0,0.0,0.0
845f587ffffffff,7.0,0.0,0.0
845f58bffffffff,20.0,0.0,0.0
845f595ffffffff,15.0,0.0,0.0
845f5b9ffffffff,73.0,0.0,0.0
845f5d7ffffffff,3.0,0.0,0.0
845f5dbffffffff,1.0,0.0,0.0
845f681ffffffff,1.0,0.0,0.0
845f683ffffffff,22.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0
