cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
825287fffffffff,2.0,0.0,0.0
825297fffffffff,1.0,0.0,0.0
82529ffffffffff,21.0,0.0,4.0
82541ffffffffff,121.0,121.0,0.0
8254affffffffff,7.0,7.0,0.0
8254e7fffffffff,11.0,11.0,0.0
8254effffffffff,1.0,1.0,0.0
8254f7fffffffff,34.0,34.0,0.0
82585ffffffffff,1.0,1.0,0.0
82588ffffffffff,2.0,2.0,0.0
825897fffffffff,1.0,1.0,0.0
8258cffffffffff,2.0,2.0,0.0
8258d7fffffffff,1.0,1.0,0.0
8258e7fffffffff,31.0,31.0,0.0
8258f7fffffffff,3.0,3.0,0.0
82599ffffffffff,45.0,45.0,0.0
826a5ffffffffff,2.0,0.0,2.0
826ac7fffffffff,6.0,0.0,6.0
826acffffffffff,10.0,0.0,8.0
826adffffffffff,38.0,0.0,38.0
826aeffffffffff,2.0,0.0,2.0
827507fffffffff,1.0,1.0,0.0
82750ffffffffff,2.0,1.0,1.0
827527fffffffff,27.0,27.0,0.0
827587fffffffff,1.0,1.0,0.0
8275b7fffffffff,2.0,2.0,0.0
827a47fffffffff,32.0,0.0,27.0
827a4ffffffffff,11.0,0.0,11.0
827a67fffffffff,36.0,0.0,35.0
827a6ffffffffff,87.0,0.0,72.0
827acffffffffff,12.0,0.0,2.0
827adffffffffff,1.0,0.0,1.0
827aeffffffffff,2.0,0.0,2.0
827b4ffffffffff,2.0,0.0,1.0
8282d7fffffffff,4.0,4.0,0.0
829697fffffffff,49.0,0.0,43.0
8296b7fffffffff,1.0,0.0,1.0
