cell_id,Coeligena violifer,Coeligena violifer dichroura,Coeligena violifer albicaudata,Coeligena violifer osculans,Coeligena violifer violifer
828b27fffffffff,118.0,0.0,0.0,0.0,16.0
828b2ffffffffff,169.0,0.0,0.0,0.0,13.0
828b67fffffffff,759.0,0.0,0.0,76.0,0.0
828b6ffffffffff,536.0,0.0,0.0,71.0,0.0
828b77fffffffff,6.0,0.0,0.0,0.0,0.0
828e67fffffffff,173.0,9.0,0.0,0.0,0.0
828e6ffffffffff,72.0,0.0,0.0,5.0,0.0
828f47fffffffff,19.0,0.0,0.0,0.0,0.0
828f4ffffffffff,18.0,0.0,0.0,0.0,0.0
828f57fffffffff,195.0,15.0,0.0,0.0,0.0
828f5ffffffffff,218.0,0.0,0.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0,0.0,0.0
82b327fffffffff,115.0,0.0,0.0,0.0,13.0
