cell_id,Psaltriparus minimus,Psaltriparus minimus [minimus Group],Psaltriparus minimus plumbeus,Psaltriparus minimus [melanotis Group]
822687fffffffff,3413.0,0.0,9.0,0.0
82268ffffffffff,10974.0,0.0,468.0,0.0
822697fffffffff,442.0,0.0,68.0,0.0
82269ffffffffff,4339.0,0.0,34.0,0.0
8226affffffffff,70.0,0.0,0.0,0.0
8226b7fffffffff,1.0,0.0,0.0,0.0
8226d7fffffffff,347.0,0.0,6.0,0.0
8226dffffffffff,95.0,0.0,4.0,0.0
8226f7fffffffff,1.0,0.0,0.0,0.0
822807fffffffff,2745.0,353.0,0.0,0.0
822817fffffffff,5582.0,115.0,6.0,0.0
82281ffffffffff,9147.0,1404.0,0.0,0.0
822837fffffffff,131002.0,12865.0,0.0,0.0
822887fffffffff,291.0,0.0,0.0,0.0
82288ffffffffff,347.0,0.0,27.0,0.0
8228a7fffffffff,498.0,0.0,118.0,0.0
8228affffffffff,2202.0,0.0,197.0,0.0
8228b7fffffffff,635.0,0.0,8.0,0.0
8228c7fffffffff,907.0,258.0,0.0,0.0
8228d7fffffffff,40352.0,7020.0,0.0,0.0
8228dffffffffff,14255.0,915.0,0.0,0.0
8228f7fffffffff,27825.0,2670.0,59.0,0.0
822917fffffffff,12276.0,1216.0,0.0,0.0
82291ffffffffff,7787.0,4431.0,0.0,0.0
822987fffffffff,931.0,0.0,67.0,0.0
82298ffffffffff,4277.0,30.0,268.0,0.0
822997fffffffff,2264.0,0.0,179.0,0.0
82299ffffffffff,278.0,0.0,44.0,0.0
8229a7fffffffff,120751.0,7728.0,10.0,0.0
8229affffffffff,22400.0,3152.0,0.0,0.0
8229b7fffffffff,3198.0,0.0,261.0,0.0
82480ffffffffff,8.0,0.0,0.0,2.0
824817fffffffff,427.0,0.0,0.0,71.0
82481ffffffffff,113.0,0.0,0.0,26.0
82482ffffffffff,98.0,0.0,0.0,0.0
824837fffffffff,42.0,0.0,0.0,0.0
82484ffffffffff,323.0,0.0,0.0,0.0
82485ffffffffff,1960.0,3.0,0.0,0.0
824887fffffffff,47.0,0.0,0.0,0.0
82488ffffffffff,178.0,0.0,6.0,0.0
82489ffffffffff,447.0,0.0,4.0,0.0
8248a7fffffffff,488.0,0.0,0.0,26.0
8248affffffffff,1181.0,0.0,155.0,0.0
8248c7fffffffff,7301.0,0.0,1392.0,0.0
8248cffffffffff,1732.0,0.0,305.0,0.0
8248d7fffffffff,653.0,0.0,129.0,0.0
8248dffffffffff,17807.0,0.0,1625.0,0.0
8248e7fffffffff,410.0,0.0,44.0,83.0
8248effffffffff,14075.0,0.0,2925.0,0.0
8248f7fffffffff,3531.0,0.0,604.0,0.0
824987fffffffff,2325.0,0.0,0.0,528.0
82498ffffffffff,380.0,0.0,0.0,9.0
824997fffffffff,10376.0,0.0,0.0,3471.0
82499ffffffffff,67.0,0.0,0.0,2.0
8249affffffffff,971.0,0.0,0.0,188.0
8249b7fffffffff,359.0,0.0,0.0,183.0
826d27fffffffff,944.0,0.0,0.0,379.0
826d2ffffffffff,2946.0,0.0,0.0,792.0
826d37fffffffff,2312.0,0.0,0.0,955.0
