cell_id,Hemixos cinereus,Hemixos cinereus cinereus,Hemixos cinereus connectens
836434fffffffff,4.0,3.0,0.0
836500fffffffff,202.0,37.0,0.0
836502fffffffff,2.0,0.0,0.0
836503fffffffff,14.0,0.0,0.0
836505fffffffff,195.0,24.0,0.0
836518fffffffff,15.0,6.0,0.0
83651bfffffffff,6.0,0.0,0.0
83651cfffffffff,153.0,81.0,0.0
83651dfffffffff,22.0,0.0,0.0
836520fffffffff,5.0,0.0,0.0
836522fffffffff,21.0,1.0,0.0
836523fffffffff,1.0,1.0,0.0
836526fffffffff,86.0,15.0,0.0
83652bfffffffff,3.0,0.0,0.0
836554fffffffff,15.0,13.0,0.0
836556fffffffff,10.0,1.0,0.0
836802fffffffff,7.0,0.0,1.0
836811fffffffff,209.0,0.0,102.0
836812fffffffff,51.0,0.0,38.0
836813fffffffff,2.0,0.0,1.0
836818fffffffff,1.0,0.0,0.0
83681afffffffff,14.0,0.0,8.0
83681efffffffff,9.0,0.0,9.0
83689afffffffff,5.0,0.0,2.0
8368a2fffffffff,1.0,0.0,0.0
8368acfffffffff,76.0,0.0,43.0
838c96fffffffff,12.0,0.0,5.0
838cb4fffffffff,1.0,0.0,1.0
838cd5fffffffff,19.0,12.0,0.0
