cell_id,Petroica boodang,Petroica boodang campbelli,Petroica boodang boodang/leggii
83a704fffffffff,1.0,0.0,0.0
83a722fffffffff,13.0,4.0,0.0
83a726fffffffff,156.0,35.0,0.0
83a730fffffffff,2.0,0.0,0.0
83a735fffffffff,14.0,1.0,0.0
83b910fffffffff,2.0,0.0,0.0
83b914fffffffff,51.0,0.0,2.0
83b915fffffffff,66.0,0.0,1.0
83b916fffffffff,92.0,0.0,1.0
83b933fffffffff,3.0,0.0,0.0
83b936fffffffff,2.0,0.0,0.0
83b9a1fffffffff,7.0,0.0,0.0
83be08fffffffff,185.0,0.0,0.0
83be09fffffffff,59.0,0.0,2.0
83be0afffffffff,12.0,0.0,0.0
83be0bfffffffff,46.0,0.0,0.0
83be0cfffffffff,57.0,0.0,0.0
83be0dfffffffff,173.0,0.0,4.0
83be18fffffffff,7.0,0.0,0.0
83be19fffffffff,23.0,0.0,0.0
83be1afffffffff,4.0,0.0,0.0
83be1bfffffffff,66.0,0.0,0.0
83be29fffffffff,13.0,0.0,0.0
83be40fffffffff,28.0,0.0,6.0
83be44fffffffff,450.0,0.0,143.0
83be45fffffffff,250.0,0.0,35.0
83be46fffffffff,54.0,0.0,9.0
83be49fffffffff,41.0,0.0,0.0
83be4cfffffffff,102.0,0.0,21.0
83be4dfffffffff,19.0,0.0,0.0
83be54fffffffff,6.0,0.0,0.0
83be56fffffffff,1.0,0.0,0.0
83be60fffffffff,30.0,0.0,0.0
83be61fffffffff,67.0,0.0,5.0
83be62fffffffff,191.0,0.0,16.0
83be63fffffffff,1027.0,0.0,114.0
83be66fffffffff,21.0,0.0,2.0
83be68fffffffff,19.0,0.0,2.0
83be69fffffffff,4.0,0.0,0.0
83be6afffffffff,114.0,0.0,13.0
83be6bfffffffff,85.0,0.0,5.0
83be6efffffffff,63.0,0.0,0.0
83be70fffffffff,36.0,0.0,2.0
83be71fffffffff,480.0,0.0,74.0
83be72fffffffff,1469.0,0.0,17.0
83be73fffffffff,25.0,0.0,0.0
83be74fffffffff,183.0,0.0,9.0
83be75fffffffff,140.0,0.0,6.0
83be76fffffffff,92.0,0.0,1.0
83bee2fffffffff,4.0,0.0,0.0
83bee4fffffffff,4.0,0.0,0.0
83bee6fffffffff,2.0,0.0,0.0
83bef0fffffffff,69.0,0.0,0.0
83bef4fffffffff,15.0,0.0,0.0
83bef5fffffffff,6.0,0.0,0.0
83bef6fffffffff,66.0,0.0,0.0
83bf48fffffffff,122.0,0.0,14.0
83bf49fffffffff,26.0,0.0,4.0
83bf4afffffffff,23.0,0.0,6.0
83bf4bfffffffff,395.0,0.0,48.0
83bf4cfffffffff,624.0,0.0,135.0
83bf4dfffffffff,179.0,0.0,42.0
83bf4efffffffff,118.0,0.0,24.0
83bf59fffffffff,2.0,0.0,2.0
83bf6bfffffffff,621.0,0.0,121.0
83c980fffffffff,6.0,1.0,0.0
83c982fffffffff,275.0,220.0,0.0
83c986fffffffff,62.0,22.0,0.0
83c990fffffffff,336.0,77.0,0.0
83c991fffffffff,94.0,37.0,0.0
83c992fffffffff,392.0,93.0,0.0
83c993fffffffff,123.0,13.0,0.0
83c995fffffffff,32.0,25.0,0.0
83c99cfffffffff,54.0,12.0,0.0
83c99efffffffff,10.0,0.0,0.0
83c9b0fffffffff,6.0,2.0,0.0
83c9b1fffffffff,4.0,0.0,0.0
83c9b3fffffffff,124.0,30.0,0.0
83c9b6fffffffff,2.0,0.0,0.0
83d896fffffffff,27.0,0.0,2.0
