cell_id,Nyctibius jamaicensis,Nyctibius jamaicensis [mexicanus Group],Nyctibius jamaicensis jamaicensis/abbotti
834501fffffffff,43.0,0.0,0.0
834505fffffffff,6.0,0.0,0.0
834508fffffffff,89.0,0.0,0.0
834509fffffffff,96.0,0.0,0.0
83450afffffffff,25.0,0.0,0.0
83450bfffffffff,13.0,0.0,0.0
83450cfffffffff,15.0,2.0,0.0
83450dfffffffff,12.0,0.0,0.0
83450efffffffff,35.0,6.0,0.0
834520fffffffff,73.0,0.0,0.0
834521fffffffff,84.0,0.0,0.0
834522fffffffff,136.0,0.0,0.0
834523fffffffff,11.0,0.0,0.0
834524fffffffff,17.0,0.0,0.0
834526fffffffff,87.0,0.0,0.0
834528fffffffff,17.0,0.0,0.0
834529fffffffff,4.0,0.0,0.0
83452afffffffff,522.0,25.0,0.0
83452bfffffffff,103.0,0.0,0.0
83452cfffffffff,318.0,31.0,0.0
83452dfffffffff,6.0,0.0,0.0
83452efffffffff,1317.0,31.0,0.0
834531fffffffff,55.0,0.0,0.0
834532fffffffff,10.0,0.0,0.0
834533fffffffff,22.0,0.0,0.0
834534fffffffff,3.0,0.0,0.0
834536fffffffff,13.0,0.0,0.0
834572fffffffff,18.0,0.0,0.0
834576fffffffff,1.0,0.0,0.0
8345b0fffffffff,1.0,0.0,0.0
8345b2fffffffff,355.0,0.0,3.0
8345b3fffffffff,2.0,0.0,0.0
834833fffffffff,16.0,0.0,0.0
834836fffffffff,770.0,26.0,0.0
834996fffffffff,467.0,204.0,0.0
834998fffffffff,77.0,0.0,0.0
83499efffffffff,4.0,0.0,0.0
8349a2fffffffff,1.0,0.0,0.0
8349a8fffffffff,9.0,0.0,0.0
8349a9fffffffff,59.0,0.0,0.0
8349adfffffffff,11.0,0.0,0.0
8349b5fffffffff,4.0,0.0,0.0
834cd2fffffffff,4.0,0.0,0.0
834cd6fffffffff,1.0,0.0,0.0
836725fffffffff,73.0,0.0,20.0
836730fffffffff,8.0,0.0,0.0
836732fffffffff,201.0,0.0,5.0
836736fffffffff,256.0,0.0,3.0
836d04fffffffff,2.0,0.0,0.0
836d05fffffffff,130.0,18.0,0.0
836d14fffffffff,3.0,0.0,0.0
836d15fffffffff,125.0,15.0,0.0
836d20fffffffff,95.0,0.0,0.0
836d21fffffffff,25.0,4.0,0.0
836d23fffffffff,7.0,0.0,0.0
836d24fffffffff,1.0,0.0,0.0
836d25fffffffff,9.0,0.0,0.0
836d26fffffffff,6.0,0.0,0.0
836d2afffffffff,41.0,5.0,0.0
836d2bfffffffff,373.0,6.0,0.0
836d2cfffffffff,33.0,11.0,0.0
836d30fffffffff,7.0,1.0,0.0
836d31fffffffff,12.0,0.0,0.0
836d34fffffffff,58.0,0.0,0.0
836d35fffffffff,19.0,0.0,0.0
836d60fffffffff,5.0,0.0,0.0
836d61fffffffff,96.0,0.0,0.0
836d63fffffffff,19.0,0.0,0.0
836d64fffffffff,2.0,0.0,0.0
836d65fffffffff,12.0,0.0,0.0
836d68fffffffff,154.0,0.0,0.0
836d69fffffffff,41.0,0.0,0.0
836d6afffffffff,2.0,0.0,0.0
836d6bfffffffff,158.0,2.0,0.0
836d6cfffffffff,4.0,0.0,0.0
836d6dfffffffff,2.0,0.0,0.0
836d6efffffffff,78.0,0.0,0.0
836d74fffffffff,112.0,0.0,0.0
836d76fffffffff,11.0,0.0,0.0
