cell_id,Buteogallus urubitinga,Buteogallus urubitinga ridgwayi,Buteogallus urubitinga urubitinga
832a34fffffffff,350.0,0.0,0.0
8344a1fffffffff,9.0,0.0,0.0
834501fffffffff,6.0,0.0,0.0
83450efffffffff,1.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834521fffffffff,6.0,0.0,0.0
834525fffffffff,3.0,0.0,0.0
83452afffffffff,10.0,2.0,0.0
83452bfffffffff,1.0,0.0,0.0
83452cfffffffff,2.0,0.0,0.0
834836fffffffff,11.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0
8348b2fffffffff,2.0,0.0,0.0
834992fffffffff,2.0,0.0,0.0
834996fffffffff,12.0,1.0,0.0
8349a9fffffffff,113.0,0.0,0.0
8349adfffffffff,4.0,0.0,0.0
8349b0fffffffff,2.0,0.0,0.0
8349b3fffffffff,34.0,2.0,0.0
835f58fffffffff,18.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0
835f5bfffffffff,8.0,0.0,0.0
836606fffffffff,5.0,0.0,0.0
836608fffffffff,2.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836611fffffffff,6.0,0.0,0.0
836613fffffffff,1.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
83661cfffffffff,7.0,0.0,0.0
83661efffffffff,1.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0
836641fffffffff,2.0,0.0,2.0
836684fffffffff,3.0,0.0,0.0
8366a0fffffffff,4.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0
8366b4fffffffff,4.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0
8366d3fffffffff,6.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0
8366e6fffffffff,4.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0
83674cfffffffff,11.0,0.0,0.0
83679afffffffff,21.0,0.0,0.0
83679bfffffffff,8.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d29fffffffff,8.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,4.0,0.0,0.0
836d2efffffffff,7.0,0.0,0.0
836d34fffffffff,4.0,0.0,0.0
836d35fffffffff,4.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0
836d66fffffffff,1.0,0.0,0.0
836d69fffffffff,10.0,2.0,0.0
836d6bfffffffff,4.0,0.0,0.0
836d6dfffffffff,2.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
838f0dfffffffff,2.0,0.0,0.0
838f2afffffffff,4.0,0.0,0.0
838f46fffffffff,4.0,0.0,0.0
838f73fffffffff,3.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
83a840fffffffff,7.0,0.0,0.0
83a891fffffffff,2.0,0.0,0.0
83a92cfffffffff,2.0,0.0,0.0
83a92dfffffffff,4.0,0.0,0.0
83a944fffffffff,1.0,0.0,0.0
83a946fffffffff,4.0,0.0,0.0
83a953fffffffff,1.0,0.0,0.0
83a961fffffffff,39.0,0.0,0.0
83a964fffffffff,6.0,0.0,0.0
83a965fffffffff,5.0,0.0,0.0
83a96cfffffffff,8.0,0.0,0.0
83a973fffffffff,6.0,0.0,0.0
83b243fffffffff,1.0,0.0,0.0
83b249fffffffff,4.0,0.0,0.0
83b24dfffffffff,55.0,0.0,0.0
83b25dfffffffff,2.0,0.0,0.0
83b261fffffffff,7.0,0.0,0.0
83b268fffffffff,22.0,0.0,0.0
83b269fffffffff,25.0,0.0,0.0
83b26bfffffffff,55.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,64.0,0.0,0.0
83b270fffffffff,1.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0
83c2c1fffffffff,12.0,0.0,0.0
83c2c9fffffffff,55.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0
83c2cdfffffffff,5.0,0.0,0.0
83c2d1fffffffff,3.0,0.0,0.0
83c2d9fffffffff,47.0,0.0,0.0
83c2defffffffff,3.0,0.0,0.0
83c2e3fffffffff,16.0,0.0,0.0
83c2e8fffffffff,2.0,0.0,0.0
83c2e9fffffffff,2.0,0.0,0.0
83c2ebfffffffff,2.0,0.0,0.0
83c2eefffffffff,2.0,0.0,0.0
