cell_id,Pogoniulus bilineatus,Pogoniulus bilineatus [bilineatus Group],Pogoniulus bilineatus makawai
836ac5fffffffff,4.0,4.0,0.0
836ac9fffffffff,5.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0
837a44fffffffff,1.0,0.0,0.0
837a4cfffffffff,6.0,2.0,0.0
837a4dfffffffff,19.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0
837a65fffffffff,3.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6efffffffff,6.0,4.0,0.0
837b4cfffffffff,114.0,0.0,0.0
837b6afffffffff,2.0,0.0,0.0
839735fffffffff,1.0,1.0,0.0
83bcd4fffffffff,4.0,4.0,0.0
83bcd6fffffffff,4.0,4.0,0.0
