cell_id,Cisticola aberrans,Cisticola aberrans [emini Group],Cisticola aberrans [aberrans Group]
84585a1ffffffff,2.0,0.0,0.0
8458b51ffffffff,2.0,0.0,0.0
8458cd5ffffffff,1.0,0.0,0.0
8458e2dffffffff,60.0,0.0,0.0
8458e67ffffffff,5.0,0.0,0.0
8458f47ffffffff,1.0,0.0,0.0
8458f5bffffffff,15.0,0.0,0.0
84599e7ffffffff,76.0,7.0,0.0
846ac93ffffffff,4.0,0.0,0.0
846add7ffffffff,2.0,0.0,0.0
846aee7ffffffff,2.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0
8475207ffffffff,15.0,8.0,0.0
847529bffffffff,2.0,0.0,0.0
8475323ffffffff,1.0,0.0,0.0
847a683ffffffff,38.0,0.0,0.0
847a68bffffffff,2.0,0.0,0.0
847a6d1ffffffff,6.0,0.0,0.0
847a6d7ffffffff,1.0,0.0,0.0
847a6d9ffffffff,1.0,0.0,0.0
8496009ffffffff,6.0,0.0,6.0
8496047ffffffff,5.0,0.0,2.0
849615dffffffff,5.0,0.0,2.0
8496203ffffffff,4.0,0.0,0.0
8496231ffffffff,1.0,0.0,0.0
849624dffffffff,2.0,0.0,0.0
8496301ffffffff,1.0,0.0,0.0
849688bffffffff,2.0,0.0,0.0
8496a57ffffffff,1.0,0.0,0.0
849702bffffffff,14.0,0.0,0.0
8497035ffffffff,20.0,0.0,3.0
849703dffffffff,10.0,0.0,0.0
8497199ffffffff,1.0,0.0,0.0
849719bffffffff,11.0,0.0,0.0
84971c3ffffffff,7.0,0.0,0.0
84971cbffffffff,22.0,0.0,12.0
84971d7ffffffff,5.0,0.0,0.0
8497289ffffffff,2.0,0.0,0.0
849728dffffffff,5.0,0.0,0.0
84972c5ffffffff,5.0,0.0,3.0
84972c9ffffffff,1.0,0.0,0.0
84972cdffffffff,4.0,0.0,2.0
84972d5ffffffff,4.0,0.0,2.0
84972d7ffffffff,4.0,0.0,0.0
84972d9ffffffff,23.0,0.0,12.0
84972dbffffffff,4.0,0.0,0.0
8497515ffffffff,8.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0
84978e3ffffffff,13.0,0.0,0.0
8497a85ffffffff,7.0,0.0,0.0
8497a89ffffffff,2.0,0.0,0.0
8497ab1ffffffff,2.0,0.0,2.0
84bc091ffffffff,1.0,0.0,0.0
84bc093ffffffff,1.0,0.0,1.0
84bc0a3ffffffff,1.0,0.0,0.0
84bc0bdffffffff,1.0,0.0,0.0
84bc193ffffffff,1.0,0.0,0.0
84bc197ffffffff,1.0,0.0,0.0
84bc19bffffffff,1.0,0.0,1.0
84bc46dffffffff,1.0,0.0,0.0
84bc50bffffffff,1.0,0.0,0.0
84bc545ffffffff,9.0,0.0,0.0
84bc559ffffffff,2.0,0.0,0.0
84bc723ffffffff,3.0,0.0,0.0
84bc735ffffffff,1.0,0.0,0.0
84bc737ffffffff,3.0,0.0,0.0
84bc73bffffffff,9.0,0.0,5.0
84bc89bffffffff,1.0,0.0,1.0
84bcc27ffffffff,8.0,0.0,0.0
84bcc2bffffffff,13.0,0.0,10.0
84bcc33ffffffff,2.0,0.0,0.0
84bcc35ffffffff,17.0,0.0,11.0
84bcc37ffffffff,2.0,0.0,2.0
84bcc3dffffffff,21.0,0.0,11.0
84bcc49ffffffff,15.0,0.0,5.0
84bcc4bffffffff,6.0,0.0,0.0
84bcc4dffffffff,2.0,0.0,2.0
84bcc65ffffffff,2.0,0.0,0.0
84bcc6dffffffff,16.0,0.0,7.0
84bcca5ffffffff,7.0,0.0,0.0
84bcd01ffffffff,33.0,0.0,17.0
84bcd03ffffffff,1.0,0.0,0.0
84bcd05ffffffff,22.0,0.0,7.0
84bcd07ffffffff,33.0,0.0,19.0
84bcd09ffffffff,7.0,0.0,2.0
84bcd0bffffffff,16.0,0.0,4.0
84bcd0dffffffff,4.0,0.0,2.0
84bcd11ffffffff,20.0,0.0,0.0
84bcd13ffffffff,16.0,0.0,1.0
84bcd15ffffffff,8.0,0.0,6.0
84bcd1bffffffff,5.0,0.0,0.0
84bcd1dffffffff,3.0,0.0,0.0
84bcd21ffffffff,8.0,0.0,4.0
84bcd23ffffffff,4.0,0.0,0.0
84bcd27ffffffff,4.0,0.0,2.0
84bcd29ffffffff,6.0,0.0,3.0
84bcd37ffffffff,9.0,0.0,7.0
84bcd3dffffffff,29.0,0.0,6.0
84bcd43ffffffff,22.0,0.0,0.0
84bcd45ffffffff,5.0,0.0,0.0
84bcd4bffffffff,5.0,0.0,0.0
84bcd55ffffffff,3.0,0.0,0.0
84bcd57ffffffff,2.0,0.0,0.0
84bcd63ffffffff,12.0,0.0,7.0
84bcd81ffffffff,11.0,0.0,3.0
84bcd89ffffffff,2.0,0.0,0.0
84bcd8bffffffff,1.0,0.0,1.0
84bcd8dffffffff,1.0,0.0,1.0
84bcdc1ffffffff,3.0,0.0,0.0
84bcdc3ffffffff,8.0,0.0,0.0
84bcdc7ffffffff,1.0,0.0,1.0
84bcdc9ffffffff,20.0,0.0,11.0
84bcdcdffffffff,15.0,0.0,0.0
84bcdd1ffffffff,4.0,0.0,0.0
84bcdd9ffffffff,2.0,0.0,0.0
84bcde5ffffffff,8.0,0.0,4.0
84bcde7ffffffff,1.0,0.0,0.0
84bcdebffffffff,6.0,0.0,2.0
84bce09ffffffff,4.0,0.0,0.0
84bce21ffffffff,14.0,0.0,3.0
84bce27ffffffff,5.0,0.0,1.0
84bce29ffffffff,8.0,0.0,0.0
84bce65ffffffff,3.0,0.0,2.0
84bce67ffffffff,22.0,0.0,14.0
84bce69ffffffff,3.0,0.0,1.0
84bce6dffffffff,2.0,0.0,0.0
84bce89ffffffff,2.0,0.0,0.0
84bcf01ffffffff,1.0,0.0,0.0
84bcf03ffffffff,2.0,0.0,0.0
84bcf05ffffffff,6.0,0.0,2.0
84bcf09ffffffff,10.0,0.0,9.0
84bcf0dffffffff,2.0,0.0,0.0
84bcf19ffffffff,1.0,0.0,0.0
84bcf1bffffffff,4.0,0.0,4.0
84bcf1dffffffff,3.0,0.0,1.0
84bcf21ffffffff,4.0,0.0,2.0
84bcf29ffffffff,19.0,0.0,5.0
84bcf2dffffffff,2.0,0.0,0.0
84bcf33ffffffff,33.0,0.0,18.0
84bcf37ffffffff,1.0,0.0,1.0
84bcf3dffffffff,15.0,0.0,12.0
84bcf53ffffffff,6.0,0.0,3.0
84bcf57ffffffff,1.0,0.0,1.0
84bcf59ffffffff,4.0,0.0,4.0
84bcf5bffffffff,62.0,0.0,29.0
84bcf61ffffffff,2.0,0.0,0.0
84bcf63ffffffff,8.0,0.0,2.0
