cell_id,Xiphorhynchus erythropygius,Xiphorhynchus erythropygius erythropygius/parvus,Xiphorhynchus erythropygius [aequatorialis Group]
834520fffffffff,179.0,0.0,0.0
834522fffffffff,61.0,0.0,0.0
834524fffffffff,46.0,0.0,0.0
834525fffffffff,64.0,0.0,0.0
834526fffffffff,94.0,0.0,0.0
83452efffffffff,48.0,0.0,0.0
834530fffffffff,4.0,0.0,0.0
834531fffffffff,8.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,164.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834991fffffffff,22.0,0.0,0.0
834996fffffffff,3.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
836610fffffffff,14.0,0.0,0.0
836611fffffffff,7.0,0.0,0.0
836612fffffffff,28.0,0.0,0.0
836613fffffffff,113.0,0.0,12.0
836616fffffffff,11.0,0.0,0.0
836618fffffffff,12.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0
83661afffffffff,16.0,0.0,2.0
83661bfffffffff,553.0,0.0,49.0
83661cfffffffff,2.0,0.0,0.0
83661dfffffffff,113.0,0.0,0.0
83661efffffffff,13.0,0.0,0.0
8366a0fffffffff,1288.0,0.0,67.0
8366a2fffffffff,2.0,0.0,2.0
8366a5fffffffff,1231.0,0.0,59.0
8366b4fffffffff,2714.0,0.0,0.0
8366b5fffffffff,753.0,0.0,17.0
8366c6fffffffff,1.0,0.0,0.0
8366d0fffffffff,785.0,0.0,51.0
8366d2fffffffff,35.0,0.0,1.0
8366d3fffffffff,4771.0,0.0,597.0
8366d5fffffffff,5.0,0.0,0.0
8366e6fffffffff,15.0,0.0,0.0
8366f0fffffffff,653.0,0.0,17.0
8366f1fffffffff,118.0,0.0,1.0
8366f3fffffffff,3.0,0.0,0.0
8366f5fffffffff,118.0,0.0,0.0
836792fffffffff,7.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0
836796fffffffff,51.0,0.0,0.0
83679afffffffff,158.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0
836d05fffffffff,470.0,214.0,0.0
836d20fffffffff,31.0,0.0,0.0
836d21fffffffff,48.0,20.0,0.0
836d23fffffffff,37.0,9.0,0.0
836d28fffffffff,79.0,0.0,0.0
836d29fffffffff,88.0,0.0,0.0
836d2afffffffff,28.0,0.0,0.0
836d2bfffffffff,178.0,0.0,0.0
836d2cfffffffff,27.0,0.0,0.0
836d2dfffffffff,1422.0,354.0,0.0
836d2efffffffff,51.0,9.0,0.0
836d30fffffffff,106.0,15.0,0.0
836d36fffffffff,5.0,0.0,0.0
836d64fffffffff,118.0,0.0,0.0
836d65fffffffff,812.0,0.0,0.0
836d66fffffffff,29.0,0.0,0.0
836d68fffffffff,695.0,0.0,0.0
836d69fffffffff,5976.0,0.0,0.0
836d6dfffffffff,32.0,0.0,0.0
838f0dfffffffff,662.0,0.0,91.0
838f29fffffffff,59.0,0.0,0.0
838f2afffffffff,17.0,0.0,2.0
838f2bfffffffff,26.0,0.0,0.0
838f2cfffffffff,96.0,0.0,0.0
838f2efffffffff,2.0,0.0,0.0
838f76fffffffff,4.0,0.0,0.0
