cell_id,Edolisoma remotum,Edolisoma remotum matthiae,Edolisoma remotum remotum,Edolisoma remotum rooki,Edolisoma remotum heinrothi
8477911ffffffff,1.0,0.0,1.0,0.0,0.0
8477913ffffffff,2.0,0.0,0.0,0.0,0.0
8477981ffffffff,9.0,0.0,3.0,0.0,0.0
84779a3ffffffff,2.0,0.0,0.0,0.0,0.0
84779b5ffffffff,1.0,0.0,0.0,0.0,0.0
84779bdffffffff,1.0,0.0,0.0,0.0,0.0
84779c7ffffffff,1.0,0.0,1.0,0.0,0.0
849c901ffffffff,40.0,0.0,0.0,0.0,0.0
849c907ffffffff,2.0,0.0,0.0,0.0,0.0
849c90dffffffff,2.0,0.0,0.0,0.0,0.0
849c91dffffffff,1.0,0.0,0.0,0.0,0.0
849c947ffffffff,1.0,0.0,0.0,0.0,0.0
849c961ffffffff,2.0,0.0,0.0,0.0,0.0
849c965ffffffff,1.0,0.0,0.0,0.0,0.0
