cell_id,Trogon surrucura,Trogon surrucura aurantius,Trogon surrucura surrucura
8481021ffffffff,1.0,0.0,0.0
8481023ffffffff,11.0,11.0,0.0
8481029ffffffff,130.0,66.0,0.0
8481063ffffffff,1.0,0.0,0.0
8481163ffffffff,4.0,0.0,0.0
8481167ffffffff,5.0,0.0,0.0
84811c9ffffffff,3.0,0.0,0.0
84811e1ffffffff,3.0,3.0,0.0
84811e9ffffffff,3.0,3.0,0.0
8481211ffffffff,63.0,0.0,31.0
8481219ffffffff,2.0,0.0,0.0
848124bffffffff,57.0,0.0,19.0
84812d1ffffffff,3.0,0.0,0.0
84812d7ffffffff,5.0,0.0,0.0
8481303ffffffff,21.0,3.0,0.0
8481307ffffffff,10.0,1.0,0.0
8481321ffffffff,1.0,0.0,0.0
8481327ffffffff,2.0,0.0,0.0
8481339ffffffff,48.0,7.0,0.0
8481343ffffffff,6.0,2.0,0.0
848134dffffffff,4.0,1.0,0.0
8481363ffffffff,119.0,26.0,0.0
84a5969ffffffff,5.0,0.0,0.0
84a8001ffffffff,12.0,0.0,0.0
84a8009ffffffff,8.0,0.0,0.0
84a800dffffffff,9.0,0.0,0.0
84a8013ffffffff,7.0,0.0,0.0
84a8019ffffffff,36.0,0.0,0.0
84a801bffffffff,110.0,0.0,0.0
84a8025ffffffff,2.0,0.0,1.0
84a802dffffffff,7.0,0.0,0.0
84a8041ffffffff,2.0,0.0,0.0
84a8045ffffffff,1.0,0.0,0.0
84a8049ffffffff,22.0,0.0,3.0
84a804bffffffff,1.0,0.0,0.0
84a804dffffffff,62.0,0.0,0.0
84a8055ffffffff,3.0,0.0,0.0
84a8057ffffffff,11.0,0.0,0.0
84a805dffffffff,35.0,0.0,0.0
84a8061ffffffff,56.0,0.0,12.0
84a8063ffffffff,18.0,0.0,2.0
84a8065ffffffff,16.0,0.0,0.0
84a8067ffffffff,273.0,0.0,55.0
84a8069ffffffff,29.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a806dffffffff,9.0,0.0,0.0
84a809dffffffff,2.0,0.0,0.0
84a80c3ffffffff,22.0,0.0,0.0
84a80c9ffffffff,3.0,0.0,0.0
84a80d5ffffffff,2.0,0.0,0.0
84a80d9ffffffff,4.0,0.0,0.0
84a8101ffffffff,289.0,0.0,11.0
84a8103ffffffff,29.0,0.0,2.0
84a8105ffffffff,669.0,0.0,5.0
84a8107ffffffff,332.0,0.0,13.0
84a8109ffffffff,80.0,0.0,0.0
84a810bffffffff,259.0,0.0,16.0
84a810dffffffff,25.0,0.0,1.0
84a8113ffffffff,19.0,0.0,3.0
84a811bffffffff,7.0,0.0,0.0
84a8123ffffffff,48.0,0.0,2.0
84a8125ffffffff,69.0,0.0,9.0
84a8127ffffffff,276.0,0.0,47.0
84a8129ffffffff,217.0,0.0,23.0
84a812bffffffff,16.0,0.0,0.0
84a812dffffffff,52.0,0.0,2.0
84a8143ffffffff,32.0,0.0,0.0
84a8151ffffffff,21.0,0.0,2.0
84a8153ffffffff,88.0,0.0,0.0
84a8155ffffffff,218.0,0.0,7.0
84a8157ffffffff,270.0,0.0,38.0
84a815bffffffff,345.0,0.0,71.0
84a815dffffffff,2.0,0.0,0.0
84a8163ffffffff,3.0,0.0,0.0
84a8167ffffffff,40.0,0.0,10.0
84a8181ffffffff,3.0,0.0,0.0
84a8195ffffffff,2.0,0.0,0.0
84a81a9ffffffff,1.0,0.0,0.0
84a81adffffffff,2.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,2.0
84a81c5ffffffff,3.0,0.0,0.0
84a81cdffffffff,92.0,0.0,0.0
84a81d9ffffffff,58.0,0.0,8.0
84a81e3ffffffff,5.0,0.0,0.0
84a81e5ffffffff,1.0,0.0,0.0
84a81e7ffffffff,7.0,0.0,0.0
84a81e9ffffffff,3.0,0.0,0.0
84a81edffffffff,2.0,0.0,0.0
84a8203ffffffff,22.0,0.0,2.0
84a8207ffffffff,8.0,0.0,0.0
84a8209ffffffff,4.0,0.0,0.0
84a820dffffffff,3.0,0.0,0.0
84a8211ffffffff,10.0,0.0,0.0
84a8213ffffffff,10.0,0.0,0.0
84a8215ffffffff,19.0,0.0,0.0
84a8219ffffffff,12.0,0.0,0.0
84a821bffffffff,2.0,0.0,0.0
84a8221ffffffff,1.0,0.0,0.0
84a8225ffffffff,2.0,0.0,0.0
84a8227ffffffff,5.0,0.0,0.0
84a8229ffffffff,4.0,0.0,0.0
84a822bffffffff,18.0,0.0,0.0
84a8235ffffffff,19.0,0.0,5.0
84a8237ffffffff,33.0,0.0,1.0
84a823dffffffff,2.0,0.0,0.0
84a8241ffffffff,43.0,0.0,0.0
84a8245ffffffff,11.0,0.0,0.0
84a8247ffffffff,12.0,0.0,0.0
84a824bffffffff,3.0,0.0,0.0
84a8251ffffffff,4.0,0.0,0.0
84a8253ffffffff,2.0,0.0,0.0
84a8257ffffffff,17.0,0.0,0.0
84a8259ffffffff,1.0,0.0,0.0
84a825bffffffff,6.0,0.0,0.0
84a8261ffffffff,8.0,0.0,0.0
84a8265ffffffff,7.0,0.0,0.0
84a8267ffffffff,7.0,0.0,0.0
84a826dffffffff,25.0,0.0,2.0
84a8287ffffffff,30.0,0.0,0.0
84a8289ffffffff,4.0,0.0,0.0
84a82a1ffffffff,3.0,0.0,0.0
84a82a5ffffffff,10.0,0.0,0.0
84a82a7ffffffff,3.0,0.0,0.0
84a82abffffffff,5.0,0.0,0.0
84a82b9ffffffff,2.0,0.0,0.0
84a82bdffffffff,9.0,0.0,0.0
84a82c3ffffffff,7.0,0.0,0.0
84a82c5ffffffff,5.0,0.0,0.0
84a82c9ffffffff,12.0,0.0,0.0
84a82cbffffffff,3.0,0.0,0.0
84a82d1ffffffff,3.0,0.0,0.0
84a82d3ffffffff,17.0,0.0,0.0
84a82dbffffffff,14.0,0.0,0.0
84a82ddffffffff,8.0,0.0,0.0
84a82e1ffffffff,17.0,0.0,0.0
84a82e3ffffffff,21.0,0.0,0.0
84a82e7ffffffff,6.0,0.0,0.0
84a82edffffffff,1.0,0.0,0.0
84a8311ffffffff,30.0,0.0,0.0
84a8313ffffffff,34.0,0.0,8.0
84a8315ffffffff,2.0,0.0,0.0
84a8317ffffffff,7.0,0.0,0.0
84a8319ffffffff,19.0,0.0,0.0
84a831bffffffff,42.0,0.0,0.0
84a8333ffffffff,3.0,0.0,0.0
84a8337ffffffff,7.0,0.0,0.0
84a833bffffffff,19.0,0.0,0.0
84a8351ffffffff,11.0,0.0,0.0
84a8353ffffffff,194.0,0.0,13.0
84a8357ffffffff,25.0,0.0,0.0
84a8359ffffffff,35.0,0.0,0.0
84a835bffffffff,97.0,0.0,0.0
84a835dffffffff,4.0,0.0,0.0
84a8463ffffffff,16.0,0.0,0.0
84a8605ffffffff,3.0,0.0,0.0
84a860dffffffff,19.0,0.0,0.0
84a8629ffffffff,9.0,0.0,0.0
84a862dffffffff,2.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a8701ffffffff,6.0,0.0,0.0
84a870bffffffff,3.0,0.0,0.0
84a8751ffffffff,3.0,0.0,0.0
84a8753ffffffff,1.0,0.0,0.0
84a8759ffffffff,28.0,0.0,0.0
84a8767ffffffff,5.0,0.0,0.0
84a8769ffffffff,1.0,0.0,0.0
84a876bffffffff,1.0,0.0,0.0
84a876dffffffff,14.0,0.0,0.0
84a8805ffffffff,46.0,39.0,0.0
84a8807ffffffff,13.0,0.0,0.0
84a880dffffffff,2.0,0.0,0.0
84a8811ffffffff,260.0,31.0,2.0
84a8813ffffffff,2.0,0.0,0.0
84a8817ffffffff,1.0,0.0,0.0
84a8819ffffffff,4.0,0.0,0.0
84a881bffffffff,47.0,2.0,0.0
84a8821ffffffff,7.0,0.0,0.0
84a8825ffffffff,19.0,2.0,0.0
84a8829ffffffff,4.0,2.0,0.0
84a882bffffffff,1.0,0.0,0.0
84a882dffffffff,171.0,46.0,0.0
84a883bffffffff,1.0,1.0,0.0
84a883dffffffff,2.0,0.0,0.0
84a8849ffffffff,364.0,35.0,2.0
