cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
834501fffffffff,23.0,0.0,0.0
834505fffffffff,5.0,0.0,0.0
834509fffffffff,2.0,0.0,0.0
834521fffffffff,14.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0
834524fffffffff,23.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0
83452afffffffff,9.0,0.0,0.0
83452efffffffff,20.0,0.0,0.0
83481dfffffffff,4.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0
8348b3fffffffff,118.0,0.0,3.0
834986fffffffff,4.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0
834995fffffffff,7.0,0.0,0.0
83499cfffffffff,5.0,0.0,0.0
8349a2fffffffff,1.0,0.0,0.0
8349b2fffffffff,4.0,0.0,0.0
836d20fffffffff,4.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0
836d2dfffffffff,5.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0
836d31fffffffff,17.0,0.0,9.0
836d32fffffffff,2.0,0.0,0.0
836d33fffffffff,2.0,2.0,0.0
836d65fffffffff,2.0,0.0,0.0
836d74fffffffff,6.0,0.0,0.0
