cell_id,Arborophila cambodiana,Arborophila cambodiana diversa,Arborophila cambodiana cambodiana/chandamonyi
836580fffffffff,71.0,0.0,8.0
836581fffffffff,3.0,0.0,1.0
836585fffffffff,66.0,1.0,5.0
