cell_id,Lanius schach,Lanius schach erythronotus/caniceps,Lanius schach schach,Lanius schach tricolor/longicaudatus,Lanius schach bentet,Lanius schach [nasutus Group],Lanius schach schach x tricolor
82194ffffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0
82201ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
822087fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
82208ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822c57fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
822c97fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823087fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,119.0,0.0,0.0,0.0,0.0,0.0,0.0
823187fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
82318ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82319ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823c07fffffffff,12.0,6.0,0.0,3.0,0.0,0.0,0.0
823c0ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,51.0,0.0,0.0,17.0,0.0,0.0,0.0
823c37fffffffff,5.0,0.0,0.0,5.0,0.0,0.0,0.0
823c5ffffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
823c6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823c87fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0,5.0,0.0,0.0,0.0
823c97fffffffff,8.0,0.0,0.0,8.0,0.0,0.0,0.0
823ca7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
823caffffffffff,25.0,0.0,0.0,3.0,0.0,0.0,0.0
823cb7fffffffff,22.0,1.0,0.0,19.0,0.0,0.0,0.0
