cell_id,Pachycoccyx audeberti,Pachycoccyx audeberti validus/brazzae,Pachycoccyx audeberti audeberti
8458969ffffffff,36.0,0.0,0.0
8458b23ffffffff,1.0,0.0,0.0
846a143ffffffff,1.0,0.0,0.0
846a9e7ffffffff,2.0,0.0,0.0
846aea3ffffffff,1.0,1.0,0.0
8475085ffffffff,1.0,0.0,0.0
8475087ffffffff,2.0,0.0,0.0
84750c5ffffffff,1.0,0.0,0.0
84750d1ffffffff,8.0,0.0,0.0
8475201ffffffff,4.0,0.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,10.0,0.0,0.0
8475295ffffffff,5.0,1.0,0.0
847529bffffffff,2.0,0.0,0.0
84752abffffffff,12.0,0.0,0.0
84752adffffffff,9.0,0.0,0.0
84752b5ffffffff,6.0,1.0,0.0
84752d3ffffffff,9.0,0.0,0.0
8475769ffffffff,1.0,0.0,0.0
847a66dffffffff,4.0,0.0,0.0
847a759ffffffff,1.0,0.0,0.0
847b483ffffffff,2.0,0.0,0.0
847b487ffffffff,4.0,0.0,0.0
847b4a7ffffffff,1.0,0.0,0.0
847b4cbffffffff,1.0,0.0,0.0
847b597ffffffff,14.0,0.0,0.0
847b5bbffffffff,4.0,0.0,0.0
847b6bbffffffff,1.0,0.0,0.0
8482181ffffffff,1.0,0.0,0.0
8482187ffffffff,2.0,0.0,0.0
848290bffffffff,5.0,0.0,0.0
8482a37ffffffff,3.0,0.0,0.0
8483125ffffffff,6.0,0.0,0.0
8483921ffffffff,2.0,0.0,0.0
8483ac1ffffffff,1.0,0.0,0.0
8483ac3ffffffff,1.0,0.0,0.0
8496009ffffffff,2.0,0.0,0.0
8496015ffffffff,1.0,0.0,0.0
849601dffffffff,1.0,0.0,0.0
849602dffffffff,4.0,0.0,0.0
8496051ffffffff,3.0,1.0,0.0
8496097ffffffff,1.0,0.0,0.0
84960b5ffffffff,1.0,0.0,0.0
84960e9ffffffff,3.0,0.0,0.0
8496151ffffffff,1.0,0.0,0.0
8496223ffffffff,1.0,0.0,0.0
849623bffffffff,1.0,0.0,0.0
8496263ffffffff,12.0,0.0,0.0
8496267ffffffff,1.0,0.0,0.0
84962a5ffffffff,1.0,0.0,0.0
84962c9ffffffff,3.0,3.0,0.0
84962e5ffffffff,1.0,0.0,0.0
8496365ffffffff,1.0,0.0,0.0
8496561ffffffff,1.0,0.0,0.0
849656bffffffff,1.0,0.0,0.0
849672dffffffff,1.0,0.0,0.0
8496a59ffffffff,4.0,0.0,0.0
8496ad3ffffffff,1.0,0.0,0.0
8496b19ffffffff,3.0,0.0,0.0
8496b63ffffffff,2.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0
84970dbffffffff,1.0,0.0,0.0
8497103ffffffff,1.0,0.0,0.0
8497107ffffffff,2.0,0.0,0.0
8497119ffffffff,6.0,0.0,0.0
8497159ffffffff,1.0,0.0,0.0
84971b9ffffffff,1.0,0.0,0.0
84971c3ffffffff,1.0,0.0,0.0
8497245ffffffff,1.0,0.0,0.0
849728dffffffff,2.0,0.0,0.0
84972c5ffffffff,1.0,0.0,0.0
84972d5ffffffff,1.0,0.0,0.0
84972e3ffffffff,3.0,1.0,0.0
8497313ffffffff,2.0,0.0,0.0
8497509ffffffff,1.0,0.0,0.0
8497515ffffffff,1.0,1.0,0.0
8497517ffffffff,1.0,0.0,0.0
8497535ffffffff,2.0,2.0,0.0
849791bffffffff,1.0,0.0,0.0
8497aabffffffff,3.0,0.0,0.0
84ac997ffffffff,1.0,0.0,0.0
84bcd05ffffffff,1.0,1.0,0.0
84bcd0dffffffff,7.0,4.0,0.0
84bcd23ffffffff,3.0,0.0,0.0
84bcd27ffffffff,1.0,0.0,0.0
84bcd29ffffffff,9.0,3.0,0.0
84bcd35ffffffff,4.0,0.0,0.0
84bcd45ffffffff,6.0,0.0,0.0
84bcd67ffffffff,2.0,0.0,0.0
