cell_id,Cryptospiza reichenovii,Cryptospiza reichenovii reichenovii,Cryptospiza reichenovii australis/ocularis
8258d7fffffffff,15.0,14.0,0.0
8258dffffffffff,5.0,0.0,0.0
826ac7fffffffff,2.0,0.0,0.0
826adffffffffff,53.0,0.0,1.0
827b4ffffffffff,97.0,0.0,12.0
8282d7fffffffff,48.0,14.0,0.0
829697fffffffff,8.0,0.0,0.0
8296a7fffffffff,26.0,0.0,5.0
8296b7fffffffff,28.0,0.0,0.0
829707fffffffff,55.0,0.0,11.0
82971ffffffffff,51.0,0.0,2.0
82978ffffffffff,14.0,0.0,0.0
8297affffffffff,12.0,0.0,2.0
