cell_id,Scepomycter winifredae,Scepomycter winifredae winifredae,Scepomycter winifredae rubehoensis
837b4dfffffffff,3.0,0.0,0.0
8396b2fffffffff,30.0,0.0,13.0
8396b6fffffffff,36.0,1.0,0.0
