cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
832834fffffffff,176.0,0.0,0.0
8329a0fffffffff,164.0,0.0,0.0
8329a1fffffffff,1518.0,0.0,0.0
8329a5fffffffff,1169.0,0.0,0.0
833944fffffffff,135.0,0.0,0.0
8344a1fffffffff,2185.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0
838b20fffffffff,364.0,0.0,0.0
838b21fffffffff,44.0,0.0,0.0
838b22fffffffff,302.0,0.0,0.0
838b24fffffffff,8.0,0.0,0.0
838b25fffffffff,53.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,69.0,0.0,0.0
838b2dfffffffff,35.0,0.0,0.0
838b2efffffffff,7.0,0.0,0.0
838b61fffffffff,460.0,0.0,0.0
838b65fffffffff,2.0,0.0,0.0
838b6cfffffffff,731.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e61fffffffff,14.0,0.0,0.0
838e62fffffffff,192.0,0.0,0.0
838e64fffffffff,38.0,0.0,0.0
838e65fffffffff,4.0,0.0,0.0
838e68fffffffff,2.0,0.0,0.0
838e69fffffffff,1.0,0.0,0.0
838e6cfffffffff,8.0,0.0,0.0
838e6dfffffffff,308.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f42fffffffff,88.0,5.0,0.0
838f46fffffffff,40.0,2.0,0.0
838f4afffffffff,9.0,0.0,0.0
838f55fffffffff,581.0,34.0,0.0
838f5dfffffffff,6.0,0.0,0.0
838f73fffffffff,47.0,2.0,0.0
83b270fffffffff,182.0,0.0,0.0
83b274fffffffff,178.0,0.0,0.0
83b276fffffffff,6.0,0.0,0.0
83b321fffffffff,34.0,0.0,0.0
83b324fffffffff,59.0,0.0,0.0
83b325fffffffff,72.0,0.0,0.0
83b32cfffffffff,4.0,0.0,0.0
83b32dfffffffff,27.0,0.0,0.0
83b335fffffffff,10.0,0.0,0.0
83b340fffffffff,8.0,0.0,0.0
83b342fffffffff,842.0,0.0,0.0
83b343fffffffff,9.0,0.0,0.0
83b344fffffffff,23.0,0.0,0.0
83b346fffffffff,8.0,0.0,0.0
83b351fffffffff,1038.0,0.0,0.0
83b355fffffffff,4.0,0.0,0.0
83b358fffffffff,48.0,0.0,0.0
83b35afffffffff,59.0,0.0,0.0
83b35bfffffffff,157.0,0.0,0.0
83b35cfffffffff,237.0,0.0,0.0
83b35efffffffff,1296.0,0.0,0.0
83b362fffffffff,6.0,0.0,0.0
83b366fffffffff,38.0,0.0,0.0
83b371fffffffff,3.0,0.0,0.0
83c2e2fffffffff,4.0,0.0,0.0
83c2e3fffffffff,42.0,0.0,0.0
