cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
829497fffffffff,49.0,14.0,0.0
829c67fffffffff,2.0,0.0,0.0
829c6ffffffffff,6.0,0.0,0.0
829d2ffffffffff,2.0,0.0,0.0
829d47fffffffff,86.0,19.0,0.0
829d4ffffffffff,24.0,2.0,0.0
829d57fffffffff,8.0,0.0,0.0
829d67fffffffff,10.0,0.0,0.0
829d6ffffffffff,155.0,37.0,0.0
829d77fffffffff,24.0,6.0,0.0
82a607fffffffff,19.0,5.0,0.0
82a617fffffffff,330.0,189.0,2.0
82a627fffffffff,83.0,16.0,18.0
82a637fffffffff,79.0,36.0,0.0
82a6a7fffffffff,48.0,10.0,11.0
82a707fffffffff,50.0,4.0,0.0
82a717fffffffff,88.0,18.0,0.0
82a71ffffffffff,79.0,19.0,0.0
82a727fffffffff,115.0,14.0,0.0
82a737fffffffff,112.0,0.0,0.0
82a787fffffffff,32.0,5.0,0.0
82a78ffffffffff,22.0,6.0,0.0
82a797fffffffff,1.0,1.0,0.0
82a79ffffffffff,75.0,10.0,0.0
82a7a7fffffffff,10.0,4.0,0.0
82a7b7fffffffff,8.0,0.0,0.0
82b807fffffffff,8.0,0.0,0.0
82b80ffffffffff,2.0,2.0,0.0
82b817fffffffff,37.0,10.0,0.0
82b827fffffffff,85.0,15.0,0.0
82b82ffffffffff,32.0,14.0,0.0
82b837fffffffff,3.0,0.0,0.0
82b847fffffffff,48.0,17.0,0.0
82b84ffffffffff,6.0,0.0,0.0
82b857fffffffff,16.0,11.0,0.0
82b85ffffffffff,13.0,2.0,0.0
82b86ffffffffff,12.0,2.0,0.0
82b877fffffffff,26.0,21.0,0.0
82b887fffffffff,262.0,19.0,0.0
82b88ffffffffff,15.0,7.0,0.0
82b897fffffffff,3.0,0.0,0.0
82b89ffffffffff,13.0,0.0,0.0
82b8a7fffffffff,85.0,21.0,0.0
82b8affffffffff,74.0,8.0,0.0
82b8b7fffffffff,2.0,0.0,0.0
82b8c7fffffffff,1.0,0.0,0.0
82b8cffffffffff,3.0,0.0,0.0
82b8dffffffffff,1.0,0.0,0.0
82b8f7fffffffff,2.0,1.0,0.0
82b917fffffffff,208.0,42.0,0.0
82b987fffffffff,506.0,181.0,0.0
82b98ffffffffff,125.0,35.0,0.0
82b997fffffffff,147.0,24.0,0.0
82b99ffffffffff,191.0,42.0,0.0
82b9a7fffffffff,288.0,40.0,0.0
82b9affffffffff,428.0,50.0,0.0
82b9b7fffffffff,593.0,121.0,0.0
82be1ffffffffff,1.0,0.0,0.0
82be47fffffffff,930.0,205.0,0.0
82be4ffffffffff,297.0,72.0,0.0
82be57fffffffff,570.0,67.0,0.0
82be5ffffffffff,178.0,45.0,0.0
82bec7fffffffff,50.0,0.0,0.0
82becffffffffff,402.0,49.0,0.0
82bed7fffffffff,8.0,0.0,0.0
82bedffffffffff,17.0,2.0,0.0
82bee7fffffffff,232.0,5.0,0.0
82beeffffffffff,92.0,13.0,0.0
82bef7fffffffff,373.0,0.0,0.0
82c997fffffffff,6.0,0.0,0.0
