cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
84529b9ffffffff,3.0,0.0,0.0,0.0
8454197ffffffff,1.0,0.0,0.0,0.0
84541a3ffffffff,21.0,3.0,0.0,0.0
84541a5ffffffff,15.0,6.0,0.0,0.0
84541b5ffffffff,2.0,0.0,0.0,0.0
84541b9ffffffff,16.0,4.0,0.0,0.0
84541bbffffffff,5.0,0.0,0.0,0.0
8454a93ffffffff,21.0,14.0,0.0,0.0
8454a9bffffffff,5.0,2.0,0.0,0.0
8454e2dffffffff,2.0,0.0,0.0,0.0
8454e41ffffffff,1.0,1.0,0.0,0.0
8454e4bffffffff,2.0,0.0,0.0,0.0
8454e4dffffffff,18.0,14.0,0.0,0.0
8454e51ffffffff,8.0,2.0,0.0,0.0
8454e59ffffffff,2.0,0.0,0.0,0.0
8454e5bffffffff,4.0,2.0,0.0,0.0
8454f0bffffffff,1.0,0.0,0.0,0.0
8454f15ffffffff,7.0,0.0,0.0,0.0
8454f19ffffffff,1.0,0.0,0.0,0.0
8454f1bffffffff,1.0,0.0,0.0,0.0
8454f45ffffffff,1.0,0.0,0.0,0.0
8454f4dffffffff,19.0,10.0,0.0,0.0
8454f53ffffffff,1.0,0.0,0.0,0.0
8454f57ffffffff,3.0,0.0,0.0,0.0
845886dffffffff,2.0,0.0,0.0,0.0
845894dffffffff,3.0,0.0,0.0,0.0
8458969ffffffff,15.0,0.0,0.0,0.0
8458a65ffffffff,4.0,0.0,0.0,0.0
8458b51ffffffff,2.0,0.0,0.0,0.0
8458c8bffffffff,3.0,0.0,0.0,0.0
8458cd9ffffffff,4.0,1.0,0.0,0.0
8458e2dffffffff,3.0,0.0,0.0,0.0
8458e39ffffffff,1.0,0.0,0.0,0.0
8459827ffffffff,4.0,0.0,0.0,0.0
846a5a9ffffffff,17.0,0.0,0.0,0.0
846ac3dffffffff,2.0,0.0,0.0,0.0
846ac89ffffffff,3.0,0.0,0.0,0.0
846ace5ffffffff,62.0,0.0,0.0,0.0
846ad8bffffffff,2.0,0.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0,0.0
846add5ffffffff,1.0,1.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0,0.0
846ae85ffffffff,13.0,0.0,0.0,0.0
846aea3ffffffff,1.0,0.0,0.0,0.0
846aea9ffffffff,4.0,0.0,0.0,0.0
846aee3ffffffff,4.0,4.0,0.0,0.0
846b127ffffffff,12.0,0.0,0.0,0.0
8475069ffffffff,1.0,0.0,0.0,0.0
8475201ffffffff,108.0,11.0,0.0,0.0
8475207ffffffff,42.0,6.0,0.0,0.0
8475293ffffffff,5.0,0.0,0.0,0.0
847529bffffffff,12.0,3.0,0.0,0.0
84752b5ffffffff,2.0,0.0,0.0,0.0
84752d3ffffffff,1.0,1.0,0.0,0.0
8475313ffffffff,2.0,0.0,0.0,0.0
8475769ffffffff,2.0,0.0,0.0,0.0
847a401ffffffff,6.0,0.0,0.0,0.0
847a403ffffffff,7.0,0.0,0.0,0.0
847a407ffffffff,21.0,0.0,0.0,0.0
847a40bffffffff,2.0,0.0,0.0,0.0
847a40dffffffff,1.0,0.0,0.0,0.0
847a413ffffffff,118.0,15.0,0.0,0.0
847a41bffffffff,8.0,1.0,0.0,0.0
847a41dffffffff,8.0,0.0,0.0,0.0
847a43bffffffff,3.0,0.0,0.0,0.0
847a481ffffffff,7.0,0.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0,0.0
847a4c1ffffffff,5.0,0.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0,0.0
847a4e3ffffffff,2.0,0.0,0.0,0.0
847a601ffffffff,2.0,0.0,0.0,0.0
847a603ffffffff,4.0,0.0,0.0,0.0
847a609ffffffff,6.0,0.0,0.0,0.0
847a60bffffffff,2.0,0.0,0.0,0.0
847a641ffffffff,7.0,0.0,0.0,0.0
847a643ffffffff,2.0,0.0,0.0,0.0
847a65dffffffff,1.0,0.0,0.0,0.0
847a681ffffffff,10.0,0.0,0.0,0.0
847a683ffffffff,16.0,3.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0,0.0
847a68bffffffff,2.0,0.0,0.0,0.0
847a6d1ffffffff,25.0,2.0,0.0,0.0
847a6d3ffffffff,1.0,0.0,0.0,0.0
847a6d7ffffffff,1.0,0.0,0.0,0.0
847a6d9ffffffff,6.0,5.0,0.0,0.0
847a6dbffffffff,4.0,0.0,0.0,0.0
847ac81ffffffff,26.0,0.0,0.0,0.0
847ac83ffffffff,2.0,0.0,0.0,0.0
847ae9bffffffff,10.0,0.0,0.0,0.0
