cell_id,Dessonornis archeri,Dessonornis archeri archeri,Dessonornis archeri kimbutui
826ac7fffffffff,6.0,2.0,0.0
826acffffffffff,1.0,0.0,0.0
826adffffffffff,577.0,69.0,0.0
8296d7fffffffff,6.0,0.0,0.0
