cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
822807fffffffff,5.0,3.0,0.0,0.0,0.0
822817fffffffff,24.0,0.0,0.0,0.0,0.0
822837fffffffff,278.0,77.0,0.0,0.0,0.0
822917fffffffff,2.0,0.0,0.0,0.0,0.0
822987fffffffff,33.0,0.0,9.0,0.0,0.0
82298ffffffffff,20.0,0.0,2.0,0.0,0.0
822997fffffffff,3.0,0.0,3.0,0.0,0.0
8229a7fffffffff,475.0,11.0,63.0,112.0,0.0
8229affffffffff,100.0,8.0,65.0,0.0,0.0
8229b7fffffffff,295.0,0.0,110.0,0.0,0.0
824847fffffffff,1.0,1.0,0.0,0.0,0.0
82484ffffffffff,1.0,1.0,0.0,0.0,0.0
82485ffffffffff,39.0,8.0,6.0,0.0,0.0
824877fffffffff,10.0,1.0,0.0,0.0,6.0
8248effffffffff,33.0,0.0,6.0,0.0,0.0
