cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
825f17fffffffff,8.0,0.0,0.0
825f2ffffffffff,174.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0
825f6ffffffffff,4.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0
826647fffffffff,85.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,112.0,0.0,0.0
82665ffffffffff,66.0,0.0,0.0
826667fffffffff,21.0,0.0,0.0
82666ffffffffff,13.0,0.0,0.0
826677fffffffff,148.0,3.0,0.0
8266cffffffffff,10.0,0.0,0.0
8266e7fffffffff,18.0,0.0,0.0
8266effffffffff,20.0,0.0,0.0
82674ffffffffff,4.0,0.0,0.0
82675ffffffffff,18.0,0.0,0.0
82800ffffffffff,13.0,0.0,0.0
828147fffffffff,35.0,0.0,0.0
82814ffffffffff,17.0,0.0,0.0
82815ffffffffff,1.0,0.0,0.0
828167fffffffff,124.0,0.0,0.0
828a17fffffffff,2.0,0.0,0.0
828a1ffffffffff,8.0,0.0,0.0
828a47fffffffff,36.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,41.0,0.0,0.0
828a87fffffffff,30.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828a9ffffffffff,8.0,0.0,0.0
828aaffffffffff,91.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,58.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,169.0,0.0,0.0
828b0ffffffffff,11.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0
828b1ffffffffff,5.0,0.0,0.0
828b2ffffffffff,7.0,0.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b77fffffffff,3.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0
828ba7fffffffff,4.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828f67fffffffff,12.0,0.0,0.0
828f6ffffffffff,12.0,0.0,0.0
82a847fffffffff,31.0,0.0,0.0
82a84ffffffffff,6.0,0.0,0.0
82a85ffffffffff,1332.0,0.0,0.0
82a867fffffffff,5.0,0.0,0.0
82a86ffffffffff,11.0,0.0,0.0
82a8cffffffffff,6.0,0.0,0.0
