cell_id,Amazona autumnalis,Amazona autumnalis autumnalis/salvini,Amazona autumnalis lilacina,Amazona autumnalis diadema
8329a0fffffffff,103.0,0.0,0.0,0.0
8329a1fffffffff,319.0,0.0,0.0,0.0
8329a5fffffffff,8.0,0.0,0.0,0.0
834501fffffffff,11.0,0.0,0.0,0.0
834505fffffffff,433.0,22.0,0.0,0.0
834508fffffffff,2.0,0.0,0.0,0.0
834509fffffffff,172.0,0.0,0.0,0.0
83450afffffffff,69.0,1.0,0.0,0.0
83450cfffffffff,26.0,0.0,0.0,0.0
83450efffffffff,24.0,3.0,0.0,0.0
834520fffffffff,304.0,21.0,0.0,0.0
834521fffffffff,2734.0,36.0,0.0,0.0
834522fffffffff,841.0,0.0,0.0,0.0
834523fffffffff,1526.0,75.0,0.0,0.0
834524fffffffff,9.0,0.0,0.0,0.0
834525fffffffff,68.0,6.0,0.0,0.0
834526fffffffff,1065.0,0.0,0.0,0.0
834528fffffffff,1064.0,88.0,0.0,0.0
834529fffffffff,19.0,3.0,0.0,0.0
83452afffffffff,3457.0,348.0,0.0,0.0
83452bfffffffff,56.0,8.0,0.0,0.0
83452cfffffffff,1380.0,189.0,0.0,0.0
83452dfffffffff,337.0,59.0,0.0,0.0
83452efffffffff,12444.0,714.0,0.0,0.0
834530fffffffff,44.0,0.0,0.0,0.0
834531fffffffff,56.0,0.0,0.0,0.0
834532fffffffff,203.0,0.0,0.0,0.0
834534fffffffff,23.0,0.0,0.0,0.0
834535fffffffff,52.0,0.0,0.0,0.0
834536fffffffff,221.0,0.0,0.0,0.0
834564fffffffff,53.0,5.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0,0.0
834574fffffffff,8.0,0.0,0.0,0.0
834576fffffffff,7.0,0.0,0.0,0.0
8348a0fffffffff,15.0,0.0,0.0,0.0
8348a2fffffffff,185.0,0.0,0.0,0.0
8348b2fffffffff,1211.0,228.0,0.0,0.0
8348b3fffffffff,403.0,82.0,0.0,0.0
834981fffffffff,1.0,0.0,0.0,0.0
834982fffffffff,3.0,0.0,0.0,0.0
834983fffffffff,4.0,0.0,0.0,0.0
83498cfffffffff,31.0,0.0,0.0,0.0
83498efffffffff,2.0,0.0,0.0,0.0
834990fffffffff,25.0,0.0,0.0,0.0
834991fffffffff,5.0,0.0,0.0,0.0
834992fffffffff,24.0,0.0,0.0,0.0
834993fffffffff,24.0,5.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0
834995fffffffff,72.0,0.0,0.0,0.0
834996fffffffff,877.0,102.0,0.0,0.0
834998fffffffff,282.0,2.0,0.0,0.0
83499bfffffffff,37.0,0.0,0.0,0.0
83499cfffffffff,36.0,0.0,0.0,0.0
83499efffffffff,128.0,0.0,0.0,0.0
8349a8fffffffff,220.0,0.0,0.0,0.0
8349aafffffffff,11.0,0.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0,0.0
836602fffffffff,23.0,0.0,0.0,0.0
836606fffffffff,3.0,0.0,0.0,0.0
836608fffffffff,35.0,0.0,0.0,0.0
83660afffffffff,370.0,0.0,0.0,0.0
83660efffffffff,12.0,0.0,0.0,0.0
836610fffffffff,2560.0,198.0,0.0,0.0
836611fffffffff,96.0,0.0,0.0,0.0
836612fffffffff,65.0,1.0,0.0,0.0
836613fffffffff,1419.0,102.0,0.0,0.0
836616fffffffff,665.0,70.0,0.0,0.0
836618fffffffff,17.0,0.0,0.0,0.0
836619fffffffff,28.0,0.0,0.0,0.0
83661afffffffff,187.0,0.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0,0.0
83661cfffffffff,12.0,0.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0,0.0
83661efffffffff,320.0,0.0,0.0,0.0
836620fffffffff,6.0,0.0,0.0,0.0
836621fffffffff,10.0,0.0,0.0,0.0
836629fffffffff,5.0,0.0,0.0,0.0
83662efffffffff,12.0,0.0,0.0,0.0
836684fffffffff,31.0,0.0,0.0,0.0
8366a0fffffffff,41.0,0.0,0.0,0.0
8366a1fffffffff,12.0,2.0,0.0,0.0
8366a2fffffffff,174.0,6.0,0.0,0.0
8366a3fffffffff,128.0,2.0,0.0,0.0
8366a5fffffffff,10071.0,820.0,0.0,0.0
8366a6fffffffff,2206.0,126.0,0.0,0.0
8366a9fffffffff,10.0,0.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0,0.0
8366b0fffffffff,3985.0,0.0,0.0,0.0
8366b1fffffffff,51.0,2.0,0.0,0.0
8366b4fffffffff,1245.0,0.0,0.0,0.0
8366b5fffffffff,2652.0,34.0,0.0,0.0
8366b6fffffffff,467.0,0.0,0.0,0.0
8366d0fffffffff,211.0,10.0,0.0,0.0
8366d2fffffffff,40.0,11.0,0.0,0.0
8366d3fffffffff,17.0,0.0,0.0,0.0
8366d4fffffffff,69.0,0.0,0.0,0.0
8366d5fffffffff,5.0,0.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0,0.0
8366f0fffffffff,23.0,0.0,0.0,0.0
8366f1fffffffff,156.0,0.0,0.0,0.0
8366f3fffffffff,44.0,0.0,0.0,0.0
8366f5fffffffff,37.0,0.0,0.0,0.0
83678bfffffffff,9.0,0.0,0.0,0.0
836790fffffffff,5.0,0.0,0.0,0.0
836791fffffffff,4.0,0.0,0.0,0.0
836792fffffffff,8.0,0.0,0.0,0.0
836793fffffffff,26.0,0.0,0.0,0.0
836794fffffffff,29.0,0.0,0.0,0.0
836795fffffffff,4.0,0.0,0.0,0.0
836796fffffffff,97.0,0.0,0.0,0.0
83679afffffffff,5515.0,2.0,0.0,0.0
83679bfffffffff,1730.0,10.0,0.0,0.0
8367b2fffffffff,3.0,0.0,0.0,0.0
836d05fffffffff,141.0,67.0,0.0,0.0
836d20fffffffff,71.0,0.0,0.0,0.0
836d21fffffffff,167.0,14.0,0.0,0.0
836d22fffffffff,19.0,4.0,0.0,0.0
836d23fffffffff,263.0,43.0,0.0,0.0
836d24fffffffff,7.0,0.0,0.0,0.0
836d25fffffffff,112.0,7.0,0.0,0.0
836d26fffffffff,11.0,0.0,0.0,0.0
836d2cfffffffff,832.0,134.0,0.0,0.0
836d2dfffffffff,93.0,0.0,0.0,0.0
836d2efffffffff,15.0,5.0,0.0,0.0
836d30fffffffff,361.0,24.0,0.0,0.0
836d31fffffffff,147.0,39.0,0.0,0.0
836d32fffffffff,68.0,11.0,0.0,0.0
836d34fffffffff,175.0,21.0,0.0,0.0
836d35fffffffff,359.0,16.0,0.0,0.0
836d36fffffffff,13.0,0.0,0.0,0.0
836d64fffffffff,6.0,0.0,0.0,0.0
836d68fffffffff,1959.0,0.0,0.0,0.0
836d69fffffffff,10271.0,0.0,0.0,0.0
836d6afffffffff,17.0,0.0,0.0,0.0
836d6bfffffffff,1108.0,0.0,0.0,0.0
836d6cfffffffff,5.0,0.0,0.0,0.0
836d6dfffffffff,3511.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0
838af0fffffffff,16.0,0.0,0.0,5.0
838af1fffffffff,2.0,0.0,0.0,0.0
838af2fffffffff,72.0,0.0,0.0,11.0
838af4fffffffff,8.0,0.0,0.0,1.0
838af6fffffffff,273.0,0.0,0.0,64.0
838f0dfffffffff,2.0,0.0,0.0,0.0
838f28fffffffff,2.0,0.0,0.0,0.0
838f2afffffffff,34.0,0.0,10.0,0.0
838f2bfffffffff,223.0,0.0,65.0,0.0
838f2efffffffff,2.0,0.0,0.0,0.0
