cell_id,Ispidina picta,Ispidina picta picta/ferrugina,Ispidina picta natalensis
845299bffffffff,2.0,0.0,0.0
84529b1ffffffff,3.0,0.0,0.0
84529b9ffffffff,54.0,0.0,0.0
84529dbffffffff,2.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
84540abffffffff,2.0,0.0,0.0
84541a3ffffffff,1.0,0.0,0.0
84541a5ffffffff,11.0,0.0,0.0
84541adffffffff,2.0,0.0,0.0
84541bbffffffff,1.0,0.0,0.0
84541bdffffffff,1.0,0.0,0.0
8454443ffffffff,2.0,0.0,0.0
8454a93ffffffff,115.0,0.0,0.0
8454a99ffffffff,2.0,0.0,0.0
8454a9bffffffff,51.0,0.0,0.0
8454ad5ffffffff,2.0,0.0,0.0
8454e1bffffffff,2.0,0.0,0.0
8454e21ffffffff,6.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0
8454e41ffffffff,4.0,0.0,0.0
8454e49ffffffff,2.0,0.0,0.0
8454e4bffffffff,3.0,0.0,0.0
8454e4dffffffff,17.0,0.0,0.0
8454e51ffffffff,10.0,0.0,0.0
8454e59ffffffff,2.0,0.0,0.0
8454e5bffffffff,4.0,0.0,0.0
8454e5dffffffff,2.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f15ffffffff,4.0,0.0,0.0
8454f19ffffffff,2.0,0.0,0.0
8454f1bffffffff,10.0,0.0,0.0
8454f47ffffffff,1.0,0.0,0.0
8454f49ffffffff,3.0,0.0,0.0
8454f4dffffffff,80.0,0.0,0.0
8454f51ffffffff,5.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8458517ffffffff,6.0,0.0,0.0
8458839ffffffff,3.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
8458883ffffffff,3.0,0.0,0.0
8458909ffffffff,2.0,0.0,0.0
845890bffffffff,8.0,0.0,0.0
845890dffffffff,14.0,0.0,0.0
8458943ffffffff,4.0,0.0,0.0
8458949ffffffff,2.0,0.0,0.0
845894bffffffff,2.0,0.0,0.0
845894dffffffff,2.0,0.0,0.0
8458957ffffffff,1.0,0.0,0.0
8458963ffffffff,1.0,0.0,0.0
8458969ffffffff,11.0,0.0,0.0
8458a65ffffffff,4.0,0.0,0.0
8458c8bffffffff,3.0,0.0,0.0
8458d35ffffffff,4.0,0.0,0.0
8458db5ffffffff,1.0,0.0,0.0
8458debffffffff,11.0,0.0,0.0
8458e2dffffffff,19.0,0.0,0.0
8458f1dffffffff,1.0,0.0,0.0
8458f5bffffffff,3.0,0.0,0.0
84599e5ffffffff,4.0,0.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a459ffffffff,7.0,0.0,0.0
846a507ffffffff,2.0,0.0,0.0
846a581ffffffff,9.0,0.0,0.0
846a583ffffffff,8.0,0.0,0.0
846a587ffffffff,5.0,0.0,0.0
846a5a9ffffffff,5.0,0.0,0.0
846a697ffffffff,22.0,0.0,0.0
846ac03ffffffff,23.0,0.0,0.0
846ac0bffffffff,19.0,0.0,0.0
846ac15ffffffff,167.0,0.0,0.0
846ac19ffffffff,5.0,0.0,0.0
846ac1dffffffff,5.0,0.0,0.0
846ac31ffffffff,6.0,0.0,0.0
846ac35ffffffff,22.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0
846ac39ffffffff,4.0,0.0,0.0
846ac3dffffffff,151.0,0.0,0.0
846ac81ffffffff,1.0,0.0,0.0
846ac89ffffffff,283.0,0.0,0.0
846ac8dffffffff,1.0,0.0,0.0
846ac93ffffffff,27.0,0.0,0.0
846ac9bffffffff,13.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846acc3ffffffff,6.0,0.0,0.0
846acc7ffffffff,26.0,0.0,0.0
846accbffffffff,4.0,0.0,0.0
846acd1ffffffff,8.0,0.0,0.0
846acd5ffffffff,44.0,0.0,0.0
846ace5ffffffff,140.0,0.0,0.0
846ad81ffffffff,29.0,0.0,0.0
846ad85ffffffff,1.0,0.0,0.0
846ad89ffffffff,8.0,0.0,0.0
846ad8bffffffff,13.0,0.0,0.0
846ad8dffffffff,7.0,0.0,0.0
846adc1ffffffff,60.0,0.0,0.0
846adc5ffffffff,16.0,0.0,0.0
846adc7ffffffff,31.0,0.0,0.0
846adc9ffffffff,106.0,0.0,0.0
846adcdffffffff,1.0,0.0,0.0
846add5ffffffff,4.0,0.0,0.0
846add7ffffffff,12.0,0.0,0.0
846ade7ffffffff,1.0,0.0,0.0
846ade9ffffffff,26.0,0.0,0.0
846adebffffffff,16.0,0.0,0.0
846ae0bffffffff,4.0,0.0,0.0
846ae85ffffffff,102.0,0.0,0.0
846aea1ffffffff,289.0,0.0,0.0
846aea3ffffffff,6.0,0.0,0.0
846aea9ffffffff,26.0,0.0,0.0
846aeabffffffff,17.0,0.0,0.0
846aeb5ffffffff,5.0,0.0,0.0
846aee3ffffffff,105.0,0.0,0.0
846aee7ffffffff,6.0,0.0,0.0
846bb61ffffffff,1.0,0.0,0.0
8475083ffffffff,12.0,0.0,0.0
8475085ffffffff,64.0,0.0,0.0
8475087ffffffff,49.0,0.0,0.0
847509dffffffff,2.0,0.0,0.0
84750a1ffffffff,1.0,0.0,0.0
