cell_id,Ducula pinon,Ducula pinon pinon/jobiensis,Ducula pinon salvadorii
84728e5ffffffff,1.0,0.0,0.0
8472913ffffffff,2.0,0.0,0.0
84729dbffffffff,15.0,0.0,0.0
8472a07ffffffff,12.0,4.0,0.0
8472a2bffffffff,5.0,0.0,0.0
8472a6dffffffff,1.0,1.0,0.0
8472aa1ffffffff,1.0,0.0,0.0
8472b03ffffffff,2.0,0.0,0.0
8472b07ffffffff,1.0,0.0,0.0
8472b51ffffffff,2.0,0.0,0.0
8472b57ffffffff,1.0,0.0,0.0
8472c25ffffffff,1.0,0.0,0.0
8472d19ffffffff,27.0,0.0,0.0
8472d23ffffffff,5.0,2.0,0.0
8472d49ffffffff,2.0,0.0,0.0
8472d59ffffffff,4.0,0.0,0.0
8472d5dffffffff,1.0,0.0,0.0
8472d97ffffffff,9.0,0.0,0.0
8472db3ffffffff,7.0,0.0,0.0
8472dbbffffffff,35.0,0.0,0.0
8472dcbffffffff,2.0,0.0,0.0
8472dd5ffffffff,4.0,1.0,0.0
8472debffffffff,21.0,10.0,0.0
8472f23ffffffff,238.0,19.0,0.0
8472f35ffffffff,5.0,3.0,0.0
8472f37ffffffff,5.0,0.0,0.0
8473985ffffffff,2.0,0.0,0.0
8473987ffffffff,4.0,0.0,0.0
84739a1ffffffff,16.0,0.0,0.0
84739a3ffffffff,1.0,0.0,0.0
84739a7ffffffff,4.0,0.0,0.0
84739a9ffffffff,18.0,0.0,0.0
84739abffffffff,398.0,57.0,0.0
84739b1ffffffff,194.0,14.0,0.0
84739b3ffffffff,3.0,0.0,0.0
84739b5ffffffff,76.0,5.0,0.0
84739e1ffffffff,1.0,0.0,0.0
849c85bffffffff,4.0,0.0,0.0
849c8a5ffffffff,6.0,0.0,0.0
849c8e9ffffffff,1.0,1.0,0.0
849c993ffffffff,26.0,0.0,0.0
849c997ffffffff,9.0,0.0,0.0
849c99bffffffff,2.0,0.0,0.0
849c9d1ffffffff,43.0,0.0,0.0
849c9d5ffffffff,6.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849c9d9ffffffff,12.0,1.0,0.0
849ca27ffffffff,3.0,0.0,0.0
849ca65ffffffff,9.0,0.0,0.0
849caa1ffffffff,1.0,0.0,0.0
849caa5ffffffff,2.0,0.0,0.0
849caadffffffff,21.0,2.0,0.0
849cb51ffffffff,12.0,0.0,0.0
849cb59ffffffff,25.0,1.0,0.0
849cc23ffffffff,3.0,0.0,0.0
849cc25ffffffff,4.0,0.0,0.0
849cc29ffffffff,4.0,0.0,0.0
849cc2dffffffff,5.0,0.0,0.0
849cd31ffffffff,151.0,16.0,0.0
849cd33ffffffff,80.0,7.0,0.0
849cd51ffffffff,1.0,0.0,0.0
849cdb3ffffffff,1.0,0.0,0.0
849d913ffffffff,1.0,0.0,1.0
849d91dffffffff,1.0,0.0,1.0
849d9b3ffffffff,3.0,0.0,0.0
