cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
834520fffffffff,11.0,0.0,0.0,0.0
834524fffffffff,119.0,0.0,0.0,0.0
834525fffffffff,164.0,94.0,0.0,0.0
834526fffffffff,53.0,0.0,0.0,0.0
834534fffffffff,15.0,0.0,0.0,0.0
834535fffffffff,10.0,0.0,0.0,0.0
834802fffffffff,8.0,0.0,0.0,0.0
834803fffffffff,3.0,3.0,0.0,0.0
834806fffffffff,2.0,0.0,0.0,0.0
83480afffffffff,536.0,89.0,0.0,0.0
83480efffffffff,4.0,0.0,0.0,0.0
834814fffffffff,73.0,0.0,0.0,0.0
834815fffffffff,23.0,0.0,0.0,0.0
834818fffffffff,2.0,0.0,0.0,0.0
834819fffffffff,11.0,0.0,0.0,0.0
83481dfffffffff,46.0,1.0,0.0,0.0
834832fffffffff,20.0,0.0,0.0,0.0
834833fffffffff,617.0,41.0,0.0,0.0
834836fffffffff,1323.0,146.0,0.0,0.0
8348a0fffffffff,5.0,0.0,0.0,0.0
8348e0fffffffff,18.0,0.0,0.0,0.0
8348e4fffffffff,131.0,30.0,0.0,0.0
8348e6fffffffff,67.0,4.0,0.0,0.0
834980fffffffff,234.0,81.0,0.0,0.0
834982fffffffff,25.0,0.0,0.0,0.0
834983fffffffff,10.0,0.0,0.0,0.0
834985fffffffff,29.0,2.0,0.0,0.0
834986fffffffff,520.0,46.0,0.0,0.0
834988fffffffff,11.0,0.0,0.0,0.0
834989fffffffff,9.0,0.0,0.0,0.0
83498cfffffffff,15.0,0.0,0.0,0.0
83498dfffffffff,8.0,0.0,0.0,0.0
834990fffffffff,43.0,0.0,0.0,0.0
834991fffffffff,47.0,3.0,0.0,0.0
834994fffffffff,6.0,0.0,0.0,0.0
834995fffffffff,903.0,161.0,0.0,0.0
834996fffffffff,523.0,73.0,0.0,0.0
834998fffffffff,82.0,0.0,0.0,0.0
83499bfffffffff,2.0,0.0,0.0,0.0
83499cfffffffff,80.0,5.0,0.0,0.0
83499efffffffff,5.0,0.0,0.0,0.0
8349a8fffffffff,537.0,68.0,0.0,0.0
8349a9fffffffff,113.0,15.0,0.0,0.0
8349aafffffffff,160.0,32.0,0.0,0.0
8349abfffffffff,208.0,6.0,0.0,0.0
8349b0fffffffff,2.0,0.0,0.0,0.0
8349b1fffffffff,78.0,43.0,0.0,0.0
8349b2fffffffff,114.0,3.0,0.0,0.0
8349b3fffffffff,658.0,152.0,0.0,0.0
8349b5fffffffff,26.0,15.0,0.0,0.0
8349b6fffffffff,4.0,0.0,0.0,0.0
836613fffffffff,38.0,0.0,2.0,0.0
83661afffffffff,7.0,0.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,63.0,0.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0,0.0
8366a5fffffffff,760.0,0.0,62.0,0.0
8366b4fffffffff,4777.0,0.0,0.0,0.0
8366b5fffffffff,1198.0,0.0,132.0,0.0
8366c6fffffffff,2.0,0.0,0.0,0.0
8366d0fffffffff,64.0,0.0,0.0,22.0
8366d2fffffffff,4.0,0.0,0.0,2.0
8366f0fffffffff,290.0,0.0,0.0,11.0
83679afffffffff,116.0,0.0,0.0,0.0
836d04fffffffff,2.0,0.0,0.0,0.0
836d05fffffffff,598.0,293.0,0.0,0.0
836d20fffffffff,61.0,15.0,0.0,0.0
836d21fffffffff,53.0,10.0,0.0,0.0
836d23fffffffff,564.0,120.0,0.0,0.0
836d28fffffffff,662.0,154.0,0.0,0.0
836d29fffffffff,924.0,277.0,0.0,0.0
836d2afffffffff,194.0,59.0,0.0,0.0
836d2bfffffffff,280.0,42.0,0.0,0.0
836d2cfffffffff,24.0,0.0,0.0,0.0
836d2dfffffffff,789.0,369.0,0.0,0.0
836d2efffffffff,50.0,5.0,0.0,0.0
836d30fffffffff,297.0,30.0,0.0,0.0
836d32fffffffff,1188.0,257.0,0.0,0.0
836d33fffffffff,548.0,157.0,0.0,0.0
836d36fffffffff,32.0,0.0,0.0,0.0
836d64fffffffff,93.0,3.0,0.0,0.0
836d65fffffffff,7.0,0.0,0.0,0.0
836d66fffffffff,56.0,0.0,0.0,0.0
836d69fffffffff,4148.0,0.0,0.0,0.0
