cell_id,Symposiachrus bimaculatus,Symposiachrus bimaculatus bimaculatus,Symposiachrus bimaculatus diadematus,Symposiachrus bimaculatus nigrimentum
8473901ffffffff,39.0,22.0,0.0,0.0
8473905ffffffff,33.0,21.0,0.0,0.0
8473907ffffffff,38.0,25.0,0.0,0.0
847390bffffffff,65.0,38.0,0.0,0.0
847390dffffffff,40.0,16.0,0.0,0.0
8473925ffffffff,8.0,4.0,0.0,0.0
8473951ffffffff,2.0,2.0,0.0,0.0
8473959ffffffff,2.0,0.0,0.0,0.0
847395bffffffff,3.0,3.0,0.0,0.0
8495419ffffffff,5.0,0.0,0.0,5.0
8495613ffffffff,77.0,0.0,55.0,0.0
84956a3ffffffff,6.0,0.0,0.0,6.0
84956a5ffffffff,20.0,0.0,0.0,20.0
84956abffffffff,2.0,0.0,0.0,2.0
84956adffffffff,1.0,0.0,0.0,1.0
84956b5ffffffff,4.0,0.0,0.0,4.0
84956bdffffffff,84.0,0.0,0.0,84.0
84956c5ffffffff,9.0,0.0,9.0,0.0
84956e9ffffffff,1.0,0.0,1.0,0.0
