cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
82660ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,33.0,0.0,0.0,0.0,12.0,0.0,0.0
8266dffffffffff,32.0,0.0,0.0,0.0,29.0,0.0,0.0
8266e7fffffffff,12.0,0.0,0.0,0.0,2.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82674ffffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0
828b27fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0
828b67fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,2.0
828e67fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
828f57fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,7.0,0.0,0.0,0.0,0.0,1.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
