cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
845f487ffffffff,37.0,0.0,0.0,0.0
845f4a7ffffffff,10.0,0.0,0.0,0.0
845f4abffffffff,16.0,0.0,0.0,0.0
845f4b9ffffffff,7.0,0.0,0.0,0.0
845f4bdffffffff,9.0,0.0,0.0,0.0
845f59bffffffff,1.0,0.0,1.0,0.0
846601bffffffff,2.0,0.0,0.0,0.0
8466081ffffffff,3.0,0.0,0.0,0.0
8466083ffffffff,83.0,0.0,0.0,3.0
8466087ffffffff,2.0,0.0,0.0,0.0
8466089ffffffff,171.0,0.0,0.0,1.0
846608bffffffff,11.0,0.0,0.0,0.0
846608dffffffff,186.0,0.0,0.0,4.0
8466095ffffffff,5.0,0.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0,0.0
846609dffffffff,18.0,0.0,0.0,0.0
84660a3ffffffff,13.0,0.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0
84660b1ffffffff,10.0,0.0,0.0,0.0
84660b3ffffffff,69.0,0.0,0.0,0.0
84660b5ffffffff,7.0,0.0,0.0,0.0
84660b7ffffffff,97.0,0.0,0.0,0.0
84660b9ffffffff,163.0,0.0,0.0,0.0
84660bbffffffff,24.0,0.0,0.0,0.0
84660bdffffffff,144.0,0.0,0.0,0.0
84660c1ffffffff,36.0,0.0,0.0,0.0
84660c3ffffffff,79.0,0.0,0.0,2.0
84660c7ffffffff,3.0,0.0,0.0,0.0
84660cbffffffff,6.0,0.0,0.0,0.0
84660d1ffffffff,4.0,0.0,0.0,0.0
84660ddffffffff,55.0,0.0,0.0,0.0
8466181ffffffff,197.0,0.0,0.0,0.0
8466183ffffffff,141.0,0.0,0.0,1.0
8466185ffffffff,5.0,0.0,0.0,0.0
8466187ffffffff,158.0,0.0,0.0,0.0
8466189ffffffff,12.0,0.0,0.0,0.0
846618bffffffff,261.0,0.0,0.0,2.0
846618dffffffff,15.0,0.0,0.0,0.0
8466191ffffffff,58.0,0.0,0.0,1.0
8466193ffffffff,53.0,0.0,0.0,0.0
8466195ffffffff,39.0,0.0,0.0,0.0
8466197ffffffff,930.0,0.0,0.0,2.0
8466199ffffffff,6.0,0.0,0.0,0.0
846619bffffffff,8.0,0.0,0.0,0.0
846619dffffffff,233.0,0.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0,0.0
84661b1ffffffff,2421.0,0.0,0.0,347.0
84661b3ffffffff,211.0,0.0,0.0,6.0
84661b7ffffffff,89.0,0.0,0.0,5.0
84661b9ffffffff,961.0,0.0,0.0,9.0
84661bbffffffff,1660.0,0.0,0.0,53.0
84661bdffffffff,24.0,0.0,0.0,0.0
84661c3ffffffff,18.0,0.0,0.0,0.0
84661d1ffffffff,51.0,0.0,0.0,3.0
84661d5ffffffff,195.0,0.0,0.0,0.0
84661d7ffffffff,13.0,0.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0,0.0
8466207ffffffff,9.0,1.0,0.0,0.0
8466213ffffffff,4.0,0.0,0.0,0.0
8466217ffffffff,193.0,0.0,0.0,0.0
846622bffffffff,1757.0,318.0,0.0,0.0
846623dffffffff,72.0,40.0,0.0,0.0
8466291ffffffff,1.0,0.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0,0.0
846629dffffffff,2.0,0.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0,0.0
8466c0dffffffff,449.0,0.0,0.0,0.0
8466c21ffffffff,246.0,0.0,0.0,0.0
8466c25ffffffff,58.0,0.0,0.0,0.0
8466c29ffffffff,15.0,0.0,0.0,0.0
8466c2dffffffff,54.0,0.0,0.0,0.0
8466c45ffffffff,3.0,0.0,0.0,0.0
8466c47ffffffff,93.0,0.0,0.0,0.0
8466c49ffffffff,7.0,0.0,0.0,0.0
8466c4bffffffff,18.0,0.0,0.0,0.0
8466c4dffffffff,39.0,0.0,0.0,0.0
8466c61ffffffff,74.0,0.0,0.0,0.0
8466c63ffffffff,216.0,0.0,0.0,0.0
8466c67ffffffff,232.0,0.0,0.0,0.0
8466c69ffffffff,100.0,0.0,0.0,1.0
8466c6bffffffff,103.0,0.0,0.0,0.0
8466c6dffffffff,35.0,0.0,0.0,0.0
8466d03ffffffff,82.0,0.0,0.0,0.0
8466d0bffffffff,36.0,0.0,0.0,0.0
8466d11ffffffff,25.0,0.0,0.0,0.0
8466d15ffffffff,2.0,0.0,0.0,0.0
8466d19ffffffff,12.0,0.0,0.0,0.0
8466d1bffffffff,2.0,0.0,0.0,0.0
8466d1dffffffff,14.0,0.0,0.0,0.0
8466d23ffffffff,1.0,0.0,0.0,0.0
8466d31ffffffff,1656.0,0.0,0.0,121.0
8466d33ffffffff,15.0,0.0,0.0,0.0
8466d35ffffffff,21.0,0.0,0.0,0.0
8466d37ffffffff,70.0,0.0,0.0,5.0
8466d39ffffffff,50.0,0.0,0.0,0.0
8466d3bffffffff,10.0,0.0,0.0,0.0
8466d53ffffffff,44.0,0.0,0.0,5.0
8466d59ffffffff,9.0,0.0,0.0,0.0
8466da7ffffffff,5.0,0.0,0.0,0.0
8466dadffffffff,9.0,0.0,0.0,0.0
8466de1ffffffff,3437.0,0.0,0.0,239.0
8466de5ffffffff,14.0,0.0,0.0,1.0
8466de9ffffffff,4.0,0.0,0.0,0.0
8466debffffffff,1.0,0.0,0.0,0.0
8466dedffffffff,1333.0,0.0,0.0,103.0
8466e01ffffffff,8.0,0.0,0.0,0.0
8466e03ffffffff,15.0,0.0,0.0,0.0
8466e07ffffffff,6.0,0.0,0.0,0.0
8466e09ffffffff,219.0,0.0,0.0,0.0
8466e0bffffffff,340.0,0.0,0.0,9.0
8466e0dffffffff,13.0,0.0,0.0,0.0
8466e25ffffffff,4.0,0.0,0.0,0.0
8466e27ffffffff,3.0,0.0,0.0,0.0
8466e2dffffffff,111.0,0.0,0.0,0.0
8466e3dffffffff,21.0,0.0,0.0,0.0
8466e41ffffffff,24.0,0.0,0.0,1.0
8466e43ffffffff,702.0,0.0,0.0,1.0
8466e47ffffffff,701.0,0.0,0.0,1.0
8466e49ffffffff,14.0,0.0,0.0,0.0
8466e4bffffffff,13.0,0.0,0.0,0.0
8466e51ffffffff,6.0,0.0,0.0,0.0
8466e55ffffffff,275.0,0.0,0.0,2.0
8466e57ffffffff,4.0,0.0,0.0,0.0
8466e59ffffffff,32.0,0.0,0.0,0.0
8466e5dffffffff,29.0,0.0,0.0,0.0
8466e61ffffffff,409.0,0.0,0.0,1.0
8466e63ffffffff,25.0,0.0,0.0,0.0
8466e65ffffffff,1552.0,0.0,0.0,45.0
8466e67ffffffff,714.0,0.0,0.0,12.0
8466e69ffffffff,88.0,0.0,0.0,0.0
8466e6dffffffff,3859.0,0.0,0.0,122.0
8466f03ffffffff,84.0,0.0,0.0,0.0
8466f0bffffffff,20.0,0.0,0.0,0.0
8466f13ffffffff,2.0,0.0,0.0,0.0
8466f15ffffffff,39.0,0.0,0.0,0.0
8466f17ffffffff,6.0,0.0,0.0,0.0
8466f19ffffffff,257.0,0.0,0.0,0.0
8466f1dffffffff,1573.0,0.0,0.0,21.0
8466f33ffffffff,6.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0
8466f3bffffffff,15.0,0.0,0.0,0.0
8466f51ffffffff,5.0,0.0,0.0,0.0
8466f53ffffffff,167.0,0.0,0.0,2.0
8466f57ffffffff,447.0,0.0,0.0,5.0
8466f59ffffffff,144.0,0.0,0.0,2.0
8466f5bffffffff,229.0,0.0,0.0,0.0
8466f5dffffffff,43.0,0.0,0.0,0.0
8467413ffffffff,12.0,0.0,0.0,0.0
8467417ffffffff,72.0,0.0,0.0,0.0
8467437ffffffff,18.0,0.0,0.0,0.0
846743bffffffff,8.0,0.0,0.0,0.0
84674c7ffffffff,3.0,0.0,0.0,0.0
84674e9ffffffff,16.0,0.0,0.0,0.0
84674edffffffff,91.0,0.0,2.0,0.0
84675a5ffffffff,23.0,0.0,0.0,0.0
84675adffffffff,11.0,0.0,0.0,0.0
84675c1ffffffff,5.0,0.0,0.0,0.0
84675c7ffffffff,1.0,0.0,0.0,0.0
84675c9ffffffff,13.0,0.0,0.0,0.0
84675cbffffffff,13.0,0.0,0.0,0.0
84675ebffffffff,31.0,0.0,0.0,0.0
848b203ffffffff,58.0,0.0,0.0,0.0
848b205ffffffff,1.0,0.0,0.0,0.0
848b20dffffffff,9.0,0.0,0.0,0.0
848b211ffffffff,8.0,0.0,0.0,0.0
848b21dffffffff,6.0,0.0,0.0,0.0
848b229ffffffff,5.0,0.0,0.0,0.0
848b247ffffffff,4.0,0.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0,0.0
848b2c1ffffffff,23.0,0.0,0.0,0.0
848b2c5ffffffff,24.0,0.0,0.0,0.0
848b2cdffffffff,87.0,0.0,0.0,0.0
848b2dbffffffff,23.0,0.0,0.0,0.0
848b2e9ffffffff,3.0,0.0,0.0,0.0
848b611ffffffff,43.0,0.0,0.0,5.0
848b613ffffffff,19.0,0.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,1740.0,0.0,0.0,118.0
848b619ffffffff,3.0,0.0,0.0,0.0
