cell_id,Anthus cinnamomeus,Anthus cinnamomeus camaroonensis,Anthus cinnamomeus eximius,Anthus cinnamomeus [cinnamomeus Group],Anthus cinnamomeus latistriatus,Anthus cinnamomeus grotei
835206fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
835215fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837a68fffffffff,14.0,0.0,0.0,8.0,0.0,0.0
837a6afffffffff,3.0,0.0,0.0,3.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837b48fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,40.0,0.0,0.0,0.0,0.0,0.0
837b4cfffffffff,43.0,0.0,0.0,15.0,0.0,0.0
837b4efffffffff,10.0,0.0,0.0,0.0,0.0,0.0
837b59fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
8382d3fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
839702fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839711fffffffff,6.0,0.0,0.0,2.0,0.0,0.0
839713fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
839715fffffffff,6.0,0.0,0.0,6.0,0.0,0.0
83972cfffffffff,3.0,0.0,0.0,2.0,0.0,0.0
839743fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
83ac12fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83ac82fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83ac86fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83bc5efffffffff,1.0,0.0,0.0,1.0,0.0,0.0
83bcd2fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
83bcd6fffffffff,4.0,0.0,0.0,1.0,0.0,0.0
