cell_id,Arremon aurantiirostris,Arremon aurantiirostris [aurantiirostris Group],Arremon aurantiirostris erythrorhynchus,Arremon aurantiirostris spectabilis
824527fffffffff,1752.0,0.0,0.0,0.0
82452ffffffffff,988.0,9.0,0.0,0.0
824537fffffffff,215.0,0.0,0.0,0.0
826607fffffffff,8.0,0.0,0.0,0.0
82660ffffffffff,533.0,0.0,0.0,0.0
826617fffffffff,561.0,0.0,0.0,0.0
82661ffffffffff,1096.0,0.0,18.0,0.0
8266a7fffffffff,2518.0,0.0,0.0,0.0
8266affffffffff,3.0,0.0,0.0,0.0
8266b7fffffffff,9428.0,0.0,0.0,0.0
8266c7fffffffff,149.0,0.0,0.0,0.0
8266d7fffffffff,3537.0,223.0,0.0,0.0
8266dffffffffff,500.0,0.0,0.0,46.0
8266e7fffffffff,1416.0,0.0,15.0,0.0
8266f7fffffffff,939.0,0.0,0.0,0.0
826797fffffffff,142.0,0.0,0.0,0.0
82679ffffffffff,822.0,0.0,0.0,0.0
826d27fffffffff,227.0,41.0,0.0,0.0
826d2ffffffffff,418.0,56.0,0.0,0.0
826d37fffffffff,143.0,21.0,0.0,0.0
826d67fffffffff,44.0,0.0,0.0,0.0
826d6ffffffffff,16025.0,0.0,0.0,0.0
828f0ffffffffff,324.0,0.0,0.0,0.0
828f27fffffffff,4.0,0.0,0.0,0.0
828f2ffffffffff,738.0,4.0,0.0,0.0
828f47fffffffff,354.0,0.0,0.0,7.0
828f5ffffffffff,12.0,0.0,0.0,0.0
828f77fffffffff,735.0,0.0,0.0,52.0
