cell_id,Ploceus rubiginosus,Ploceus rubiginosus trothae,Ploceus rubiginosus rubiginosus
825287fffffffff,2.0,0.0,0.0
82529ffffffffff,10.0,0.0,0.0
8252d7fffffffff,13.0,0.0,0.0
826a4ffffffffff,5.0,0.0,0.0
826a5ffffffffff,14.0,0.0,0.0
826a67fffffffff,4.0,0.0,0.0
826adffffffffff,2.0,0.0,0.0
827a47fffffffff,328.0,0.0,0.0
827a4ffffffffff,145.0,0.0,2.0
827a5ffffffffff,4.0,0.0,0.0
827a67fffffffff,500.0,0.0,0.0
827a6ffffffffff,133.0,0.0,0.0
827ac7fffffffff,2.0,0.0,0.0
827acffffffffff,71.0,0.0,9.0
827adffffffffff,82.0,0.0,22.0
827aeffffffffff,44.0,0.0,6.0
827b4ffffffffff,10.0,0.0,0.0
829697fffffffff,292.0,0.0,6.0
82969ffffffffff,5.0,0.0,0.0
8296b7fffffffff,3.0,0.0,0.0
82ac87fffffffff,161.0,1.0,0.0
82ac8ffffffffff,33.0,6.0,0.0
82ac9ffffffffff,1.0,0.0,0.0
82aca7fffffffff,143.0,47.0,0.0
82acaffffffffff,5.0,0.0,0.0
82acb7fffffffff,9.0,0.0,0.0
