cell_id,Nystalus maculatus,Nystalus maculatus maculatus,Nystalus maculatus striatipectus
828007fffffffff,27.0,11.0,0.0
82800ffffffffff,1.0,0.0,0.0
828017fffffffff,344.0,89.0,0.0
828027fffffffff,16.0,5.0,0.0
82802ffffffffff,2.0,0.0,0.0
828037fffffffff,200.0,59.0,0.0
828067fffffffff,1.0,0.0,0.0
828077fffffffff,5.0,1.0,0.0
828107fffffffff,65.0,22.0,0.0
82810ffffffffff,7.0,0.0,0.0
828117fffffffff,24.0,3.0,0.0
82811ffffffffff,34.0,19.0,0.0
828127fffffffff,130.0,67.0,0.0
82812ffffffffff,23.0,0.0,0.0
828137fffffffff,139.0,54.0,0.0
828147fffffffff,61.0,30.0,0.0
828157fffffffff,1.0,1.0,0.0
82815ffffffffff,7.0,1.0,0.0
828167fffffffff,14.0,1.0,0.0
828177fffffffff,68.0,22.0,0.0
828187fffffffff,94.0,26.0,0.0
82818ffffffffff,103.0,48.0,0.0
82819ffffffffff,19.0,8.0,0.0
8281a7fffffffff,8.0,2.0,0.0
8281affffffffff,103.0,23.0,0.0
828a87fffffffff,1.0,0.0,0.0
828a9ffffffffff,11.0,4.0,0.0
828b17fffffffff,1.0,0.0,0.0
828b27fffffffff,359.0,0.0,61.0
828b2ffffffffff,10.0,0.0,0.0
828b37fffffffff,8.0,0.0,2.0
828b87fffffffff,1.0,0.0,0.0
828ba7fffffffff,26.0,2.0,0.0
828bb7fffffffff,204.0,71.0,0.0
82a597fffffffff,5.0,0.0,0.0
82a80ffffffffff,9.0,0.0,0.0
82a81ffffffffff,2.0,2.0,0.0
82a82ffffffffff,2.0,0.0,0.0
82a847fffffffff,223.0,0.0,135.0
82a84ffffffffff,3.0,0.0,1.0
82a857fffffffff,28.0,0.0,11.0
82a85ffffffffff,45.0,15.0,0.0
82a867fffffffff,65.0,0.0,2.0
82a86ffffffffff,10.0,0.0,0.0
82a877fffffffff,77.0,0.0,35.0
82a88ffffffffff,101.0,76.0,0.0
82a89ffffffffff,10.0,0.0,0.0
82a8c7fffffffff,9.0,5.0,0.0
82a8cffffffffff,5.0,2.0,0.0
82a8d7fffffffff,93.0,43.0,0.0
82a8dffffffffff,41.0,5.0,0.0
82a8e7fffffffff,4.0,4.0,0.0
82a8f7fffffffff,6.0,4.0,0.0
82a94ffffffffff,28.0,0.0,0.0
82a95ffffffffff,24.0,0.0,0.0
82a96ffffffffff,9.0,0.0,2.0
82b20ffffffffff,4.0,0.0,0.0
82b247fffffffff,540.0,0.0,101.0
82b24ffffffffff,40.0,0.0,2.0
82b257fffffffff,21.0,0.0,5.0
82b25ffffffffff,448.0,0.0,34.0
82b267fffffffff,517.0,0.0,0.0
82b26ffffffffff,6.0,0.0,0.0
82b277fffffffff,156.0,0.0,0.0
82b32ffffffffff,3.0,0.0,0.0
82b347fffffffff,255.0,0.0,0.0
82b34ffffffffff,128.0,0.0,0.0
82b357fffffffff,44.0,0.0,0.0
82b35ffffffffff,567.0,0.0,0.0
82b367fffffffff,122.0,0.0,11.0
82b36ffffffffff,293.0,0.0,0.0
