cell_id,Dryobates lignarius,Dryobates lignarius puncticeps,Dryobates lignarius lignarius
848b201ffffffff,2.0,0.0,0.0
848b203ffffffff,30.0,0.0,0.0
848b20bffffffff,91.0,0.0,0.0
848b211ffffffff,4.0,0.0,0.0
848b21bffffffff,1.0,0.0,0.0
848b21dffffffff,3.0,0.0,0.0
848b22dffffffff,1.0,0.0,0.0
848b243ffffffff,2.0,0.0,0.0
848b24bffffffff,4.0,0.0,0.0
848b251ffffffff,8.0,0.0,0.0
848b259ffffffff,21.0,0.0,0.0
848b25dffffffff,4.0,0.0,0.0
848b2c9ffffffff,51.0,0.0,0.0
848b2cdffffffff,2.0,0.0,0.0
848b2d9ffffffff,6.0,0.0,0.0
84b2191ffffffff,33.0,0.0,0.0
84b2193ffffffff,5.0,0.0,0.0
84b2195ffffffff,2.0,0.0,0.0
84b2197ffffffff,41.0,0.0,0.0
84b219dffffffff,25.0,0.0,0.0
84b21bbffffffff,31.0,0.0,0.0
84b2c01ffffffff,13.0,0.0,0.0
84b2c03ffffffff,42.0,0.0,0.0
84b2c05ffffffff,26.0,0.0,0.0
84b2c07ffffffff,14.0,0.0,0.0
84b2c09ffffffff,26.0,0.0,0.0
84b2c0bffffffff,242.0,0.0,0.0
84b2c0dffffffff,310.0,0.0,0.0
84b2c11ffffffff,86.0,0.0,0.0
84b2c15ffffffff,93.0,0.0,0.0
84b2c17ffffffff,27.0,0.0,0.0
84b2c19ffffffff,4.0,0.0,0.0
84b2c1dffffffff,18.0,0.0,0.0
84b2c2bffffffff,51.0,0.0,0.0
84b2c31ffffffff,19.0,0.0,0.0
84b2c33ffffffff,4.0,0.0,0.0
84b2c35ffffffff,15.0,0.0,0.0
84b2c37ffffffff,2.0,0.0,0.0
84b2c39ffffffff,41.0,0.0,0.0
84b2c3bffffffff,6.0,0.0,0.0
84b2c3dffffffff,30.0,0.0,0.0
84b2c41ffffffff,683.0,0.0,0.0
84b2c43ffffffff,182.0,0.0,0.0
84b2c45ffffffff,41.0,0.0,0.0
84b2c47ffffffff,277.0,0.0,0.0
84b2c49ffffffff,84.0,0.0,0.0
84b2c4bffffffff,387.0,0.0,0.0
84b2c4dffffffff,116.0,0.0,0.0
84b2c51ffffffff,1113.0,0.0,0.0
84b2c53ffffffff,111.0,0.0,0.0
84b2c55ffffffff,642.0,0.0,0.0
84b2c57ffffffff,136.0,0.0,0.0
84b2c59ffffffff,5.0,0.0,0.0
84b2c5dffffffff,248.0,0.0,0.0
84b2cadffffffff,3.0,0.0,0.0
84b2ce5ffffffff,292.0,0.0,0.0
84b2ce7ffffffff,1.0,0.0,0.0
84b2ce9ffffffff,2.0,0.0,0.0
84b2cedffffffff,1.0,0.0,0.0
84b2d81ffffffff,3.0,0.0,0.0
84b2d83ffffffff,3.0,0.0,0.0
84b2d87ffffffff,13.0,0.0,0.0
84b2d89ffffffff,9.0,0.0,0.0
84b2d91ffffffff,4.0,0.0,0.0
84b2d93ffffffff,33.0,0.0,0.0
84b2d95ffffffff,2.0,0.0,0.0
84b2d97ffffffff,7.0,0.0,0.0
84b2d99ffffffff,2.0,0.0,0.0
84b2d9bffffffff,2.0,0.0,0.0
84b2d9dffffffff,2.0,0.0,0.0
84b2dabffffffff,16.0,0.0,0.0
84b2db3ffffffff,9.0,0.0,0.0
84b2db5ffffffff,2.0,0.0,0.0
84b2db7ffffffff,4.0,0.0,0.0
84b2db9ffffffff,1.0,0.0,0.0
84b2dbdffffffff,25.0,0.0,0.0
84b2dc3ffffffff,8.0,0.0,0.0
84b2dcbffffffff,61.0,0.0,0.0
84b2dd1ffffffff,30.0,0.0,0.0
84b2dd3ffffffff,4.0,0.0,0.0
84b2dd5ffffffff,9.0,0.0,0.0
84b2dd7ffffffff,2.0,0.0,0.0
84b2dd9ffffffff,24.0,0.0,0.0
84b2ddbffffffff,32.0,0.0,0.0
84b2dddffffffff,5.0,0.0,0.0
84b2e05ffffffff,2.0,0.0,0.0
84b2e21ffffffff,33.0,0.0,0.0
84b2e23ffffffff,14.0,0.0,0.0
84b2e27ffffffff,143.0,0.0,0.0
84b2e29ffffffff,27.0,0.0,0.0
84b2e2bffffffff,12.0,0.0,0.0
84b2e2dffffffff,55.0,0.0,0.0
84b2e35ffffffff,12.0,0.0,0.0
84b2e37ffffffff,2.0,0.0,0.0
84b2e3dffffffff,30.0,0.0,0.0
84b2e65ffffffff,4.0,0.0,0.0
84b2e67ffffffff,6.0,0.0,0.0
84b2e69ffffffff,2.0,0.0,0.0
84b2e6bffffffff,25.0,0.0,0.0
84b2e6dffffffff,47.0,0.0,0.0
84b32c9ffffffff,2.0,0.0,0.0
84b32dbffffffff,1.0,0.0,0.0
84b3715ffffffff,1.0,0.0,0.0
84ce803ffffffff,2.0,0.0,0.0
84ce80bffffffff,25.0,0.0,0.0
84ce811ffffffff,20.0,0.0,0.0
84ce813ffffffff,8.0,0.0,0.0
84ce815ffffffff,35.0,0.0,0.0
84ce817ffffffff,26.0,0.0,0.0
84ce819ffffffff,51.0,0.0,0.0
84ce81bffffffff,13.0,0.0,0.0
84ce81dffffffff,57.0,0.0,0.0
84ce831ffffffff,2.0,0.0,0.0
84ce833ffffffff,29.0,0.0,0.0
84ce837ffffffff,2.0,0.0,0.0
84ce839ffffffff,54.0,0.0,0.0
84ce83bffffffff,18.0,0.0,0.0
84ce843ffffffff,3.0,0.0,0.0
84ce851ffffffff,6.0,0.0,0.0
84ce853ffffffff,22.0,0.0,0.0
84ce855ffffffff,41.0,0.0,0.0
84ce857ffffffff,11.0,0.0,0.0
84ce859ffffffff,1.0,0.0,0.0
84ce85bffffffff,19.0,0.0,0.0
84ce85dffffffff,5.0,0.0,0.0
84ce881ffffffff,1.0,0.0,0.0
84ce887ffffffff,3.0,0.0,0.0
84ce88dffffffff,2.0,0.0,0.0
84ce8a1ffffffff,5.0,0.0,0.0
84ce8a3ffffffff,4.0,0.0,0.0
